circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers
9,2,8,21,2,373,202,400,1,197,202,400,0,0,200,0,2,202,0,18.15,18.45,True,100,100,sebsi:1  marzouki:1  
9,2,8,21,1,374,276,400,0,124,276,400,0,0,271,3,2,276,0,18.30,19.13,True,134,137,sebsi:1  marzouki:1  
9,2,7,19,1,484,311,600,0,289,311,600,0,0,302,5,4,311,0,18.15,18.50,True,143,159,sebsi:1  marzouki:1  
9,2,6,18,1,135,73,200,0,127,73,200,0,0,71,1,1,73,0,18.10,18.30,True,63,8,sebsi:1  marzouki:1  
9,2,4,15,1,492,308,600,0,292,308,600,0,0,303,4,1,308,0,18.20,18.55,False,196,107,sebsi:1  marzouki:1  
9,2,3,14,1,254,135,300,0,165,135,300,0,0,131,3,1,135,0,18.21,19.13,True,91,40,sebsi:1  marzouki:1  
9,2,3,13,1,447,246,500,1,253,246,500,0,0,238,7,1,246,0,18.20,19.15,True,181,57,sebsi:1  marzouki:1  
9,2,2,12,2,549,289,600,0,311,289,600,0,0,285,3,1,289,0,18.10,18.50,True,119,166,sebsi:1  marzouki:1  
9,2,2,12,1,550,397,599,0,202,397,599,0,0,387,6,4,397,0,18.15,19.07,True,206,181,sebsi:1  marzouki:1  
9,2,1,11,4,455,207,501,0,294,207,501,0,0,200,7,0,207,0,1805,1900,False,120,80,sebsi:1  marzouki:1  
9,2,1,11,3,457,257,500,0,243,257,500,0,0,252,2,3,257,0,18.20,19.15,True,181,71,sebsi:1  marzouki:1  
9,2,1,11,2,457,324,492,0,168,324,492,0,0,315,4,5,324,0,18.30,19.30,True,229,86,sebsi:1  marzouki:1  
9,2,1,11,1,457,321,501,0,180,321,501,0,0,313,6,2,321,0,18.10,19.15,False,248,65,sebsi:1  marzouki:1  
9,5,3,66,2,402,162,500,0,338,162,500,0,0,158,3,1,162,0,18.10,19.05,False,86,72,sebsi:1  marzouki:1  
9,5,3,66,1,403,265,500,1,234,265,500,0,0,246,16,3,265,0,18.30,,True,170,76,sebsi:1  marzouki:1  
9,5,2,65,1,441,294,500,0,206,294,500,0,0,290,2,2,294,0,18.30,19.30,True,210,80,sebsi:1  marzouki:1  
9,5,2,64,5,497,295,600,1,304,295,600,0,0,286,3,6,295,0,18.22,19.16,False,163,123,sebsi:1  marzouki:1  
9,5,2,64,4,600,246,600,0,354,246,600,0,0,243,3,0,246,0,18.15,19.15,False,143,100,sebsi:1  marzouki:1  
9,5,2,64,3,500,353,600,0,247,353,600,0,0,349,2,2,353,0,18.20,19.30,True,209,140,sebsi:1  marzouki:1  
9,5,2,64,2,500,382,600,0,218,382,600,0,0,371,5,6,382,0,18.28,19.53,True,252,119,sebsi:1  marzouki:1  
9,5,2,64,1,500,373,600,1,226,373,600,0,0,362,5,6,373,0,18.15,19.20,False,257,105,sebsi:1  marzouki:1  
9,5,2,63,2,342,194,394,2,198,194,394,0,0,189,5,0,194,0,,,True,134,55,sebsi:1  marzouki:1  
9,5,2,63,1,343,254,396,1,142,253,396,0,1,248,4,1,253,0,18.45,20.05,True,169,79,sebsi:1  marzouki:1  
9,5,1,62,5,509,269,599,1,330,268,599,0,1,258,8,2,268,0,18.30,19.22,True,148,110,sebsi:1  marzouki:1  
9,5,1,62,4,513,263,596,1,332,263,596,0,0,256,5,2,263,0,18.20,19.00,False,150,106,sebsi:1  marzouki:1  
9,5,1,62,3,513,334,600,0,266,334,600,0,0,330,4,0,334,0,18.00,,False,210,120,sebsi:1  marzouki:1  
9,5,1,62,2,513,350,600,2,249,349,600,0,1,343,5,1,349,0,18.20,19.36,True,241,102,sebsi:1  marzouki:1  
9,5,1,62,1,513,363,600,1,237,362,600,0,1,349,10,3,362,0,18.35,19.57,True,269,80,sebsi:1  marzouki:1  
9,5,1,61,5,487,253,600,0,347,253,600,0,0,247,3,3,253,0,18.30,19.30,True,131,116,sebsi:1  marzouki:1  
9,5,1,61,4,490,281,600,0,319,281,600,0,0,275,4,2,281,0,18.21,19.11,False,157,118,sebsi:  marzouki:  
9,5,1,61,3,490,359,600,0,241,359,600,0,0,352,4,3,359,0,06.30,19.45,False,211,141,sebsi:1  marzouki:1  
9,5,1,61,2,490,337,600,0,263,337,600,0,0,324,9,4,337,0,,19.38,True,214,110,sebsi:1  marzouki:1  
9,5,1,61,1,490,371,600,0,229,371,600,0,0,355,5,11,371,0,18.30,19.30,False,268,87,sebsi:1  marzouki:1  
9,9,8,142,1,478,197,600,0,403,197,600,0,0,190,4,3,197,0,18.15,19.00,True,148,42,sebsi:1  marzouki:0  
9,9,8,140,1,541,234,600,0,366,234,600,0,0,218,16,0,234,0,18.15,19.15,True,167,51,sebsi:1  marzouki:0  
9,9,7,139,1,357,151,400,0,249,151,400,0,0,147,2,2,151,0,18.15,18.41,True,109,38,sebsi:1  marzouki:0  
9,9,7,138,1,237,118,300,0,182,118,300,0,0,115,2,1,118,0,18.30,19.30,False,90,25,sebsi:1  marzouki:0  
9,9,7,137,2,311,82,400,0,318,82,400,0,0,80,2,0,82,0,18.05,18.40,True,39,41,sebsi:1  marzouki:0  
9,9,7,137,1,311,202,400,1,197,202,400,0,0,198,1,3,202,0,18.30,19.00,True,131,67,sebsi:  marzouki:  
9,9,6,136,1,266,143,300,0,157,143,300,0,0,139,4,0,143,0,18.15,18.30,True,107,32,sebsi:  marzouki:  
9,9,6,135,1,326,166,400,0,234,166,400,0,0,164,0,2,166,0,18.00,18.20,False,133,31,sebsi:  marzouki:  
9,9,6,134,1,384,168,500,1,331,168,500,0,0,166,1,1,168,0,18.05,18.45,False,127,39,sebsi:  marzouki:  
9,9,6,133,2,335,120,400,0,280,120,400,0,0,114,5,1,120,0,18.20,18.35,False,72,42,sebsi:  marzouki:  
9,9,6,133,1,336,222,400,1,177,222,400,0,0,206,15,1,222,0,18.10,18.45,True,140,66,sebsi:  marzouki:  
9,9,6,132,1,234,85,300,0,215,85,300,0,0,83,1,1,85,0,18.15,18.40,False,66,17,sebsi:1  marzouki:1  
9,9,5,131,1,454,256,500,1,243,256,500,0,0,247,9,0,256,0,18.20,19.10,True,177,70,sebsi:1  marzouki:1  
9,9,5,130,2,381,141,200,1,58,141,200,0,0,139,2,0,141,0,18.10,18.40,True,79,60,sebsi:1  marzouki:1  
9,9,5,130,1,382,220,500,0,280,220,500,0,0,212,6,2,220,0,,07.00,True,164,48,sebsi:1  marzouki:1  
9,9,5,129,1,176,109,200,0,91,109,200,0,0,104,3,2,109,0,18.15,18.42,True,64,40,sebsi:1  marzouki:1  
9,9,5,128,2,342,138,400,0,262,138,400,0,0,136,2,0,138,0,18.10,18.35,False,89,47,sebsi:1  marzouki:1  
9,9,5,128,1,342,199,400,0,201,199,400,0,0,191,7,1,199,0,15.00,19.00,True,137,54,sebsi:1  marzouki:1  
9,9,4,127,1,167,109,200,0,91,109,200,0,0,104,2,3,109,0,18.30,19.00,True,80,24,sebsi:1  marzouki:1  
9,9,4,126,2,406,77,503,0,426,77,503,0,0,76,0,1,77,0,18.10,18.45,True,63,13,sebsi:1  marzouki:1  
9,9,4,126,1,407,247,504,0,257,247,504,0,0,237,2,8,247,0,18.15,19.00,True,203,34,sebsi:1  marzouki:1  
9,9,4,125,2,349,92,400,0,308,92,400,0,0,89,1,2,92,0,18.30,19.00,True,42,47,sebsi:1  marzouki:1  
9,9,4,125,1,350,179,400,0,221,179,400,0,0,173,1,5,179,0,18.15,19.00,True,117,56,sebsi:1  marzouki:1  
9,9,3,124,1,445,193,501,0,308,193,501,0,0,189,4,0,193,0,18.00,19.00,True,150,39,sebsi:1  marzouki:1  
9,9,3,123,1,457,267,501,0,234,267,501,0,0,263,3,1,267,0,18.00,,True,218,45,sebsi:1  marzouki:1  
9,9,2,120,1,342,220,400,4,176,220,400,0,0,209,7,4,220,0,18.30,18.52,False,187,22,sebsi:1  marzouki:0  
9,9,1,117,1,395,192,500,0,308,192,500,0,0,183,7,2,192,0,18.10,19.00,True,144,39,sebsi:1  marzouki:1  
9,9,1,116,1,275,176,300,1,123,176,300,0,0,172,3,1,176,0,06.00,07.00,True,134,38,sebsi:1  marzouki:1  
9,9,1,115,7,522,233,600,0,367,233,600,0,0,223,8,2,233,0,18.15,19.15,True,135,88,sebsi:1  marzouki:1  :  
9,9,1,115,6,523,269,600,0,331,269,600,0,0,260,8,1,269,0,1815,1850,True,199,61,sebsi:1  marzouki:1  
9,9,1,115,5,523,288,600,0,312,288,600,0,0,276,10,2,288,0,18.13,19.00,True,196,80,sebsi:1  marzouki:1  :  
9,9,1,115,3,523,399,600,0,201,399,600,0,0,386,10,3,399,0,18.15,17.30,False,285,101,sebsi:1  marzouki:1  
9,9,1,115,2,523,355,600,2,243,355,600,0,0,338,4,13,355,0,18.30,19.55,False,284,54,sebsi:1  marzouki:1  
9,9,1,115,1,523,409,596,0,187,409,596,0,0,388,21,0,409,0,,19.15,False,330,58,sebsi:1  marzouki:1  
9,8,6,114,2,443,211,497,0,286,211,497,0,0,206,2,3,211,0,18.10,18.39,True,77,129,sebsi:1  marzouki:1  
9,8,6,114,1,444,274,500,0,226,274,500,0,0,262,2,10,274,0,18.15,19.00,True,119,143,sebsi:1  marzouki:1  
9,8,5,113,1,87,50,100,0,50,50,100,0,0,49,0,1,50,0,18.50,19.30,True,39,10,sebsi:1  marzouki:1  
9,8,5,112,2,405,174,500,0,326,174,500,0,0,170,3,1,174,0,18.45,19.15,True,82,88,sebsi:1  marzouki:1  
9,8,5,112,1,406,235,501,0,266,235,501,0,0,230,2,3,235,0,18.45,19.30,False,166,64,sebsi:1  marzouki:1  
9,8,5,111,2,505,290,600,0,310,290,600,0,0,283,5,2,290,0,18.40,19.30,True,112,171,sebsi:1  marzouki:1  
