circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers
24,7,3,132,4,484,243,600,0,357,243,600,0,0,234,5,4,243,0,1812,1858,True,85,149,sebsi:1  marzouki:1  
24,7,3,132,3,487,255,600,0,345,255,600,0,0,245,6,4,255,0,1815,1855,False,101,144,sebsi:1  marzouki:1  
24,7,3,132,2,487,320,601,0,281,320,601,0,0,313,6,1,320,0,1810,1900,True,161,152,sebsi:1  marzouki:1  
24,7,3,132,1,487,356,600,0,244,356,600,0,0,352,4,0,356,0,1805,1850,True,173,179,sebsi:1  marzouki:1  
24,7,3,131,3,534,253,600,0,347,253,600,0,0,247,6,0,253,0,1800,1845,False,98,149,sebsi:1  marzouki:1  
24,7,3,131,2,536,287,603,1,315,287,603,0,0,282,3,2,287,0,1810,1847,True,139,143,sebsi:1  marzouki:1  
24,7,3,131,1,536,321,600,0,279,321,600,0,0,305,9,7,321,0,1800,1845,True,174,131,sebsi:1  marzouki:1  
24,7,3,130,1,371,248,400,0,152,248,400,0,0,245,3,0,248,0,1820,1845,True,82,163,sebsi:1  marzouki:1  
24,7,3,129,5,478,273,596,0,323,273,596,0,0,269,2,2,273,0,1820,1908,True,107,162,sebsi:1  marzouki:1  
24,7,3,129,4,482,264,600,0,336,264,600,0,0,259,4,1,264,0,1820,1930,True,93,166,sebsi:1  marzouki:1  
24,7,3,129,3,482,330,600,0,270,330,600,0,0,323,5,2,330,0,1820,1900,False,134,189,sebsi:1  marzouki:1  
24,7,3,129,2,482,361,600,0,239,361,600,0,0,356,5,0,361,0,1830,1930,True,171,185,sebsi:1  marzouki:1  
24,7,3,129,1,482,322,600,0,278,322,600,0,0,316,3,3,322,0,1830,1900,True,177,139,sebsi:1  marzouki:1  
24,7,2,128,3,523,224,600,0,376,224,600,0,0,220,2,2,224,0,1810,1900,True,97,123,sebsi:1  marzouki:1  
24,7,2,128,2,523,288,600,0,312,288,600,0,0,285,2,1,288,0,1810,1910,True,149,136,sebsi:1  marzouki:1  
24,7,2,128,1,523,323,600,0,277,323,600,0,0,314,8,1,323,0,1830,1930,True,172,142,sebsi:1  marzouki:1  
24,7,2,127,5,517,259,600,0,341,259,600,0,0,254,2,3,259,0,1800,1930,True,92,162,sebsi:1  marzouki:1  
24,7,2,127,4,519,242,600,0,358,242,600,0,0,238,3,1,242,0,1810,1908,True,108,130,sebsi:1  marzouki:1  
24,7,2,127,1,519,331,600,1,268,331,600,0,0,324,5,2,331,0,1800,1920,True,197,127,sebsi:1  marzouki:1  
24,7,1,126,3,505,260,600,1,339,260,600,0,0,254,3,3,260,0,1830,1900,False,104,150,sebsi:  marzouki:1  
24,7,1,126,2,505,297,612,0,315,297,612,0,0,292,5,0,297,0,1800,1900,False,130,162,sebsi:1  marzouki:1  
24,7,1,125,5,522,262,600,1,337,262,600,0,0,255,4,3,262,0,1825,1915,True,110,145,sebsi:1  marzouki:1  
24,7,1,125,3,525,328,584,0,256,328,584,0,0,318,8,2,328,0,1820,1906,True,156,162,sebsi:1  marzouki:1  
24,7,1,124,6,577,341,700,0,359,341,700,0,0,328,6,7,341,0,1900,1945,True,142,186,sebsi:1  marzouki:1  
24,7,1,124,4,582,347,700,0,353,347,700,0,0,344,3,0,347,0,1840,1945,True,185,159,sebsi:1  marzouki:1  
24,7,1,124,3,582,420,700,0,280,420,700,0,0,412,4,4,420,0,1830,1922,True,224,188,sebsi:1  marzouki:1  
24,7,1,124,2,582,449,700,4,247,449,700,0,0,433,11,5,449,0,1830,2018,True,213,220,sebsi:1  marzouki:1  
24,7,1,124,1,582,441,700,1,259,440,700,0,1,424,10,6,440,0,1830,2000,True,248,176,sebsi:1  marzouki:1  
24,7,1,123,3,412,204,500,0,296,204,500,0,0,200,3,1,204,0,1810,1850,True,101,99,sebsi:1  marzouki:1  
24,7,1,123,2,413,269,500,0,231,269,500,0,0,260,3,6,269,0,1805,1835,True,137,123,sebsi:1  marzouki:1  
24,7,1,122,6,567,325,600,0,275,325,600,0,0,318,5,2,325,0,1817,1925,True,106,212,sebsi:1  marzouki:1  
24,7,1,122,5,570,330,600,0,270,330,600,0,0,326,2,2,330,0,1805,1845,True,127,199,sebsi:1  marzouki:1  
24,7,1,122,4,570,365,600,0,235,365,600,0,0,358,3,4,365,0,1810,1910,True,157,201,sebsi:1  marzouki:1  
24,7,1,122,3,570,413,600,1,186,413,600,0,0,404,6,3,413,0,1815,1915,True,187,217,sebsi:1  marzouki:1  
24,7,1,122,2,570,416,600,0,184,416,600,0,0,409,4,3,416,0,1800,1915,True,197,212,sebsi:1  marzouki:1  
24,7,1,122,1,570,406,595,0,189,406,595,0,0,394,8,4,406,0,1800,1910,False,238,156,sebsi:1  marzouki:1  
24,6,11,121,2,538,399,593,0,194,399,593,0,0,396,1,2,399,0,1830,1930,True,211,185,sebsi:1  marzouki:1  
24,6,11,121,1,538,394,600,1,205,394,600,0,0,386,6,2,394,0,1835,1945,False,259,127,sebsi:1  marzouki:1  
24,6,11,120,2,335,218,400,0,182,218,400,0,0,212,3,3,218,0,1805,1835,True,125,87,sebsi:1  marzouki:1  
24,6,11,120,1,336,267,400,0,133,267,400,0,0,262,3,2,267,0,1805,1900,True,158,104,sebsi:1  marzouki:1  
24,6,11,119,5,486,320,600,0,280,320,600,0,0,316,4,0,320,0,1800,1915,True,125,191,sebsi:1  marzouki:1  
24,6,11,119,4,489,313,600,0,287,313,600,0,0,310,3,0,313,0,1815,1851,True,138,172,sebsi:1  marzouki:1  
24,6,11,119,3,489,391,624,0,233,391,624,0,0,380,8,3,391,0,1820,1920,True,160,220,sebsi:1  marzouki:1  
24,6,11,119,2,489,378,600,1,222,377,600,0,1,373,2,2,377,0,1810,1855,False,178,195,sebsi:1  marzouki:1  
24,6,11,119,1,489,369,599,2,228,369,599,0,0,361,4,4,369,0,1830,,True,204,157,sebsi:1  marzouki:1  
24,6,11,118,3,517,377,600,0,223,377,600,0,0,373,2,2,377,0,1818,1900,False,175,198,sebsi:1  marzouki:1  
24,6,11,118,1,517,399,600,1,200,399,600,0,0,390,7,2,399,0,1830,1941,True,233,157,sebsi:1  marzouki:1  
24,6,10,117,4,493,357,600,0,243,357,600,0,0,350,1,6,357,0,1820,1940,False,162,188,sebsi:1  marzouki:1  
24,6,10,117,3,494,396,600,0,204,396,600,0,0,388,7,1,396,0,1800,1900,False,154,234,sebsi:1  marzouki:1  
24,6,10,117,2,494,390,600,0,210,390,600,0,0,384,4,2,390,0,1820,1916,True,185,199,sebsi:1  marzouki:1  
24,6,10,117,1,494,387,601,1,213,387,601,0,0,376,7,4,387,0,,1945,False,217,159,sebsi:1  marzouki:1  
24,6,10,116,7,541,404,600,0,196,404,600,0,0,395,4,5,404,0,1830,1930,True,166,229,sebsi:1  marzouki:1  
24,6,10,116,6,545,386,601,0,215,386,601,0,0,379,1,6,386,0,1820,1920,False,189,190,sebsi:1  marzouki:1  
24,6,10,116,5,545,413,600,0,187,413,600,0,0,408,2,3,413,0,1845,1930,False,205,203,sebsi:1  marzouki:1  
24,6,10,116,4,545,440,600,0,160,440,600,0,0,429,7,4,440,0,1830,1950,False,201,228,sebsi:1  marzouki:1  
24,6,10,116,3,545,427,600,1,172,427,600,0,0,419,4,4,427,0,1850,2020,False,197,222,sebsi:1  marzouki:1  
24,6,10,116,2,545,421,600,2,177,421,600,0,0,406,8,7,421,0,1815,1930,True,222,184,sebsi:1  marzouki:1  
24,6,9,115,7,569,409,600,1,190,409,600,0,0,393,10,6,409,0,1830,1910,False,184,209,sebsi:1  marzouki:1  
24,6,9,115,6,569,455,599,0,144,455,599,0,0,449,3,3,455,0,1815,1930,False,229,220,sebsi:1  marzouki:1  
24,6,9,115,4,569,497,605,0,108,497,605,0,0,486,7,4,497,0,1810,1920,True,244,242,sebsi:1  marzouki:1  
24,6,9,115,3,569,503,602,0,99,503,602,0,0,491,5,7,503,0,1830,1910,True,277,214,sebsi:1  marzouki:1  
24,6,9,115,2,569,466,600,0,134,466,600,0,0,454,8,4,466,0,1820,1915,True,293,161,sebsi:1  marzouki:1  
24,6,9,115,1,569,497,600,0,103,497,600,0,0,488,8,1,497,0,1800,1930,False,333,155,sebsi:1  marzouki:1  
24,6,8,114,4,501,273,576,1,302,273,576,0,0,268,4,1,273,0,1815,1857,True,116,152,sebsi:1  marzouki:1  
24,6,8,114,3,504,323,600,1,277,322,600,0,1,317,4,1,322,0,1830,1935,True,129,188,sebsi:1  marzouki:1  
24,6,8,114,2,504,365,600,1,234,365,600,0,0,356,6,3,365,0,1805,1855,True,193,163,sebsi:1  marzouki:1  
24,6,8,114,1,504,356,600,1,243,356,600,0,0,348,6,2,356,0,1815,1945,True,221,127,sebsi:1  marzouki:1  
24,6,7,113,7,565,393,600,0,207,393,600,0,0,380,5,8,393,0,1815,1920,True,171,209,sebsi:1  marzouki:1  
24,6,7,113,6,567,381,600,0,219,381,600,0,0,374,2,5,381,0,,1845,True,151,223,sebsi:1  marzouki:1  
24,6,7,113,5,567,423,600,1,176,423,600,0,0,413,5,5,423,0,1830,1930,True,198,215,sebsi:1  marzouki:1  
24,6,7,113,4,567,446,600,1,153,446,600,0,0,440,4,2,446,0,1825,1935,True,181,259,sebsi:1  marzouki:1  
24,6,7,113,3,567,468,600,0,132,468,600,0,0,461,6,1,468,0,1831,1930,True,208,253,sebsi:1  marzouki:1  
24,6,7,113,2,567,420,600,2,178,420,600,0,0,411,6,3,420,0,1820,1938,True,198,213,sebsi:1  marzouki:1  
24,6,7,113,1,567,471,597,2,124,471,597,0,0,454,13,4,471,0,1830,1930,False,254,200,sebsi:1  marzouki:1  
24,6,6,112,6,542,354,601,0,247,354,601,0,0,345,4,5,354,0,1830,1915,True,145,200,sebsi:1  marzouki:1  
24,6,6,112,5,543,361,600,2,238,360,600,0,1,355,4,1,360,0,1805,2050,True,161,194,sebsi:1  marzouki:1  
24,6,6,112,4,543,422,600,0,178,422,600,0,0,416,4,2,422,0,1830,1925,False,157,259,sebsi:1  marzouki:1  
24,6,6,112,3,543,422,599,1,176,422,599,0,0,406,9,7,422,0,1838,1956,True,186,220,sebsi:1  marzouki:1  
24,6,6,112,1,543,430,603,0,173,430,603,0,0,417,12,1,430,0,1837,1945,True,237,180,sebsi:1  marzouki:1  
24,6,6,111,4,591,383,700,0,317,383,700,0,0,372,5,6,383,0,1815,1905,True,177,195,sebsi:1  marzouki:1  
24,6,6,111,3,591,453,700,0,248,452,700,0,1,435,10,7,452,0,1830,2000,True,190,245,sebsi:1  marzouki:1  
24,6,6,111,2,591,464,700,1,235,464,700,0,0,454,5,5,464,0,,1942,True,233,221,sebsi:1  marzouki:1  
24,6,6,111,1,591,454,700,1,245,454,700,0,0,443,7,4,454,0,,1919,True,253,190,sebsi:1  marzouki:1  
24,6,5,110,5,599,363,696,0,333,363,696,0,0,355,5,3,363,0,1830,1931,True,163,192,sebsi:1  marzouki:1  
24,6,5,110,4,599,443,700,3,254,443,700,0,0,438,1,4,443,0,1826,1945,False,226,212,sebsi:1  marzouki:1  
24,6,5,110,3,599,454,700,3,243,454,700,0,0,448,5,1,454,0,1820,1935,False,218,230,sebsi:1  marzouki:1  
24,6,5,110,2,599,429,699,0,270,429,699,0,0,417,12,0,429,0,1820,1935,True,234,183,sebsi:1  marzouki:1  
24,6,5,109,5,500,278,600,0,322,278,600,0,0,269,6,3,278,0,1832,1924,True,124,145,sebsi:1  marzouki:1  
24,6,5,109,3,504,375,600,1,224,375,600,0,0,362,10,3,375,0,,1907,True,179,183,sebsi:1  marzouki:1  
24,6,5,109,2,504,396,600,0,204,396,600,0,0,387,5,4,396,0,1810,1928,True,221,166,sebsi:1  marzouki:1  
24,6,5,109,1,504,382,600,0,218,382,600,0,0,376,5,1,382,0,1810,1900,True,224,152,sebsi:1  marzouki:1  
24,6,4,108,4,532,333,600,0,267,333,600,0,0,320,7,6,333,0,1800,1905,True,203,117,sebsi:1  marzouki:1  
24,6,4,108,3,532,357,600,0,243,357,600,0,0,353,2,2,357,0,1820,1925,False,219,134,sebsi:1  marzouki:1  
24,6,3,103,2,530,412,600,0,188,412,600,0,0,403,6,3,412,0,1820,1905,True,266,137,sebsi:1  marzouki:1  
24,6,3,103,1,530,425,600,2,173,425,600,0,0,417,4,4,425,0,1815,1910,True,333,84,sebsi:1  marzouki:1  
24,6,2,102,7,511,255,600,1,344,255,600,0,0,242,7,6,255,0,1800,1910,True,147,95,sebsi:1  marzouki:1  
24,6,2,102,6,515,305,600,1,294,305,600,0,0,293,10,2,305,0,1840,1925,True,182,111,sebsi:1  marzouki:1  
24,6,2,102,5,515,278,600,1,321,278,600,0,0,275,1,2,278,0,1839,1925,True,157,118,sebsi:1  marzouki:1  
24,6,2,102,4,515,376,600,0,224,376,600,0,0,368,2,6,376,0,1820,1920,False,245,123,sebsi:1  marzouki:1  
24,4,5,76,1,188,169,400,0,231,169,400,0,0,167,1,1,169,0,1810,1830,True,81,86,sebsi:1  marzouki:1  
24,4,4,70,4,548,426,600,2,172,426,600,0,0,424,2,0,426,0,1825,1915,True,137,287,sebsi:1  marzouki:1  
24,4,4,70,3,548,448,600,1,51,448,600,0,0,443,4,1,448,0,1820,1930,True,156,287,sebsi:1  marzouki:1  
24,4,4,70,2,548,387,600,0,213,387,600,0,0,383,3,1,387,0,1830,1910,True,141,242,sebsi:1  marzouki:1  
24,4,4,70,1,548,433,600,0,167,433,600,0,0,418,12,3,433,0,1830,1940,True,186,232,sebsi:1  marzouki:1  
24,4,4,69,6,524,364,600,0,236,364,600,0,0,359,0,5,364,0,1825,1911,False,115,244,sebsi:1  marzouki:1  
24,4,4,69,5,525,387,600,0,213,387,600,0,0,380,5,2,387,0,1815,1915,True,144,236,sebsi:1  marzouki:1  
24,4,1,60,7,546,399,598,0,199,399,598,0,0,387,4,8,399,0,1830,1920,False,125,262,sebsi:1  marzouki:1  
24,4,1,60,6,547,389,600,0,211,389,600,0,0,380,8,1,389,0,1815,1905,True,148,232,sebsi:1  marzouki:1  
24,4,1,60,4,547,443,600,0,157,443,600,0,0,434,5,4,443,0,1830,2000,True,134,300,sebsi:1  marzouki:1  
