circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers
25,2,6,34,1,171,89,200,0,111,89,200,0,0,87,0,2,89,0,1815,1830,False,8,79,sebsi:1  marzouki:1  
25,2,6,33,1,520,265,600,0,335,265,600,0,0,264,0,1,265,0,1810,1910,True,36,228,sebsi:1  marzouki:1  
25,2,5,32,1,502,336,600,0,264,336,600,0,0,324,9,3,336,0,1815,1851,True,157,167,sebsi:1  marzouki:1  
25,2,5,31,2,415,251,500,1,248,251,500,0,0,248,1,2,251,0,1818,1850,True,46,202,sebsi:1  marzouki:1  
25,2,5,31,1,416,321,500,0,179,321,500,0,0,318,0,3,321,0,1835,1937,True,87,231,sebsi:1  marzouki:1  
25,2,4,30,4,573,362,700,0,338,362,700,0,0,354,4,4,362,0,1835,1925,False,129,225,sebsi:1  marzouki:1  
25,2,4,30,3,576,387,700,0,313,387,700,0,0,378,3,6,387,0,1900,2005,True,166,212,sebsi:1  marzouki:1  
25,2,4,30,2,576,443,700,8,249,443,700,0,0,438,2,3,443,0,1837,1929,True,205,233,sebsi:1  marzouki:1  
25,2,4,30,1,576,433,700,0,267,433,700,0,0,427,3,3,433,0,1835,1940,True,252,175,sebsi:1  marzouki:1  
25,2,3,29,3,513,362,600,0,238,362,600,0,0,359,2,1,362,0,1820,1920,True,128,231,sebsi:1  marzouki:1  
25,2,3,29,2,514,397,600,0,203,397,600,0,0,393,2,2,397,0,1815,1900,True,167,226,sebsi:1  marzouki:1  
25,2,3,29,1,514,404,600,0,196,404,600,0,0,394,7,3,404,0,1830,1910,True,224,170,sebsi:1  marzouki:1  
25,2,3,28,4,481,327,600,0,273,327,600,0,0,315,10,2,327,0,1825,1945,True,105,210,:1  :1  
25,2,3,28,3,481,338,600,0,262,338,600,0,0,334,2,2,338,0,1810,1910,True,143,191,sebsi:1  marzouki:1  
25,2,3,28,2,481,390,600,0,210,390,600,0,0,389,1,0,390,0,1830,1920,True,173,216,sebsi:1  marzouki:1  
25,2,3,28,1,481,353,600,1,246,353,600,0,0,350,3,0,353,0,1815,1915,True,188,162,sebsi:1  marzouki:1  
25,2,2,27,2,464,322,500,0,178,322,500,0,0,314,6,2,322,0,1830,1920,True,92,222,sebsi:1  marzouki:1  
25,2,2,27,1,464,360,503,0,143,360,503,0,0,352,4,4,360,0,1820,1920,True,123,229,sebsi:1  marzouki:1  
25,2,2,26,4,544,372,600,0,228,372,600,0,0,358,12,2,372,0,1820,1945,True,91,267,sebsi:1  marzouki:1  
25,2,2,26,3,547,396,600,0,204,396,600,0,0,383,8,5,396,0,1820,1920,True,123,260,sebsi:1  marzouki:1  
25,2,2,26,2,547,423,600,3,174,423,600,0,0,414,7,2,423,0,1835,1941,True,145,269,sebsi:1  marzouki:1  
25,2,2,26,1,547,432,600,0,168,432,600,0,0,428,2,2,432,0,1837,1937,True,191,237,sebsi:1  marzouki:1  
25,2,2,25,4,570,400,700,0,300,400,700,0,0,395,2,3,400,0,1815,1922,True,73,322,sebsi:1  marzouki:1  
25,2,2,25,3,573,433,700,1,266,433,700,0,0,432,1,0,433,0,1835,1930,True,87,345,sebsi:1  marzouki:1  
25,2,2,25,2,573,467,705,0,238,467,705,0,0,459,5,3,467,0,1815,1930,True,114,345,sebsi:1  marzouki:1  
25,2,2,25,1,573,446,700,2,252,446,700,0,0,440,6,0,446,0,1810,1900,True,154,286,sebsi:1  marzouki:1  
25,2,1,24,1,426,236,498,0,262,236,498,0,0,232,3,1,236,0,1815,1853,True,133,99,sebsi:1  marzouki:1  
25,10,7,166,2,586,377,700,0,323,377,700,0,0,373,1,3,377,0,1810,1915,True,37,336,sebsi:1  marzouki:1  
25,10,7,166,1,586,469,700,1,230,469,700,0,0,461,4,4,469,0,1800,1911,True,99,362,sebsi:1  marzouki:1  
25,10,7,165,1,99,65,200,0,135,65,200,0,0,63,0,2,65,0,1815,1850,True,7,56,sebsi:1  marzouki:1  
25,10,7,164,1,277,213,300,0,87,213,300,0,0,210,2,1,213,0,1805,1900,True,95,115,sebsi:1  :1  
25,10,6,163,1,70,60,100,1,39,60,100,0,0,58,1,1,60,0,1815,1832,True,0,58,sebsi:1  marzouki:1  
25,10,6,162,1,490,398,600,1,201,398,600,0,0,393,5,0,398,0,1800,1924,True,84,309,sebsi:1  marzouki:1  
