circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
25,1,1,1,1,542,397,600,0,203,203,397,600,0,0,344,38,15,397,0,False,1,18,3,207,30,25,Gabès,1,El Hamma,1,1,E.P.L'OASIS EL HAMMA REGION N.,1,33.898312,9.795917
25,1,1,1,2,542,387,600,0,213,213,387,600,0,0,366,9,12,387,0,False,0,31,2,254,24,25,Gabès,1,El Hamma,1,1,E.P.L'OASIS EL HAMMA REGION N.,2,33.898312,9.795917
25,1,1,1,3,541,333,600,1,266,267,333,600,0,0,329,3,1,333,0,False,1,28,2,216,28,25,Gabès,1,El Hamma,1,1,E.P.L'OASIS EL HAMMA REGION N.,3,33.898312,9.795917
25,1,1,2,1,327,252,400,0,148,148,252,400,0,0,229,18,5,252,0,False,1,7,2,156,16,25,Gabès,1,El Hamma,1,2,E.P.ES'MARIA REGION NORD,1,33.899163,9.800933
25,1,1,2,2,327,199,400,0,201,201,199,400,0,0,189,4,6,199,0,False,0,6,3,143,11,25,Gabès,1,El Hamma,1,2,E.P.ES'MARIA REGION NORD,2,33.899163,9.800933
25,1,2,3,1,598,459,700,0,241,241,459,700,0,0,409,42,8,459,0,False,1,18,8,237,55,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,1,33.892101,9.797902
25,1,2,3,2,598,390,700,0,310,310,390,700,0,0,347,19,24,390,0,True,1,18,10,194,33,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,2,33.892101,9.797902
25,1,2,3,3,598,453,700,1,246,247,453,700,0,0,445,5,3,453,0,False,1,23,12,282,38,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,3,33.892101,9.797902
25,1,2,3,4,598,435,700,1,264,265,435,700,0,0,420,6,9,435,0,False,0,19,4,278,38,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,4,33.892101,9.797902
25,1,2,3,5,598,363,700,1,336,337,363,700,0,0,354,8,1,363,0,False,1,18,3,243,33,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,5,33.892101,9.797902
25,1,2,3,6,598,350,700,0,350,350,350,700,0,0,341,4,5,350,0,True,1,26,4,192,35,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,6,33.892101,9.797902
25,1,2,3,7,596,349,700,0,351,351,349,700,0,0,339,7,3,349,0,False,1,37,5,210,34,25,Gabès,1,El Hamma,2,3,E.P.KSAR EL HAMMA EL KSAR,7,33.892101,9.797902
25,1,2,4,1,399,288,501,1,213,214,287,501,0,1,274,5,8,287,0,False,0,11,5,163,39,25,Gabès,1,El Hamma,2,4,E.P.MED ALI EL HAMMA EL KSAR,1,33.889186,9.804735
25,1,2,4,2,399,245,500,0,255,255,245,500,0,0,239,3,3,245,0,False,1,17,5,150,30,25,Gabès,1,El Hamma,2,4,E.P.MED ALI EL HAMMA EL KSAR,2,33.889186,9.804735
25,1,3,5,1,554,412,607,1,194,195,412,607,0,0,368,23,21,412,0,False,1,22,3,214,63,25,Gabès,1,El Hamma,3,5,E.P.PLACE DAGHBAGI HAMA,1,33.885205,9.7954392
25,1,3,5,2,554,452,600,3,146,149,451,600,0,1,441,5,5,451,0,True,1,18,11,286,61,25,Gabès,1,El Hamma,3,5,E.P.PLACE DAGHBAGI HAMA,2,33.885205,9.7954392
25,1,3,5,3,554,391,600,0,209,209,391,600,0,0,384,5,2,391,0,True,0,20,3,258,43,25,Gabès,1,El Hamma,3,5,E.P.PLACE DAGHBAGI HAMA,3,33.885205,9.7954392
25,1,3,5,4,554,322,600,2,276,278,322,600,0,0,319,2,1,322,0,True,3,20,2,217,36,25,Gabès,1,El Hamma,3,5,E.P.PLACE DAGHBAGI HAMA,4,33.885205,9.7954392
25,1,3,5,5,551,290,600,0,310,310,290,600,0,0,286,2,2,290,0,False,2,27,5,186,33,25,Gabès,1,El Hamma,3,5,E.P.PLACE DAGHBAGI HAMA,5,33.885205,9.7954392
25,1,3,6,2,343,205,400,0,195,195,205,400,0,0,198,3,4,205,0,True,2,8,1,137,13,25,Gabès,1,El Hamma,3,6,E.P.14 JANVIER EL HAMMA EST (1),2,33.878976,9.7940403
25,1,4,7,1,594,445,700,4,255,259,441,700,0,4,366,27,48,441,0,False,4,6,1,192,45,25,Gabès,1,El Hamma,4,7,E.P.HAMMA DABDABA HAMA,1,33.878463,9.79418
25,1,4,7,2,599,436,700,3,264,267,433,700,0,0,352,24,57,433,0,True,2,15,5,206,30,25,Gabès,1,El Hamma,4,7,E.P.HAMMA DABDABA HAMA,2,33.878463,9.79418
25,1,4,7,3,599,466,705,1,238,239,466,705,0,0,439,11,16,466,0,False,3,19,4,301,44,25,Gabès,1,El Hamma,4,7,E.P.HAMMA DABDABA HAMA,3,33.878463,9.79418
25,1,4,7,4,599,396,700,1,303,304,396,700,0,0,373,8,15,396,0,False,0,15,3,259,23,25,Gabès,1,El Hamma,4,7,E.P.HAMMA DABDABA HAMA,4,33.878463,9.79418
25,1,4,7,5,599,371,700,0,329,329,371,700,0,0,356,8,7,371,0,True,0,22,1,246,28,25,Gabès,1,El Hamma,4,7,E.P.HAMMA DABDABA HAMA,5,33.878463,9.79418
25,1,4,7,6,595,338,700,0,362,362,338,700,0,0,333,3,2,338,0,False,2,22,1,226,37,25,Gabès,1,El Hamma,4,7,E.P.HAMMA DABDABA HAMA,6,33.878463,9.79418
25,1,4,8,1,578,430,700,2,268,270,430,700,0,0,405,16,9,430,0,False,2,24,3,247,44,25,Gabès,1,El Hamma,4,8,E.P.2MARS34 C.RAJRAJ ELHAMMA E,1,33.885919,9.799476
25,1,4,8,2,578,421,700,1,278,279,421,700,0,0,407,9,5,421,0,True,1,23,4,270,46,25,Gabès,1,El Hamma,4,8,E.P.2MARS34 C.RAJRAJ ELHAMMA E,2,33.885919,9.799476
25,1,4,8,3,579,357,700,1,342,343,357,700,0,0,352,4,1,357,0,True,6,33,2,220,46,25,Gabès,1,El Hamma,4,8,E.P.2MARS34 C.RAJRAJ ELHAMMA E,3,33.885919,9.799476
25,1,4,9,1,493,349,600,1,250,251,349,600,0,0,293,27,29,349,0,True,0,18,1,185,26,25,Gabès,1,El Hamma,4,9,E.P.IMAM SAHNOUNE EST (2),1,33.881267,9.79523
25,1,4,9,2,493,377,600,0,223,223,377,600,0,0,369,4,4,377,0,True,2,21,3,261,24,25,Gabès,1,El Hamma,4,9,E.P.IMAM SAHNOUNE EST (2),2,33.881267,9.79523
25,1,4,9,3,493,320,600,0,280,280,320,600,0,0,302,5,13,320,0,False,0,24,0,218,25,25,Gabès,1,El Hamma,4,9,E.P.IMAM SAHNOUNE EST (2),3,33.881267,9.79523
