circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
1,1,1,1,1,536,400,598,3,195,198,400,598,0,0,365,26,9,400,0,False,9,22,8,117,136,1,Tunis 1,1,Hraïria,1,1,E.P.ZOUHOUR 4 PROLONGEE HRAIRIA,1,36.793974,10.121875
1,1,1,1,2,536,406,600,3,191,194,406,600,0,0,401,0,5,406,0,False,10,24,8,176,120,1,Tunis 1,1,Hraïria,1,1,E.P.ZOUHOUR 4 PROLONGEE HRAIRIA,2,36.793974,10.121875
1,1,1,1,3,535,352,600,2,246,248,352,600,0,0,350,2,0,352,0,False,14,30,19,102,142,1,Tunis 1,1,Hraïria,1,1,E.P.ZOUHOUR 4 PROLONGEE HRAIRIA,3,36.793974,10.121875
1,1,1,2,1,456,368,500,3,129,132,368,500,0,0,327,37,4,368,0,False,6,26,4,100,124,1,Tunis 1,1,Hraïria,1,2,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,1,36.787866,10.123078
1,1,1,2,2,456,347,500,0,153,153,347,500,0,0,320,12,15,347,0,False,7,21,10,127,98,1,Tunis 1,1,Hraïria,1,2,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,2,36.787866,10.123078
1,1,1,2,3,456,332,500,1,167,168,332,500,0,0,326,2,4,332,0,False,7,20,4,154,97,1,Tunis 1,1,Hraïria,1,2,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,3,36.787866,10.123078
1,1,1,2,4,454,300,500,2,198,200,300,500,0,0,297,0,3,300,0,False,6,42,8,88,113,1,Tunis 1,1,Hraïria,1,2,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,4,36.787866,10.123078
1,1,1,3,1,567,442,600,3,155,158,442,600,0,0,402,28,12,442,0,False,3,25,9,155,120,1,Tunis 1,1,Hraïria,1,3,E.P.HRAIRIA 3 -HRAIRIA,1,36.790492,10.121185
1,1,1,3,2,566,374,600,0,226,226,374,600,0,0,367,3,4,374,0,False,10,36,11,160,95,1,Tunis 1,1,Hraïria,1,3,E.P.HRAIRIA 3 -HRAIRIA,2,36.790492,10.121185
1,1,2,4,1,596,460,700,1,240,241,459,700,0,1,413,37,9,459,0,True,10,24,6,129,134,1,Tunis 1,1,Hraïria,2,4,E.P.ZOUHOUR 5 PROLONGEE 1,1,36.789193,10.109886
1,1,2,4,2,596,459,700,1,240,241,459,700,0,0,427,14,18,459,0,True,10,38,4,174,139,1,Tunis 1,1,Hraïria,2,4,E.P.ZOUHOUR 5 PROLONGEE 1,2,36.789193,10.109886
1,1,2,4,3,596,447,700,1,252,253,447,700,0,0,435,10,2,447,0,True,13,31,14,189,119,1,Tunis 1,1,Hraïria,2,4,E.P.ZOUHOUR 5 PROLONGEE 1,3,36.789193,10.109886
