circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
2,5,1,32,9,534,383,596,0,213,383,596,0,0,376,5,2,383,0,1815,1940,True,326,50,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,32,E.P.RUE DES ROSES MARSA,9,36.886307,10.325267
2,5,1,33,1,572,498,700,1,201,498,700,0,0,486,7,5,498,0,1820,1930,False,436,50,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,1,36.881794,10.326371
2,5,1,33,2,572,503,700,0,197,503,700,0,0,497,5,1,503,0,,1930,False,441,56,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,2,36.881794,10.326371
2,5,1,33,3,572,510,700,1,189,510,700,0,0,501,7,2,510,0,1800,2000,True,444,57,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,3,36.881794,10.326371
2,5,1,33,4,572,493,700,1,206,493,700,0,0,489,4,0,493,0,1820,1930,False,419,70,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,4,36.881794,10.326371
2,5,1,33,5,572,468,700,0,232,468,700,0,0,461,6,1,468,0,1818,1930,False,394,67,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,5,36.881794,10.326371
2,5,1,33,6,572,474,700,2,224,474,700,0,0,461,8,5,474,0,1805,1905,False,410,51,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,6,36.881794,10.326371
2,5,1,33,7,572,419,700,1,280,419,700,0,0,403,11,5,419,0,,1845,False,344,59,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,7,36.881794,10.326371
2,5,1,33,8,572,421,702,0,281,421,702,0,0,413,3,5,421,0,1815,1914,True,348,65,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,33,E.P.AVENUE BOURGUIBA MARSA -MARSA VILLE,8,36.881794,10.326371
2,5,1,34,1,589,494,700,2,204,494,700,0,0,490,2,2,494,0,1835,1935,True,412,78,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,1,36.880702,10.327344
2,5,1,34,2,589,498,700,2,201,497,700,0,1,487,6,4,497,0,1832,2007,False,414,73,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,2,36.880702,10.327344
2,5,1,34,3,589,502,700,1,197,502,700,0,0,496,4,2,502,0,1830,1952,True,435,61,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,3,36.880702,10.327344
2,5,1,34,4,589,472,700,1,227,472,700,0,0,464,8,0,472,0,1825,1930,False,386,78,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,4,36.880702,10.327344
2,5,1,34,5,589,485,700,0,215,485,700,0,0,475,4,6,485,0,1825,1925,False,390,85,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,5,36.880702,10.327344
2,5,1,34,6,589,434,700,0,266,434,700,0,0,415,11,8,434,0,1814,1923,False,328,87,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,6,36.880702,10.327344
2,5,1,34,7,587,395,707,0,312,395,707,0,0,389,4,2,395,0,1806,1909,True,332,57,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,34,E.P.AV. T. M'HIRI MARSA  -MARSA VILLE,7,36.880702,10.327344
2,5,1,35,1,595,449,725,2,274,449,725,0,0,433,13,3,449,0,1815,1930,False,366,67,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,35,COLLEGE  FADHEL BEN ACHOUR MARSA VILLE,1,36.87974,10.325749
2,5,1,35,3,595,463,700,1,236,463,700,0,0,451,9,3,463,0,1827,1927,True,362,89,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,35,COLLEGE  FADHEL BEN ACHOUR MARSA VILLE,3,36.87974,10.325749
2,5,1,35,4,595,450,700,0,250,450,700,0,0,444,5,1,450,0,1830,1925,False,363,81,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,35,COLLEGE  FADHEL BEN ACHOUR MARSA VILLE,4,36.87974,10.325749
2,5,1,35,5,595,418,700,1,282,417,700,0,1,408,5,4,417,0,1830,2050,False,323,85,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,35,COLLEGE  FADHEL BEN ACHOUR MARSA VILLE,5,36.87974,10.325749
2,5,1,35,6,595,402,701,1,298,402,701,0,0,393,5,4,402,0,1830,1950,False,327,66,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,35,COLLEGE  FADHEL BEN ACHOUR MARSA VILLE,6,36.87974,10.325749
2,5,1,36,1,555,426,600,1,173,426,600,0,0,420,5,1,426,0,1830,1940,False,358,62,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,36,Collége Taieb Mhiri la Marsa,1,36.88187,10.326429
2,5,1,36,3,555,361,600,1,238,361,600,0,0,354,5,2,361,0,1820,1925,False,299,55,sebsi:1  marzouki:1  ,2,Tunis 2,5,La Marsa,1,36,Collége Taieb Mhiri la Marsa,3,36.88187,10.326429
