circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
20,1,1,1,1,420,347,500,2,152,154,346,500,0,1,327,14,5,346,0,True,16,2,1,69,196,20,Sousse,1,Akouda,1,1,E.P.ER RAJIHIA AKOUDA,1,35.866795,10.567904
20,1,1,1,2,420,320,500,2,178,180,320,500,0,0,315,1,4,320,0,True,20,1,2,85,174,20,Sousse,1,Akouda,1,1,E.P.ER RAJIHIA AKOUDA,2,35.866795,10.567904
20,1,1,1,3,418,292,500,1,207,1,292,293,207,0,289,2,1,292,0,True,31,2,3,45,178,20,Sousse,1,Akouda,1,1,E.P.ER RAJIHIA AKOUDA,3,35.866795,10.567904
20,1,1,2,1,518,447,600,1,152,1,447,448,152,0,426,12,9,447,0,True,22,2,13,62,269,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,1,35.86946,10.570588
20,1,1,2,2,518,441,600,1,158,159,441,600,0,0,410,9,22,441,0,True,34,3,5,72,233,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,2,35.86946,10.570588
20,1,1,2,3,518,432,600,1,167,168,432,600,0,0,427,3,2,432,0,True,36,5,5,117,205,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,3,35.86946,10.570588
20,1,1,2,4,518,441,600,0,159,159,441,600,0,0,439,2,0,441,0,True,46,1,5,111,215,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,4,35.86946,10.570588
20,1,1,2,5,518,365,600,4,231,235,365,600,0,0,356,8,1,365,0,False,24,3,9,93,173,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,5,35.86946,10.570588
20,1,1,2,6,518,365,600,0,235,235,365,600,0,0,364,0,1,365,0,True,42,3,6,75,187,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,6,35.86946,10.570588
20,1,1,2,7,517,383,600,0,216,216,384,600,0,1,376,4,4,384,0,True,52,6,7,52,210,20,Sousse,1,Akouda,1,2,E.P.F.HACHED AKOUDA,7,35.86946,10.570588
20,1,1,3,1,315,237,400,0,163,163,237,400,0,0,231,4,2,237,0,True,13,7,8,59,99,20,Sousse,1,Akouda,1,3,E.P.OUED EL AROUG AKOUDA,1,35.874887,10.57664
20,1,1,3,2,315,201,400,0,199,199,201,400,0,0,194,4,3,201,0,True,16,4,3,49,93,20,Sousse,1,Akouda,1,3,E.P.OUED EL AROUG AKOUDA,2,35.874887,10.57664
20,1,2,4,1,550,442,600,0,157,157,443,600,0,1,418,20,5,443,0,False,19,4,8,57,250,20,Sousse,1,Akouda,2,4,E.P.BOURGUIBA AKOUDA OUEST,1,35.865892,10.567534
20,1,2,4,2,550,449,450,1,150,151,449,600,0,0,449,3,9,449,0,True,36,2,5,99,242,20,Sousse,1,Akouda,2,4,E.P.BOURGUIBA AKOUDA OUEST,2,35.865892,10.567534
20,1,2,4,3,550,412,602,0,190,190,412,602,0,0,403,1,8,412,0,True,32,1,5,82,223,20,Sousse,1,Akouda,2,4,E.P.BOURGUIBA AKOUDA OUEST,3,35.865892,10.567534
20,1,2,4,4,548,384,600,0,216,216,384,600,0,0,375,4,5,384,0,True,44,7,10,49,228,20,Sousse,1,Akouda,2,4,E.P.BOURGUIBA AKOUDA OUEST,4,35.865892,10.567534
20,1,2,5,1,498,416,600,3,183,186,415,600,0,1,391,17,7,498,83,True,22,4,1,68,242,20,Sousse,1,Akouda,2,5,"E.P.""ALI HATTAB""AKOUDA OUEST",1,35.872411,10.562299
20,1,2,5,2,498,432,600,7,162,169,431,600,0,1,414,11,6,431,0,True,23,2,2,95,242,20,Sousse,1,Akouda,2,5,"E.P.""ALI HATTAB""AKOUDA OUEST",2,35.872411,10.562299
20,1,2,5,3,498,406,600,0,194,194,406,600,0,0,403,2,1,406,0,False,37,2,5,108,187,20,Sousse,1,Akouda,2,5,"E.P.""ALI HATTAB""AKOUDA OUEST",3,35.872411,10.562299
20,1,2,5,4,498,358,600,1,242,343,357,600,0,1,347,8,2,357,0,True,25,3,6,86,185,20,Sousse,1,Akouda,2,5,"E.P.""ALI HATTAB""AKOUDA OUEST",4,35.872411,10.562299
20,1,2,5,5,498,352,600,0,248,248,352,600,0,0,350,2,0,352,0,True,27,1,7,63,202,20,Sousse,1,Akouda,2,5,"E.P.""ALI HATTAB""AKOUDA OUEST",5,35.872411,10.562299
20,1,2,6,1,454,315,500,0,185,185,315,500,0,0,298,12,5,315,0,True,7,2,0,68,156,20,Sousse,1,Akouda,2,6,E.P.HATEM AKOUDA OUEST,1,35.882213,10.565409
20,1,3,7,1,505,405,600,1,195,196,404,600,0,1,384,13,7,404,0,True,21,2,11,86,222,20,Sousse,1,Akouda,3,7,E.P.CHOTT MERIEM,1,35.93808,10.555099
20,1,3,7,2,505,427,600,0,173,173,427,600,0,0,409,15,3,427,0,True,16,4,6,95,219,20,Sousse,1,Akouda,3,7,E.P.CHOTT MERIEM,2,35.93808,10.555099
20,1,3,7,3,505,393,600,0,207,207,393,600,0,0,388,1,4,393,0,True,17,5,5,99,213,20,Sousse,1,Akouda,3,7,E.P.CHOTT MERIEM,3,35.93808,10.555099
20,1,3,7,4,505,337,600,1,262,263,337,600,0,0,330,4,3,337,0,True,9,6,7,88,188,20,Sousse,1,Akouda,3,7,E.P.CHOTT MERIEM,4,35.93808,10.555099
20,1,3,7,5,504,344,600,0,256,256,344,600,0,0,338,4,2,344,0,True,24,7,15,47,204,20,Sousse,1,Akouda,3,7,E.P.CHOTT MERIEM,5,35.93808,10.555099
20,1,4,8,1,508,388,600,1,211,212,388,600,0,0,368,16,4,388,0,True,12,3,17,73,215,20,Sousse,1,Akouda,4,8,E.P.EL FAKAIA,1,35.959825,10.532746
20,1,5,9,1,531,437,600,2,162,164,436,600,0,1,424,7,5,436,0,True,19,1,4,79,259,20,Sousse,1,Akouda,5,9,E.P.TANTANA AKOUDA,1,35.922783,10.568106
20,1,5,9,2,531,426,600,2,172,174,426,600,0,0,421,2,3,426,0,True,35,6,4,66,246,20,Sousse,1,Akouda,5,9,E.P.TANTANA AKOUDA,2,35.922783,10.568106
20,1,5,9,3,529,330,600,3,267,270,330,600,0,0,324,3,3,330,0,True,36,4,9,43,199,20,Sousse,1,Akouda,5,9,E.P.TANTANA AKOUDA,3,35.922783,10.568106
20,2,1,10,1,559,457,600,2,143,145,455,600,0,2,430,19,6,455,0,True,5,11,6,121,196,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,1,35.790686,10.620872
20,2,1,10,2,559,461,600,1,138,139,461,600,0,0,434,24,3,461,0,True,3,3,5,99,247,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,2,35.790686,10.620872
20,2,1,10,3,559,406,600,1,193,194,406,600,0,0,397,10,1,407,1,True,4,7,6,132,164,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,3,35.790686,10.620872
20,2,1,10,4,559,380,600,1,219,220,379,599,1,1,368,6,5,379,0,True,4,10,13,104,160,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,4,35.790686,10.620872
20,2,1,10,5,559,312,600,1,287,288,312,600,0,0,303,4,5,312,0,True,5,3,4,83,153,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,5,35.790686,10.620872
20,2,1,10,6,559,331,601,0,270,270,331,601,0,0,326,2,3,331,0,True,7,7,4,76,160,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,6,35.790686,10.620872
20,2,1,10,7,533,355,600,0,245,245,355,600,0,0,349,4,2,355,0,True,8,7,3,82,176,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,10,E.P.LA REPUBLIQUE  ZT SOUSSE,7,35.790686,10.620872
20,2,1,11,1,485,349,600,1,250,1,349,350,250,0,298,29,22,349,0,True,1,3,7,55,150,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,11,E.P.EL AHD EL JEDID  ZT SOUSSE,1,35.792369,10.630691
20,2,1,11,2,485,360,500,0,140,140,360,500,0,0,341,11,8,360,0,True,4,1,8,69,183,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,11,E.P.EL AHD EL JEDID  ZT SOUSSE,2,35.792369,10.630691
20,2,1,11,3,485,327,600,0,273,273,327,600,0,0,300,24,3,327,0,True,1,3,1,65,154,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,11,E.P.EL AHD EL JEDID  ZT SOUSSE,3,35.792369,10.630691
20,2,1,11,4,485,291,600,0,309,309,291,600,0,0,275,7,9,291,0,True,0,3,3,54,150,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,11,E.P.EL AHD EL JEDID  ZT SOUSSE,4,35.792369,10.630691
20,2,1,11,5,482,281,500,0,219,219,281,500,0,0,278,1,2,281,0,True,5,4,6,57,168,20,Sousse,2,El Zawya-El Ksiba- El Thrayet,1,11,E.P.EL AHD EL JEDID  ZT SOUSSE,5,35.792369,10.630691
