circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
17,1,1,1,1,537,368,600,3,229,368,600,0,0,362,6,0,368,0,1808,1900,True,147,215,sebsi:  marzouki:  ,17,Gafsa,1,Redeyef,1,1,E.P.CITE ENNOUR ERDAIEF CENTRE,1,34.379935,8.147416
17,1,1,1,2,536,284,596,0,312,284,596,0,0,276,7,1,284,0,1810,1900,True,66,210,sebsi:  marzouki:  ,17,Gafsa,1,Redeyef,1,1,E.P.CITE ENNOUR ERDAIEF CENTRE,2,34.379935,8.147416
17,1,1,2,1,266,147,300,0,153,147,300,0,0,139,5,3,147,0,1805,1838,True,36,103,sebsi:0  marzouki:1  ,17,Gafsa,1,Redeyef,1,2,E.P.EL FAOUZ RDAIEF Centre,1,34.377363,8.147193
17,1,2,3,1,416,252,500,0,248,252,500,0,0,246,4,2,252,0,1800,1850,True,48,198,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,2,3,E.P.SIDI ABDELKADER RDAIEF N.,1,34.376011,8.13612
17,1,2,3,2,416,217,500,1,282,217,500,0,0,213,2,2,217,0,1820,1901,True,30,183,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,2,3,E.P.SIDI ABDELKADER RDAIEF N.,2,34.376011,8.13612
17,1,2,4,1,420,291,500,1,209,290,500,0,1,282,5,3,290,0,1800,1843,True,50,232,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,2,4,E.P.EL MANJEM ERDEYEF,1,34.38124321,8.14122982
17,1,2,4,2,419,258,500,0,242,258,500,0,0,253,2,3,258,0,1815,1838,True,40,213,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,2,4,E.P.EL MANJEM ERDEYEF,2,34.38124321,8.14122982
17,1,2,5,1,83,64,200,0,136,64,200,0,0,62,2,0,64,0,1800,1830,True,8,54,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,2,5,E.P. ECH'CHEBBI ERDEYEF,1,34.398076,8.170762
17,1,3,6,1,511,348,600,0,250,348,598,2,0,336,12,0,348,0,1800,1925,True,97,239,sebsi:0  marzouki:1  ,17,Gafsa,1,Redeyef,3,6,E.P.CITE ZOMRA ERDAIEF SUD,1,34.377107,8.148092
17,1,3,6,2,511,322,600,0,278,322,600,0,0,317,4,1,322,0,1815,,True,86,231,sebsi:0  marzouki:1  ,17,Gafsa,1,Redeyef,3,6,E.P.CITE ZOMRA ERDAIEF SUD,2,34.377107,8.148092
17,1,3,6,3,511,339,600,0,261,339,600,0,0,327,11,1,339,0,1810,1915,True,86,241,sebsi:0  marzouki:1  ,17,Gafsa,1,Redeyef,3,6,E.P.CITE ZOMRA ERDAIEF SUD,3,34.377107,8.148092
17,1,3,6,4,511,291,600,0,309,291,600,0,0,280,8,3,291,0,1800,1855,True,48,232,sebsi:0  marzouki:1  ,17,Gafsa,1,Redeyef,3,6,E.P.CITE ZOMRA ERDAIEF SUD,4,34.377107,8.148092
17,1,3,6,5,511,246,600,1,353,246,600,0,0,235,10,1,246,0,1820,1900,True,41,194,sebsi:0  marzouki:1  ,17,Gafsa,1,Redeyef,3,6,E.P.CITE ZOMRA ERDAIEF SUD,5,34.377107,8.148092
17,1,3,6,6,506,233,600,0,367,233,600,0,0,223,9,1,233,0,1810,1900,True,28,195,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,3,6,E.P.CITE ZOMRA ERDAIEF SUD,6,34.377107,8.148092
17,1,3,7,1,57,30,100,0,70,30,100,0,0,30,0,0,30,0,1815,1819,True,3,27,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,3,7,E.P.ZAGDOUD 1 RDAEIF Sud,1,34.309002,8.107148
17,1,3,8,1,108,58,200,0,142,58,200,0,0,56,0,2,58,0,1800,,True,9,47,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,3,8,E.P.WAFA ZAGDOUD2 RDAEIF Sud,1,34.270396,8.089543
17,1,4,9,1,448,316,500,0,184,316,500,0,0,310,3,3,316,0,1800,,True,68,242,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,4,9,E.P.CITE ETTAHRIR ERDAIEF GARE,1,34.392472,8.164572
17,1,4,9,2,448,292,500,0,208,292,500,0,0,289,2,1,292,0,1805,1838,True,41,248,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,4,9,E.P.CITE ETTAHRIR ERDAIEF GARE,2,34.392472,8.164572
17,1,4,9,3,446,227,500,0,273,227,500,0,0,223,1,3,227,0,1811,1839,True,32,191,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,4,9,E.P.CITE ETTAHRIR ERDAIEF GARE,3,34.392472,8.164572
17,1,4,10,1,538,359,600,0,241,359,600,0,0,350,4,5,359,0,1805,1905,True,109,241,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,4,10,E.P. LA GARE RDAEIF,1,34.387289,8.1533256
17,1,4,10,2,537,248,604,0,356,248,604,0,0,241,4,3,248,0,1830,,True,47,194,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,10,E.P. LA GARE RDAEIF,2,34.387289,8.1533256
17,1,4,11,1,428,298,500,1,201,298,500,0,0,289,3,6,298,0,1810,1915,True,51,238,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,11,E.P.EL FATH RDAEIF GARE,1,34.39213,8.164927
17,1,4,11,2,428,292,500,0,208,292,500,0,0,285,5,2,292,0,1810,1900,True,49,236,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,11,E.P.EL FATH RDAEIF GARE,2,34.39213,8.164927
17,1,4,11,3,426,205,500,0,295,205,500,0,0,199,4,2,205,0,1800,1845,True,27,172,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,11,E.P.EL FATH RDAEIF GARE,3,34.39213,8.164927
17,1,4,12,1,410,285,500,0,215,285,500,0,0,280,3,2,285,0,1800,1830,True,69,211,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,12,E.P.2 MARS 1934 RDAEIF GARE,1,34.380362,8.1597243
17,1,4,12,2,410,232,500,0,268,232,500,0,0,226,4,2,232,0,1819,1930,True,33,193,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,12,E.P.2 MARS 1934 RDAEIF GARE,2,34.380362,8.1597243
17,1,4,12,3,410,210,500,0,290,210,500,0,0,205,5,0,210,0,1810,1900,True,24,181,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,4,12,E.P.2 MARS 1934 RDAEIF GARE,3,34.380362,8.1597243
17,1,5,13,1,457,253,500,0,247,253,500,0,0,233,16,4,253,0,1800,1830,True,69,164,sebsi:1  marzouki:1  ,17,Gafsa,1,Redeyef,5,13,E.P.OUED JEMEL ERDAIEF TABDIT,1,34.41726,8.307115
17,1,5,14,1,123,73,200,0,127,73,200,0,0,71,1,1,73,0,1810,1830,True,4,67,sebsi:1  marzouki:0  ,17,Gafsa,1,Redeyef,5,14,E.P.OUED EL HECHI RDAEIF TEBDIT,1,34.447018,8.273793
17,2,1,15,1,480,283,600,0,317,283,600,0,0,279,1,3,283,0,1800,1900,True,150,129,sebsi:1  marzouki:0  ,17,Gafsa,2,Sened,1,15,E.P.SENED GARE,1,34.541158,9.2539436
17,2,1,15,2,480,296,600,0,304,296,600,0,0,291,3,2,296,0,1810,1930,True,116,175,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,1,15,E.P.SENED GARE,2,34.541158,9.2539436
17,2,1,15,3,480,239,600,0,361,239,600,0,0,235,1,3,239,0,1813,1705,True,81,154,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,1,15,E.P.SENED GARE,3,34.541158,9.2539436
17,2,1,15,4,478,224,600,0,376,224,600,0,0,220,4,0,224,0,1805,1841,True,70,150,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,1,15,E.P.SENED GARE,4,34.541158,9.2539436
17,2,1,16,1,148,76,200,0,124,76,200,0,0,75,1,0,76,0,1830,1945,True,43,32,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,1,16,E.P.JEBEL SENED,1,34.464283,9.2644328
17,2,1,17,1,313,151,400,2,248,150,400,0,1,144,1,5,150,0,1815,1835,True,67,77,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,1,17,E.P.SMAIRIA SNED,1,34.549656,9.30459
17,2,2,21,1,456,253,500,0,247,253,500,0,0,244,1,8,253,0,1810,1835,True,153,91,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,2,21,E.P.ZANNOUCHE GARE SNED,1,34.468982,9.049347
17,2,2,21,3,456,167,500,0,333,167,500,0,0,163,3,1,167,0,1805,1850,True,66,97,sebsi:1  marzouki:1  ,17,Gafsa,2,Sened,2,21,E.P.ZANNOUCHE GARE SNED,3,34.468982,9.049347
