circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,ارادة الشعب,الأمان,الائتلاف الديمقراطي ,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الانفتاح والوفاء,البؤساء,البناء الوطني,التحالف الديمقراطي,التكافل الاجتماعي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الاسلامي التونسي,الحزب الاشتراكي,الحزب التونسي,الحزب الجمهوري,الحزب الشعبي التقدمي,الشعب يريد,العريضة الشعبية,القائمة الدستورية الموحدة,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,تونس مش للبيع,تيار المحبة,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الخضر للتقدم,حزب العمل التونسي,حزب المجد,حزب الوحدة,صوت شعب تونس,عزم توكل بناء,قائمة أمل تونس,قائمة الحزب الليبرالي التونسي,قائمة حركة الشباب الوطني التونسي,نحب بلادي نظيفة,حركة نداء تونس,observers
1,11,6,99,1,531,415,600,1,185,186,414,600,0,1,379,29,6,414,0,True,1910,2140,2,4,2,0,1,0,2,34,3,1,3,1,3,1,2,4,0,4,2,2,1,7,1,2,1,2,0,0,1,4,7,1,2,122,4,2,3,4,14,3,0,2,1,2,3,119,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,11,5,98,7,520,363,600,0,237,237,363,600,0,0,356,3,4,363,0,False,1830,2140,1,7,1,0,0,2,2,51,3,0,2,1,2,0,1,8,11,1,1,0,1,3,0,1,2,2,0,4,0,2,1,0,1,145,0,0,0,0,3,2,1,0,0,0,1,93,حركة النهضة:1  نداء تونس:1  
1,11,5,98,6,523,319,600,0,281,381,319,600,0,0,310,3,6,319,0,False,1912,2103,0,5,1,0,0,0,0,57,1,0,0,0,1,0,2,11,7,0,1,0,0,4,0,1,1,0,0,2,0,1,0,2,1,158,1,1,0,1,0,1,0,0,0,1,0,92,حركة النهضة:1  الحزب الجمهوري:1  نداء تونس:1  العريضة الشعبية:1  
1,11,5,98,5,523,333,600,0,267,267,333,600,0,0,324,5,4,333,0,False,1838,2057,1,6,1,0,0,0,0,50,0,0,0,0,0,1,1,15,6,0,1,0,0,9,1,0,0,1,0,1,0,6,0,0,1,130,0,1,0,2,1,0,0,0,0,1,0,88,حركة النهضة:1  نداء تونس:1  
1,11,5,98,4,523,373,600,0,227,227,373,600,0,0,395,6,4,418,0,False,1845,2100,0,7,0,0,0,0,2,58,0,1,1,1,4,0,0,7,5,0,2,0,3,12,0,0,0,2,1,5,1,0,0,1,2,158,1,0,0,1,2,2,0,1,0,0,0,83,حركة النهضة:2  نداء تونس:1  الاتحاد الوطني الحر:1  
1,11,5,98,3,523,403,600,0,197,197,403,600,0,0,357,38,8,403,0,False,1915,2219,1,2,1,0,0,0,3,28,0,1,1,3,2,1,3,6,9,1,4,1,0,6,1,1,0,2,0,4,0,6,2,1,3,162,1,0,0,0,5,1,0,3,0,2,2,88,حركة النهضة:1  نداء تونس:2  
1,11,5,98,2,523,418,600,1,181,182,418,600,0,0,418,21,2,441,23,False,1845,2100,1,8,0,0,2,2,0,42,4,0,1,1,3,3,1,1,6,1,2,1,1,8,2,0,1,1,1,2,0,3,1,2,1,135,2,2,1,2,6,2,1,3,1,1,1,136,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  
1,11,5,98,1,523,416,600,0,185,185,415,600,0,1,378,33,4,415,1,False,1845,2138,0,6,2,1,1,2,2,32,1,2,1,1,3,1,1,5,6,1,1,3,0,10,1,1,0,1,0,3,2,4,0,1,1,132,3,4,2,0,7,1,1,1,0,0,1,130,نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
1,11,5,97,2,589,353,700,0,346,346,354,700,0,1,346,3,5,354,0,False,19:15,21:30,0,10,1,0,0,0,0,48,1,0,1,0,0,1,0,12,18,2,2,0,1,5,1,0,0,0,0,7,0,2,0,0,0,145,4,2,1,0,3,2,0,1,0,1,0,75,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:2  
1,11,5,97,1,590,440,700,3,257,260,439,700,0,0,417,15,7,439,1,False,18:30,22:05,4,3,2,1,0,0,2,53,2,1,0,3,3,3,3,5,7,1,0,0,0,4,3,2,2,2,6,6,1,9,3,1,2,172,3,1,2,2,13,2,0,2,0,1,1,90,الاتحاد الوطني الحر:1  العريضة الشعبية:1  تيار المحبة:1  نداء تونس:2  حركة النهضة:2  
1,11,4,96,4,555,306,600,1,293,294,306,600,0,0,297,7,2,306,0,False,18h10,20h20,0,6,0,0,0,1,2,47,0,0,0,0,0,0,1,4,14,2,2,0,0,7,1,1,2,2,0,2,0,3,0,1,1,107,0,1,0,0,2,3,0,0,0,0,0,85,حركة النهضة:1  نداء تونس:1  
1,11,4,96,3,557,334,600,2,264,266,334,600,0,0,321,6,7,334,0,False,18h40,21h30,1,12,1,0,0,2,1,38,4,0,2,1,2,0,1,8,8,2,3,0,0,7,0,0,2,0,0,4,0,1,0,3,1,125,1,1,1,0,2,0,1,0,0,2,1,83,حركة النهضة:1  نداء تونس:1  العريضة الشعبية:1  
1,11,4,96,2,557,401,600,1,209,210,401,611,11,0,357,29,15,401,0,False,1905,2340,1,5,0,2,0,0,2,40,1,1,2,1,2,2,1,2,3,3,2,4,0,11,4,2,3,0,0,1,1,4,1,0,5,137,5,6,1,1,6,1,0,2,0,1,1,90,الاتحاد الوطني الحر:1  نداء تونس:1  حركة النهضة:1  
1,11,4,96,1,557,413,600,2,185,187,413,600,0,0,387,22,4,413,0,False,1840,2220,3,4,0,1,2,0,2,54,3,4,1,5,2,3,0,5,6,2,3,3,2,6,1,1,1,0,1,2,2,5,2,1,10,118,3,3,0,4,10,4,0,2,0,1,2,103,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  تيار المحبة:1  
1,11,4,95,1,362,202,400,0,198,198,202,400,0,0,183,18,1,202,0,True,1820,1930,0,3,0,0,0,1,0,27,0,0,0,1,1,1,0,0,3,0,2,0,0,2,0,0,3,0,1,2,0,4,0,1,1,47,0,1,0,0,5,0,0,1,0,0,0,76,الجبهة الشعبية:1  حركة النهضة:1  نداء تونس:2  الاتحاد الوطني الحر:1  
1,11,3,94,2,552,350,600,0,250,250,350,600,0,0,341,9,0,350,0,False,18h37,20h30,1,3,1,0,1,1,2,58,3,0,2,0,1,0,1,2,40,1,3,0,6,6,1,1,3,1,0,1,0,1,0,2,1,128,1,0,0,0,7,1,0,1,2,1,0,63,حركة النهضة:1  تيار المحبة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,11,3,94,1,553,404,600,0,196,196,404,600,0,0,383,12,9,404,0,False,1818,,1,1,0,1,3,1,0,35,1,0,1,2,4,2,3,3,47,2,4,1,1,2,2,1,4,2,2,2,0,1,1,2,3,140,9,4,1,2,6,1,1,1,0,0,2,81,حركة النهضة:2  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  نداء تونس:1  
1,11,3,93,3,528,324,600,0,277,277,323,600,0,1,318,3,2,323,0,True,1900,2140,0,4,0,0,0,2,1,49,2,0,2,0,4,0,5,1,15,1,1,0,1,4,1,1,4,0,0,4,0,7,0,0,0,101,3,2,1,0,3,1,0,0,1,0,0,97,حركة النهضة:1  
1,11,3,93,2,528,344,600,0,256,256,344,600,0,0,314,13,17,344,0,True,19,2130,1,3,1,0,0,0,1,53,1,0,0,1,1,0,4,2,12,2,2,1,2,3,0,1,1,0,0,1,0,2,1,1,0,118,5,4,0,1,7,0,0,1,1,1,1,78,حركة النهضة:1  العريضة الشعبية:1  نداء تونس:1  
1,11,3,93,1,528,403,600,0,197,197,403,600,0,0,340,25,38,403,0,False,19,2107,1,2,1,0,2,1,2,30,1,3,1,2,1,3,6,2,14,0,1,1,0,3,3,1,3,2,0,1,0,6,1,1,2,123,2,3,3,0,6,1,1,2,2,1,1,98,تيار المحبة:1  نداء تونس:1  حركة النهضة:1  
1,11,3,92,7,513,299,600,0,301,301,299,600,0,0,293,4,2,299,0,True,18.30,19.30,0,4,0,0,0,3,1,38,0,1,0,1,3,0,0,6,9,0,0,0,0,7,0,1,0,0,0,1,0,1,0,1,0,121,1,0,0,1,7,0,0,2,2,0,1,80,حركة النهضة:1  نداء تونس:  
1,11,3,92,6,519,257,600,0,343,343,257,600,0,0,250,2,5,257,0,True,18.00,20.20,1,11,0,0,1,1,1,48,2,0,0,0,3,1,0,2,8,0,0,0,0,5,1,0,1,0,1,5,1,0,0,0,0,69,4,1,0,2,0,0,0,1,0,1,0,79,الجبهة الشعبية:1  نداء تونس:1  العريضة الشعبية:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
1,11,3,92,5,519,265,600,1,334,335,265,600,0,0,259,3,3,265,0,True,18.20,20.10,0,7,1,0,0,1,0,39,2,0,0,0,0,0,2,11,13,0,4,0,1,10,0,0,0,1,0,8,0,0,0,1,0,72,0,0,1,0,4,1,0,0,0,0,0,80,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,11,3,92,4,519,306,600,1,293,294,306,600,0,0,289,17,0,306,0,True,1815,2012,0,1,1,1,0,0,1,44,1,0,0,0,1,0,0,7,13,1,0,0,1,4,1,0,0,1,0,3,0,2,0,0,3,122,1,1,1,1,7,0,0,2,0,1,0,67,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
1,11,3,92,3,519,367,600,1,232,233,367,600,0,0,343,24,0,367,0,True,1805,2243,1,5,2,0,0,1,2,37,2,1,0,3,1,1,2,3,10,3,1,3,0,4,2,1,1,1,0,2,0,3,3,1,3,134,5,0,0,0,10,1,0,1,0,0,0,93,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,11,3,92,2,519,336,600,0,264,264,336,600,0,0,312,12,12,336,0,True,1810,2024,1,2,1,1,2,0,2,46,2,0,1,4,1,1,3,4,7,1,1,2,3,3,1,0,0,1,1,1,0,0,2,0,1,113,1,1,1,0,4,1,0,4,1,1,0,90,حركة النهضة:1  نداء تونس:1  تيار المحبة:1  
1,11,3,92,1,519,386,600,2,212,214,386,600,0,0,358,25,3,386,0,False,"18,23","20,05",1,5,3,0,0,0,3,51,0,3,3,1,4,3,0,7,5,1,1,0,6,0,2,1,1,0,1,2,0,3,2,1,1,114,4,5,0,0,12,3,0,3,1,0,1,104,نداء تونس:  تيار المحبة:  الاتحاد الوطني الحر:  حركة النهضة:  الجبهة الشعبية:  
1,11,3,91,4,526,286,600,0,317,317,283,600,0,3,278,3,2,283,0,False,"18,30","20,51",0,7,0,0,2,0,0,55,0,0,0,0,1,0,1,11,5,0,6,0,0,4,1,1,1,0,0,8,0,1,0,1,1,81,0,1,1,4,2,1,0,2,0,0,0,80,حركة النهضة:2  نداء تونس:  تيار المحبة:  الاتحاد الوطني الحر:2  
1,11,3,91,3,526,361,600,2,237,239,361,600,0,0,345,4,12,361,0,False,"18,45","20,56",0,8,0,0,1,1,2,45,0,1,1,0,3,0,2,12,8,0,0,0,0,3,2,0,0,1,0,3,0,3,1,2,0,140,3,1,0,2,7,1,1,3,0,0,2,86,حركة النهضة:  نداء تونس:  العريضة الشعبية:  الجبهة الشعبية:  
1,11,3,91,2,526,372,600,9,219,228,372,600,0,0,336,22,14,372,0,False,"18,57","21,15",0,1,0,0,4,0,6,44,1,1,2,2,1,1,0,4,2,2,2,2,1,1,0,1,3,2,1,2,0,4,4,2,0,142,3,2,2,1,4,2,0,2,0,2,1,79,حركة النهضة:  نداء تونس:  تيار المحبة:  الجبهة الشعبية:  
1,11,3,91,1,526,377,600,0,223,223,377,600,0,149,331,28,18,377,0,False,"18,48","21,27",4,3,1,0,2,0,1,38,4,0,2,1,3,0,0,6,7,1,4,0,3,4,2,0,4,0,0,1,0,6,5,1,0,102,3,3,4,0,5,0,0,2,1,0,1,107,نداء تونس:  حركة النهضة:2  
1,11,2,90,7,582,342,700,1,358,359,341,700,0,1,325,7,9,341,0,True,"18,42","21,47",0,10,1,0,1,0,0,55,2,0,2,2,0,0,1,4,13,0,1,0,0,2,0,0,2,0,0,7,0,2,1,1,0,111,0,0,1,2,1,0,0,3,0,0,0,100,الاتحاد الوطني الحر:  تيار المحبة:  العريضة الشعبية:  نداء تونس:  حركة النهضة:  
1,11,2,90,6,586,269,700,1,430,431,269,700,0,0,263,0,6,269,0,True,1905,21,0,8,0,0,0,0,0,55,2,0,0,0,2,0,0,11,14,1,2,0,0,4,0,0,1,0,0,10,0,1,0,0,1,80,1,1,0,0,1,0,0,0,0,0,1,67,حركة النهضة:1  نداء تونس:1  
1,11,2,90,5,586,308,700,0,392,392,308,700,0,0,295,8,5,308,0,True,1920,21,0,6,0,0,0,0,1,55,3,0,1,1,0,1,0,9,7,1,0,0,1,7,1,0,0,1,0,4,0,1,0,0,0,105,3,1,0,0,5,0,0,0,0,1,0,80,حركة النهضة:1  تيار المحبة:1  نداء تونس:1  
1,11,2,90,4,586,378,700,1,321,322,378,700,0,0,362,14,2,378,0,True,1830,2115,0,5,0,1,0,1,0,60,2,1,0,1,1,1,0,8,14,0,0,2,2,3,0,0,1,1,1,4,0,3,0,1,1,156,3,1,0,3,6,1,0,0,0,1,1,76,حركة النهضة:1  نداء تونس:1  تيار المحبة:1  
1,11,2,90,3,586,397,700,2,301,303,397,700,0,0,355,21,21,397,0,False,1815,2202,1,3,2,0,2,0,0,34,2,1,1,2,5,1,3,3,14,2,2,1,0,6,4,2,1,2,0,5,2,5,1,3,4,132,2,0,0,3,4,1,0,3,1,2,3,90,حركة النهضة:2  نداء تونس:1  الجبهة الشعبية:1  
1,11,2,90,2,586,383,703,0,320,320,383,703,0,0,345,21,17,383,0,False,1915,2155,1,7,1,2,1,5,1,34,3,0,3,0,1,1,5,5,6,1,5,0,1,6,3,1,0,2,0,0,0,1,3,3,1,134,4,0,0,0,6,2,2,1,0,0,1,92,حركة النهضة:1  نداء تونس:1  
1,11,2,90,1,586,389,700,1,313,314,386,700,0,3,324,29,33,386,0,True,"18,42","22,13",1,6,2,0,2,2,5,32,3,0,5,0,1,1,0,2,4,0,4,1,2,3,0,0,3,0,0,1,0,1,0,2,2,111,3,2,1,2,7,1,0,4,1,1,1,105,حركة النهضة:2  نداء تونس:  الاتحاد الوطني الحر:  
1,11,2,89,7,579,349,700,0,351,351,349,700,0,0,339,8,2,349,0,False,"19,05","21,10",0,8,2,0,0,0,1,65,2,2,0,0,1,0,0,12,8,3,1,1,0,5,0,0,0,0,1,3,0,4,0,1,2,107,2,0,0,1,3,0,0,0,2,0,1,101,حركة النهضة:  الاتحاد الوطني الحر:  نداء تونس:  
1,11,2,89,6,583,266,700,0,434,434,266,700,0,0,265,0,1,266,0,False,"18,25","20,27",0,7,0,0,1,0,0,61,1,1,0,1,4,0,1,11,12,1,2,1,0,7,0,0,3,0,1,2,0,2,0,0,0,53,1,1,0,0,1,1,0,3,0,1,0,85,حركة النهضة:2  نداء تونس:  
1,11,2,89,5,583,313,700,1,386,387,313,700,0,0,303,3,7,313,0,False,18h30,20h,0,4,1,0,0,1,0,51,1,0,0,0,3,0,0,10,10,2,1,0,0,7,4,0,1,0,0,4,0,1,0,0,0,78,2,0,1,1,4,1,0,0,0,0,0,119,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
1,11,2,89,4,583,350,700,1,349,350,350,700,0,0,341,5,4,350,0,False,18h15,20h10,1,7,0,0,1,0,0,56,0,0,1,1,0,0,2,7,6,1,1,1,2,5,1,1,1,1,0,3,0,2,3,0,0,120,2,1,1,0,9,1,0,0,0,0,2,101,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
1,11,2,89,3,583,394,700,0,306,306,394,700,0,0,353,23,18,394,0,False,,2210,1,7,4,1,0,2,2,44,1,0,0,3,2,4,1,1,10,0,2,6,1,3,0,1,5,0,1,1,0,4,0,2,5,118,0,0,0,0,10,1,0,0,0,1,1,107,نداء تونس:  حركة النهضة:  آفاق تونس:  
1,11,2,89,2,593,399,700,2,301,303,397,700,0,2,363,23,10,396,0,True,18h30,20h43,1,2,2,0,0,0,3,50,1,3,1,1,0,1,1,2,5,1,0,4,6,4,3,0,2,0,0,1,0,1,0,1,1,139,2,3,0,3,8,0,1,1,0,1,2,107,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  
1,11,2,89,1,583,431,700,1,268,269,431,700,0,0,388,33,10,431,0,False,1830,2200,1,3,1,3,1,2,3,53,2,1,2,1,1,0,8,0,8,1,0,4,3,10,1,1,2,1,0,1,0,2,5,1,4,103,3,1,2,0,8,3,0,3,1,0,3,142,الاتحاد الوطني الحر:  حركة النهضة:  نداء تونس:  الجبهة الشعبية:  
1,11,2,88,5,496,247,600,0,353,353,247,600,0,0,244,1,2,247,0,True,1820,2120,0,10,0,0,1,0,1,44,2,1,0,0,1,0,0,7,7,1,1,0,0,4,0,0,1,0,0,7,0,2,1,1,1,68,2,0,2,2,1,0,0,0,0,0,0,76,حركة النهضة:1  تيار المحبة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
1,11,2,88,4,499,227,600,0,373,373,227,600,0,0,211,12,4,227,0,True,18h47,20h30,0,5,0,0,1,0,0,37,1,0,0,0,2,0,0,16,2,0,0,2,0,5,0,0,1,0,1,2,0,0,1,0,1,60,4,1,0,2,0,1,0,0,0,0,0,66,حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  
1,11,2,88,3,493,277,600,3,320,323,277,600,0,0,275,2,0,277,0,False,1820,2010,0,4,0,1,1,1,1,41,0,0,1,0,3,0,1,11,1,0,3,1,0,4,2,0,2,1,1,2,0,1,0,1,2,103,1,1,0,0,2,1,0,1,1,0,0,79,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  
1,11,2,88,2,499,320,600,0,280,280,320,600,0,0,291,25,4,320,0,True,1851,2051,1,3,1,0,1,0,1,43,7,1,4,0,0,1,2,1,7,1,4,1,1,6,0,1,0,1,0,1,0,4,1,1,0,92,1,1,2,0,4,1,2,2,0,0,2,89,حركة النهضة:1  نداء تونس:1  تيار المحبة:1  
1,11,2,88,1,499,360,600,1,239,240,360,600,0,0,329,15,16,360,0,True,"18,55","20,24",1,6,4,0,1,1,1,49,0,0,3,1,2,0,1,4,2,0,0,3,0,1,1,0,2,0,2,5,3,1,0,0,0,107,1,4,0,0,6,1,2,5,1,0,2,106,نداء تونس:  حركة النهضة:  العريضة الشعبية:  
1,11,1,87,2,333,226,400,0,174,174,226,400,0,0,224,0,2,226,0,True,"18,15","20,10",1,4,0,0,1,0,0,15,0,0,1,1,0,0,2,6,11,1,0,1,1,6,0,0,2,0,0,3,0,0,0,1,2,103,0,0,0,1,0,1,0,0,0,0,0,60,نداء تونس:2  الجبهة الشعبية:  حركة النهضة:2  
1,11,1,87,1,334,261,400,1,138,139,261,400,0,0,239,15,7,261,0,False,18:55,21:10,1,1,1,0,0,1,2,10,3,0,2,1,0,0,1,0,13,4,2,0,0,6,0,1,4,3,1,0,0,3,0,2,4,99,1,1,3,3,7,1,1,3,0,0,1,52,حركة النهضة:2  الاتحاد الوطني الحر:  نداء تونس:  الجبهة الشعبية:  :  
1,10,3,86,4,554,353,600,1,246,247,353,600,0,0,340,12,1,353,0,True,18h35,22h,0,20,1,0,0,0,1,96,0,0,0,1,1,0,0,9,8,0,0,0,1,3,0,0,2,0,0,3,0,0,1,0,1,102,0,2,1,0,2,0,0,0,0,1,0,84,آفاق تونس:1  حركة النهضة:1  نداء تونس:1  
1,10,3,86,3,556,374,601,1,227,228,373,601,0,1,360,7,6,373,0,False,19,2150,0,11,0,0,1,1,0,112,1,0,1,1,2,0,1,8,3,0,1,0,1,4,0,0,1,0,0,5,1,1,0,0,1,131,2,0,0,2,2,1,0,1,0,0,0,64,آفاق تونس:1  حركة النهضة:1  
1,10,3,86,2,556,395,600,1,204,205,395,600,0,0,352,34,9,395,0,False,1993,,1,13,0,1,2,5,1,88,2,0,0,3,2,2,0,3,0,0,2,1,1,1,3,0,4,1,0,5,1,0,2,1,3,109,5,4,0,0,8,3,0,1,1,2,1,70,آفاق تونس:1  حركة النهضة:1  نداء تونس:1  
1,10,3,86,1,556,431,600,0,169,169,431,600,0,0,369,52,10,431,0,False,18h45,,1,10,6,2,0,0,4,92,2,0,0,0,1,1,2,2,2,2,1,2,3,4,2,1,2,1,0,3,2,1,2,3,1,103,3,1,0,3,10,3,2,3,0,1,0,85,آفاق تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,10,3,85,7,588,359,700,1,340,341,359,700,0,0,337,11,11,359,0,False,,2230,0,11,0,0,0,0,0,82,1,0,1,1,1,0,1,5,5,0,0,0,0,5,0,2,0,1,0,2,0,4,1,0,1,118,4,1,0,0,2,1,1,0,0,0,0,86,حركة النهضة:1  آفاق تونس:1  نداء تونس:1  
