circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, حركة الشعب,آفاق تونس,أمل وعمل,اتحاد الشباب الديمقراطي,اتحاد القوى الشبابية,الأحرار,الأمان,الأمانة والعدالة,الأمل,الائتلاف الديمقراطي للعمل والتنمية,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والتنمية,البناء الوطني,التآلف,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحرية من أجل العدالة والتنمية,الحزب التونسي,الحزب الجمهوري,الزيتونة,السلام والازدهار,الشباب الحر,الشعب يريد ,الصمود,العمل التونسي,القائمة البورقيبية,القائمة المستقلة العين الساهرة,القائمة المستقلة لخدمة منوبة,القلم,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المبادرة,المدافعون عن الحق,المستقبل,المعطلين عن العمل,النجاح,الوفاق ,تونس العزيزة,تونس الغد,تيار المحبة,حركة البناء المغاربي,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب المجد,حزب المحافظين التونسيين,صوت شعب تونس,قائمة النور للديمقراطية والتنمية,قائمة حزب العدل والتنمية,متحدون من أجل تونس,حركة نداء تونس,نداء قرطاج,وطني,observers
5,4,2,38,1,249,150,300,3,147,150,150,300,0,0,131,9,10,150,0,True,18.19,19.52,0,0,1,1,0,0,0,0,0,1,4,1,0,0,1,0,0,1,6,0,0,0,0,1,1,2,0,2,0,1,0,4,0,0,3,1,2,1,1,0,0,0,0,0,2,4,0,0,42,1,1,1,0,1,0,1,41,1,0,الجبهة الشعبية:1  نداء تونس:3  حركة النهضة:2  
5,4,2,37,1,565,333,600,0,267,267,333,600,0,0,298,14,21,333,0,True,1830,2135,3,1,0,1,0,1,1,1,1,1,25,1,1,0,0,7,1,2,2,2,0,0,0,2,1,0,2,1,0,0,4,3,6,4,0,3,9,5,0,0,1,3,3,0,3,8,2,1,70,1,0,2,0,0,2,0,106,4,1,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
5,4,1,36,2,358,222,400,0,178,178,222,400,0,0,216,6,0,222,0,True,18.40,20.45,8,2,1,1,0,1,0,0,0,0,20,0,0,0,0,5,1,3,6,1,0,0,0,0,1,0,0,3,1,0,1,1,0,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,48,3,0,1,0,0,0,0,98,2,0,حركة النهضة:1  نداء تونس:2  
5,4,1,36,1,359,262,400,0,138,138,262,400,0,0,235,13,14,262,0,True,18.00,21.33,4,2,1,0,0,0,0,0,0,6,20,1,1,2,0,5,2,0,4,4,1,0,0,3,2,1,0,1,2,0,0,2,0,0,2,2,2,1,1,1,1,0,0,1,4,0,0,2,43,2,2,1,0,1,1,0,101,2,1,حركة النهضة:1  نداء تونس:1  
5,4,1,35,3,544,300,600,0,300,300,300,600,0,0,293,5,2,300,0,True,19.00,22.05,1,4,2,0,0,1,0,0,0,1,62,0,0,0,0,15,1,3,6,1,0,0,0,1,3,0,1,0,0,1,2,4,3,0,0,0,3,2,0,0,1,0,1,2,0,1,0,1,52,1,2,2,1,0,1,0,108,2,1,حركة النهضة:1  نداء تونس:2  
5,4,1,35,2,545,384,600,0,216,216,384,600,0,0,362,19,3,384,0,True,1845,2220,0,9,1,0,0,0,0,3,0,3,46,1,1,2,1,9,0,3,7,1,1,0,1,0,4,0,0,1,1,0,3,6,1,1,1,0,3,2,1,0,1,0,1,1,6,1,0,4,60,0,1,2,0,1,2,1,167,1,0,نداء تونس:2  حركة النهضة:1  
5,4,1,35,1,545,420,600,3,178,181,419,600,0,1,373,24,22,419,0,True,19.03,22.35,0,2,4,2,3,2,3,2,2,6,33,0,1,3,1,4,3,3,3,0,2,1,2,3,3,1,1,1,2,1,4,14,3,1,2,1,3,3,3,1,3,3,1,0,7,0,0,4,62,3,0,0,3,1,9,2,144,2,0,حركة النهضة:1  الجبهة الشعبية:1  نداء تونس:1  
5,4,1,34,4,599,384,700,2,314,316,384,700,0,0,380,2,2,384,0,False,19.05,21.43,3,5,0,1,0,0,0,0,1,0,51,0,0,0,0,22,5,8,8,0,0,0,1,0,4,0,0,0,0,0,1,16,4,1,0,0,3,6,0,0,0,0,0,0,0,0,0,1,87,0,0,1,0,0,3,0,147,1,0,تيار المحبة:1  الجبهة الشعبية:1  الاتحاد الوطني الحر:2  حركة النهضة:1  نداء تونس:1  
5,4,1,34,3,600,430,700,3,267,270,430,700,0,0,419,3,8,430,0,True,20.40,22.58,2,7,0,2,0,0,0,1,0,0,41,2,1,1,0,17,4,8,6,0,0,0,0,0,3,0,0,0,0,0,1,11,3,1,0,1,4,7,1,0,1,0,1,0,0,3,0,2,113,2,1,1,0,0,5,0,162,3,1,القائمة البورقيبية:1  حركة النهضة:2  نداء تونس:2  الاتحاد الوطني الحر:1  
5,4,1,34,2,600,465,700,4,31,35,465,500,200,0,444,13,8,465,0,False,19.23,22.44,0,4,0,2,0,1,1,2,4,3,40,2,0,0,1,31,2,5,9,2,0,0,1,0,9,0,0,2,1,1,2,12,3,1,2,1,5,4,1,1,0,0,1,0,4,0,1,1,97,2,0,3,2,0,5,1,171,0,0,الحزب الجمهوري:1  الاتحاد الوطني الحر:2  نداء تونس:2  حركة النهضة:1  
5,4,1,34,1,600,470,700,3,228,231,469,700,0,1,411,27,31,469,0,True,19.02,23.17,1,7,0,0,0,4,1,1,3,1,30,1,1,1,2,22,3,2,3,0,0,1,2,2,7,0,1,1,2,1,1,10,1,1,1,0,4,5,0,0,0,1,1,0,2,0,1,2,75,5,1,0,1,0,6,0,191,2,0,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
