circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمانة,أمن شامل لانقاذ تونس,اتحاد الشباب الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,التحالف الديمقراطي,التكتل من اجل العمل والحريات,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجريد,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الشعب يريد,الصمود,العقل مفتاح التطور والنمر,العمل والأمل,العين الحمراء,المؤتمر من أجل الجمهورية,النخلة,تونس العزيزة,تيار المحبة,جبهة الاحرار,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الغد,حزب النور للديمقراطية والتنمية,شمس الجنوب,صحوة الجريد,صوت الجريد,صوت شعب تونس,كلمة حق,لمجد الجريد,حركة نداء تونس,ولاء,observers
18,1,6,8,1,250,137,300,0,163,163,137,300,0,0,125,9,3,137,0,True,1815,1950,0,4,0,0,12,3,9,9,1,1,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,63,0,0,0,2,0,0,1,0,0,4,8,0,حركة النهضة:2  لمجد الجريد:1  نداء تونس:2  
18,1,5,7,1,285,156,400,0,244,244,156,400,0,0,150,1,5,156,0,False,18h25,19h10,1,2,1,0,3,0,1,2,0,0,0,3,0,1,0,0,0,0,0,2,1,1,1,0,1,1,0,1,1,107,1,1,0,1,0,0,1,2,1,6,6,1,حركة النهضة:1  الجريد:1  
18,1,4,6,1,123,63,200,2,135,137,63,200,0,0,56,6,1,63,0,True,18h,19h30,0,4,0,0,2,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,27,0,0,0,1,0,1,0,0,0,3,6,0,حركة النهضة:1  الجريد:1  
18,1,4,5,1,479,290,600,0,310,310,290,600,0,0,268,11,11,290,0,True,18h20,20h25,0,6,0,0,22,6,1,60,2,0,0,3,0,0,0,0,1,1,0,0,0,1,3,1,0,0,1,0,0,93,0,6,0,1,1,1,2,1,0,39,16,0,الحزب الجمهوري:1  صوت الجريد:1  حركة النهضة:1  نداء تونس:1  لمجد الجريد:1  
18,1,3,4,1,347,257,400,0,143,143,257,400,0,0,240,14,3,257,0,True,18h20,20h55,1,2,2,1,32,2,3,6,2,2,1,1,0,0,0,0,0,1,5,0,5,1,1,2,1,0,0,0,1,147,0,5,0,1,0,0,5,1,0,1,8,0,الحزب الجمهوري:1  صوت الجريد:1  الاتحاد الوطني الحر:1  لمجد الجريد:1  حركة النهضة:1  نداء تونس:1  
18,1,2,3,1,191,135,300,1,164,165,135,300,0,0,130,3,2,135,0,True,18:10,19:11,3,2,1,1,0,1,2,0,17,0,0,0,1,1,1,0,0,0,1,0,1,1,1,5,2,0,1,0,0,65,0,0,2,1,0,1,2,1,0,4,11,1,حركة النهضة:1  نداء تونس:2  
18,1,2,2,1,426,336,500,24,164,164,336,500,0,0,322,11,3,336,0,True,,18,2,0,1,0,17,3,1,10,54,0,1,0,2,0,0,1,2,1,0,1,15,1,1,0,0,1,1,1,2,181,1,1,1,1,1,0,4,2,1,0,11,0,نداء تونس:1  صوت الجريد:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
18,1,1,1,3,506,298,600,0,302,302,298,600,0,0,286,7,5,298,0,False,18:13,21:12,0,53,0,0,8,33,0,19,1,5,0,1,0,0,4,2,1,0,0,0,1,1,2,0,0,0,0,0,0,73,1,0,2,0,0,1,20,1,0,8,49,0,المؤتمر من أجل الجمهورية:1  نداء تونس:1  صوت الجريد:1  الاتحاد الوطني الحر:1  حركة النهضة:1  الحزب الجمهوري:1  
18,1,1,1,2,507,333,600,0,267,267,333,600,0,0,317,10,6,333,0,False,18:30,20:25,2,47,0,0,9,38,0,11,1,0,0,3,1,3,2,0,0,1,0,0,0,0,4,3,1,0,1,1,2,114,2,0,1,0,0,1,8,0,0,13,46,2,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  صوت الجريد:1  المؤتمر من أجل الجمهورية:1  الحزب الجمهوري:1  
18,1,1,1,1,507,386,600,0,214,214,386,600,0,0,338,24,24,386,0,False,18:15,19:45,0,67,2,0,7,22,2,13,4,1,0,7,0,3,5,2,1,0,0,3,1,2,4,4,0,0,2,1,3,87,2,2,4,0,0,0,8,1,4,21,52,1,حركة النهضة:1  الاتحاد من أجل تونس :1  لمجد الجريد:1  نداء تونس:1  صوت الجريد:1  الحزب الجمهوري:1  
18,5,5,48,5,589,250,700,0,450,450,250,700,0,0,240,7,3,250,0,False,"18,25","20,45",1,1,0,0,23,6,6,6,3,2,1,1,1,0,2,5,4,0,0,0,3,1,1,3,0,0,0,0,0,52,17,0,0,3,0,2,1,0,0,2,42,51,حركة النهضة:  نداء تونس:  
18,5,5,48,4,593,296,700,1,403,404,296,700,0,0,280,10,6,296,0,False,1800,2030,1,0,1,3,16,11,11,7,3,0,0,0,1,0,10,2,4,0,2,0,2,1,1,2,0,1,0,1,1,55,10,0,0,0,1,2,2,0,0,12,54,63,لمجد الجريد:1  الاتحاد الوطني الحر:1  حركة النهضة:1  الجبهة الشعبية:1  
18,5,5,48,3,593,331,600,13,256,269,331,600,0,0,315,6,10,331,0,False,"18,15","21,02",1,0,0,0,17,19,6,8,2,2,0,3,1,0,14,2,13,1,1,0,2,0,2,4,2,0,1,0,2,96,16,0,1,0,4,1,2,1,2,5,47,37,نداء تونس:  حركة النهضة:  
18,5,5,48,2,593,431,700,0,269,269,431,700,0,0,421,5,5,431,0,False,18:30,20:30,4,2,1,0,17,34,13,9,7,0,0,4,1,0,11,1,14,1,2,2,4,3,2,2,2,1,4,3,5,123,19,0,1,0,2,0,2,1,1,5,42,76,ولاء:1  حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  
18,5,5,48,1,593,411,700,23,266,289,411,700,0,0,368,22,21,411,0,False,1800,2230,3,1,2,2,15,23,10,11,6,1,2,2,2,2,1,2,7,1,2,1,6,2,0,2,0,2,3,1,3,101,16,1,2,1,6,1,4,2,4,4,65,46,الحزب الجمهوري:1  نداء تونس:1  حركة النهضة:1  
18,5,4,47,3,500,227,600,0,373,373,227,600,0,0,221,1,5,227,0,False,18:27,20:25,0,0,0,0,17,22,9,7,1,1,0,3,0,0,9,1,0,0,0,1,3,1,0,0,0,0,1,1,0,61,9,1,0,1,0,0,0,0,0,1,25,46,نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  الحزب الجمهوري:1  
18,5,4,47,2,500,352,600,9,239,248,352,600,0,0,343,7,2,352,0,False,18:19,21:20,1,2,0,0,7,57,6,4,3,1,1,0,1,0,14,0,1,0,1,0,0,0,0,2,0,1,0,1,0,127,19,1,0,1,0,0,0,0,0,5,35,53,نداء تونس:1  حركة النهضة:1  الحزب الجمهوري:1  ولاء:1  
18,5,4,47,1,500,371,600,1,228,229,371,600,0,0,349,13,9,371,0,False,18h30,21h20,5,2,0,0,15,51,6,8,6,0,0,3,2,0,13,2,1,0,2,2,7,0,1,1,4,0,1,0,3,99,19,0,2,0,1,0,0,0,1,3,45,44,الاتحاد الوطني الحر:1  ولاء:1  الحزب الجمهوري:1  حركة النهضة:1  نداء تونس:1  لمجد الجريد:1  
18,5,4,46,4,480,208,600,0,392,392,208,600,0,0,204,2,2,208,0,True,1830,2025,0,0,0,0,10,21,14,2,1,0,0,1,1,0,6,2,0,0,0,0,0,1,0,2,0,0,0,0,2,52,17,0,2,1,0,0,2,0,0,0,30,39,الحزب الجمهوري:1  الجبهة الشعبية:1  حركة النهضة:1  نداء تونس:1  
18,5,4,46,3,483,220,600,9,371,380,220,600,0,0,217,2,1,220,0,True,1830,2030,0,0,0,0,9,18,3,9,3,0,0,1,0,0,8,0,1,0,5,0,0,1,1,1,0,0,0,0,1,69,16,2,0,3,0,1,1,1,0,4,21,38,الحزب الجمهوري:1  حركة النهضة:1  الاتحاد الوطني الحر:1  ولاء:1  لمجد الجريد:1  نداء تونس:1  
18,5,4,46,2,483,330,596,4,262,266,330,596,0,0,320,4,6,330,0,False,1856,2044,0,0,0,0,10,34,6,8,1,1,2,1,0,0,7,3,0,0,8,2,1,1,0,0,0,0,1,0,1,102,17,1,0,1,2,0,2,2,0,5,42,59,حركة النهضة:1  نداء تونس:1  
18,5,4,46,1,483,360,500,4,140,144,356,500,0,4,313,34,9,356,0,False,18h30,,1,1,1,0,8,49,6,7,3,1,0,1,2,1,14,2,2,2,1,1,3,2,2,1,1,2,2,0,1,76,12,2,2,6,1,2,2,1,1,3,38,50,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  ولاء:1  
18,5,3,45,1,466,309,500,0,191,191,309,500,0,0,303,3,2,308,1,False,18.25,20.00,1,2,0,0,6,17,3,5,1,0,1,1,0,0,5,1,1,0,1,1,2,0,2,0,0,1,0,1,0,116,32,1,0,1,1,0,1,0,0,3,65,31,الحزب الجمهوري:1  حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  ولاء:1  
