circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أجيال التحدي,أهداف الثورة أولا,االتكتل من اجل العمل والحريات,اتحاد القوى الشبابية,الأصالة,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغاربي,الطليعة الشبابية,العريضة الشعبية,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المستقبل من أجل تونس,الوحدويين الاحرار,الوفاء لمشروع الشهيد,اليسر,تونس العزيزة,تونسنا الغالية,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب العمل التونسي,حزب المبادرة,حزب المجد,حزب الوسط الاجتماعي,صفاقسنا,صوت الريف,صوت صفاقس,قوى 14 جانفي,observers
24,6,5,110,5,598,399,700,0,301,301,399,700,0,0,396,3,0,399,0,False,1855,2120,11,0,1,2,0,2,12,0,7,16,0,18,0,2,1,0,10,1,0,1,1,5,0,0,0,0,13,0,8,1,0,3,116,150,2,1,0,4,1,1,0,0,6,0,حركة نداء تونس:1  حركة النهضة:1  
24,6,5,110,4,598,466,700,1,233,234,466,700,0,0,455,2,9,466,0,False,1910,2125,12,0,0,2,0,0,8,2,3,14,3,24,0,0,2,1,10,1,0,1,3,2,0,1,1,0,9,1,3,2,0,3,154,173,5,1,0,3,2,2,0,1,6,0,حركة النهضة:1  آفاق تونس:1  
24,6,5,110,3,598,491,703,1,211,212,491,703,0,0,483,7,1,491,0,False,19.05,21.15,10,0,1,1,0,3,12,2,4,20,1,21,0,0,0,1,10,1,1,2,1,3,0,1,0,0,19,1,3,2,0,2,180,155,7,1,1,1,2,2,0,0,12,0,حركة نداء تونس:1  حركة النهضة:2  حزب المبادرة:1  
24,6,5,110,2,598,458,703,2,243,245,458,703,0,0,441,9,8,458,0,False,18.50,21.15,5,3,2,4,0,3,9,3,4,11,1,16,0,1,2,1,2,0,2,0,2,3,1,1,0,0,19,0,1,2,0,2,128,188,7,0,0,2,1,1,3,1,10,0,الجبهة الشعبية:1  آفاق تونس:1  حركة النهضة:1  تونس العزيزة:1  حزب المبادرة:1  
24,6,5,110,1,598,474,704,3,227,230,474,704,0,0,447,15,12,474,0,False,18.57,22.04,8,1,0,3,2,3,8,1,13,7,0,16,1,1,2,1,7,1,1,0,3,3,0,2,0,2,24,0,2,1,1,5,115,185,4,1,2,4,0,0,2,2,12,1,حركة النهضة:1  
24,6,5,109,5,500,311,600,0,289,289,311,600,0,0,309,0,2,311,0,False,19.10,20.30,12,0,1,1,0,0,10,1,1,16,0,22,0,0,0,0,2,0,0,0,2,14,1,0,0,0,8,0,2,1,0,0,65,135,5,0,1,0,0,0,0,0,9,0,حركة نداء تونس:1  حركة النهضة:2  
24,6,5,109,4,504,320,600,1,279,280,320,600,0,0,318,1,1,320,0,False,18.30,20.35,14,1,1,3,0,0,6,3,6,19,0,10,0,3,0,0,2,1,0,5,0,5,0,1,1,0,4,0,8,1,0,3,79,124,4,2,2,1,1,1,0,0,6,1,حركة النهضة:1  حزب المبادرة:1  
24,6,5,109,3,504,409,595,6,180,186,409,595,0,0,404,2,3,409,0,False,18.45,20.35,13,2,0,3,1,0,6,1,5,19,0,16,0,2,0,0,10,4,0,1,0,5,0,0,0,0,16,1,4,0,0,2,129,147,2,3,3,2,0,2,0,0,4,1,حركة النهضة:1  
24,6,5,109,2,504,415,600,0,185,185,415,600,0,0,405,8,2,415,0,False,18.45,21.20,6,1,0,3,0,1,8,3,6,11,0,21,0,1,0,0,5,3,1,0,1,7,0,0,0,0,19,1,4,0,0,0,119,172,3,1,1,0,0,0,1,0,6,0,الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  تونس العزيزة:1  
24,6,5,109,1,504,401,600,1,198,199,401,600,0,0,383,13,5,401,0,False,18.20,20.45,7,0,1,4,1,0,2,5,3,12,0,16,1,1,0,0,9,2,1,2,0,3,1,1,0,2,28,1,0,2,1,3,98,151,8,0,1,3,0,1,1,1,8,1,الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  حزب المبادرة:1  
