circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,أبناء الشعب,أمن شامل لانقاذ تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغربي,الحزب الليبرالي التونسي,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,القائمة البرقيبية,المؤتمر من أجل الجمهورية,النور للديمقراطية والتنمية,اليد في اليد,تونس للجميع,تيار المحبة الائتلافية ,تيار صوت الشعب الحر,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب التكتل,حزب العمل التونسي,حزب اللقاء الدستوري,حزب المبادرة,حزب المجد,صوت شعب تونس,عزم-توكل-بناء,لنا الحق,محيطنا نماء لثروتنا,نداء قرطاج,observers
2,2,1,5,4,565,454,600,1,145,146,454,600,0,0,450,0,4,454,0,False,1900,2105,0,0,0,2,35,0,16,13,0,2,15,0,18,1,2,0,3,1,0,0,0,0,7,0,1,0,0,0,1,0,0,0,45,278,2,5,0,0,2,0,0,0,1,0,0,حركة نداء تونس:1  حركة النهضة:1  
2,2,1,5,3,565,446,599,2,151,153,446,599,0,0,443,0,3,446,0,False,1855,2110,0,0,0,0,23,0,6,10,0,1,19,0,22,0,0,0,8,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,87,240,6,5,1,0,1,1,0,0,3,0,0,حركة نداء تونس:1  الاتحاد من أجل تونس :1  حركة النهضة:1  
2,2,1,5,2,565,484,600,3,115,118,483,601,1,1,474,6,3,483,0,True,1904,2115,0,1,0,0,22,1,5,8,0,5,9,0,11,1,0,0,6,1,1,0,0,0,3,0,0,3,1,0,0,0,0,2,94,287,3,2,0,1,3,0,0,0,3,1,0,حركة النهضة:1  حركة نداء تونس:1  
2,2,1,5,1,565,495,600,2,104,106,494,600,0,1,483,6,5,494,0,False,18.20,21.45,0,0,0,0,11,1,6,10,0,1,9,1,10,1,0,0,10,0,0,2,1,0,3,0,1,1,2,2,0,2,0,1,70,316,4,12,1,1,2,0,0,0,1,0,1,حركة النهضة:  حركة نداء تونس:  
2,6,4,55,3,430,332,500,0,168,168,332,500,0,0,327,1,4,332,0,False,21:15,22:45,0,0,0,0,30,0,6,8,0,2,13,0,11,0,0,0,5,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,43,200,0,2,0,0,2,0,0,0,0,0,0,حركة نداء تونس:  حركة النهضة:  
2,6,4,55,2,430,331,501,1,169,170,331,501,0,0,331,0,0,331,0,False,1835,2025,0,0,0,0,22,1,7,5,0,2,9,0,15,1,1,0,4,0,1,0,0,0,5,0,0,0,1,0,0,0,1,1,52,200,1,0,0,0,1,1,0,0,0,0,0,الأمان:1  حركة نداء تونس:1  حركة النهضة:1  
2,6,4,55,1,430,375,500,0,125,125,375,500,0,0,369,3,3,375,0,True,1850,2150,0,0,1,0,12,2,4,3,0,0,8,0,8,1,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,54,256,2,4,0,0,3,0,0,0,0,2,0,حركة نداء تونس:1  حركة النهضة:1  
2,6,4,54,6,560,397,600,1,202,203,397,600,0,0,394,1,2,397,0,True,18:30,21:20,0,0,0,0,38,0,8,13,1,2,14,0,21,0,2,0,5,0,0,1,1,0,4,0,0,0,0,0,0,0,0,3,38,239,1,2,0,0,0,0,0,0,0,0,1,حركة النهضة:1  حركة نداء تونس:1  
2,6,4,54,5,558,435,600,2,163,165,435,600,0,0,433,1,1,435,0,False,"18,25",,0,0,0,0,38,0,4,11,0,5,14,0,22,0,1,0,9,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,41,274,1,0,0,0,6,1,1,0,0,0,0,حزب المبادرة:  حركة النهضة:  حركة نداء تونس:  
2,6,4,54,4,558,467,600,2,133,135,466,600,0,2,462,0,3,465,1,False,1815,,0,1,0,0,23,1,6,10,1,5,22,0,18,0,0,0,8,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,52,296,3,3,2,0,5,0,0,0,1,0,0,حركة النهضة:1  
