circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والمواطنة ,الانقاذ,التحالف الديمقراطي,التطلع,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الجمهوري,الحزب الديمراطي للعدالة والرخاء,الرفاهة,الشباب الديمقراطي,الشعب يريد,العدالة والتنمية,العزة لتونس,العزم والارادة والعمل,المؤتمر من أجل الجمهورية,المبادرة,تيار المحبة ,تيار صوت الشعب الحر,حركة التونسي,حركة النهضة,حركة وفاء,حزب المجد,صوت شعب تونس,فلاح,حركة نداء تونس,نضال كريم,observers
21,2,6,32,1,442,363,500,0,137,137,363,500,0,0,334,8,21,363,0,True,1820,2109,7,0,5,3,0,1,7,3,3,12,0,6,0,2,0,2,2,2,1,3,2,5,1,0,98,3,1,1,2,160,2,الاتحاد الوطني الحر:1  حزب المجد:1  نداء تونس:1  حركة النهضة:1  
21,2,5,31,1,299,226,400,1,172,173,223,396,4,3,201,14,8,223,0,False,19,"21,15",6,1,4,1,0,0,0,1,1,1,2,8,0,2,0,2,2,0,0,2,2,1,0,0,58,3,2,1,7,94,0,الاتحاد الوطني الحر:  آفاق تونس:  حركة النهضة:  فلاح:  نداء تونس:  
21,2,5,30,1,368,280,400,1,118,119,279,398,2,1,246,16,16,278,1,True,"18,30",21,8,1,0,2,6,2,1,2,0,1,6,24,0,4,1,1,3,0,1,2,12,8,0,1,64,4,2,3,5,83,0,
21,2,5,29,1,346,261,400,5,134,139,261,400,0,0,239,19,3,261,0,False,18h,21h10,7,0,3,0,1,0,1,2,0,2,2,1,0,3,0,1,0,2,0,1,5,3,1,0,127,4,4,0,1,67,1,تيار صوت الشعب الحر:1  آفاق تونس:1  فلاح:1  حركة النهضة:1  نداء تونس:1  
21,2,4,28,1,408,285,500,0,215,215,285,500,0,0,265,10,10,285,0,True,18:30,20:30,1,1,6,1,0,0,1,2,2,15,0,6,1,4,0,1,1,0,1,0,1,1,2,1,48,1,1,0,3,162,2,حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  
21,2,4,27,1,483,374,600,1,225,226,374,600,0,0,332,32,10,374,0,False,18h30,21h05,1,0,7,4,2,0,25,3,2,6,4,4,1,2,2,0,0,2,1,1,6,5,1,7,70,6,1,1,1,165,2,حركة النهضة:1  التحالف الديمقراطي:1  
21,2,4,26,2,406,295,500,23,182,205,295,500,0,0,289,3,3,295,0,False,19.05,21.11,2,0,1,0,1,0,89,0,0,3,0,6,0,2,0,0,0,0,0,0,0,0,2,1,95,1,1,0,3,82,0,التحالف الديمقراطي:1  نداء تونس:2  حركة النهضة:2  الجبهة الشعبية:1  فلاح:1  
21,2,4,26,1,407,340,500,3,157,160,340,500,0,0,317,22,1,340,0,False,19.00,20.55,0,0,2,0,1,0,88,3,1,16,1,3,0,2,0,1,1,0,0,2,1,3,1,0,88,2,0,0,5,94,2,الجبهة الشعبية:2  حركة النهضة:2  نداء تونس:2  فلاح:1  
21,2,4,25,2,563,332,600,1,267,268,332,600,0,0,316,6,10,332,0,False,18.30,21.00,11,0,13,1,1,0,7,1,1,61,1,4,0,0,1,2,0,0,1,0,2,1,1,1,81,0,1,0,3,121,0,نداء تونس:1  حركة النهضة:1  فلاح:1  
21,2,4,25,1,564,441,600,2,158,160,440,600,0,1,387,35,18,440,0,False,18,,6,0,9,1,3,3,4,3,0,71,7,2,2,10,1,6,3,2,4,1,4,6,2,2,82,4,1,2,4,139,3,حركة النهضة:  التحالف الديمقراطي:  نداء تونس:  
21,2,3,24,1,548,366,592,12,214,226,366,592,0,0,345,17,4,366,0,False,18.30,22.00,0,0,2,0,4,1,3,3,1,5,2,3,1,4,2,5,0,1,0,3,3,11,14,0,108,4,1,2,39,121,2,الحزب الجمهوري:1  الجبهة الشعبية:1  حركة النهضة:1  نداء تونس:1  فلاح:1  
21,2,3,23,1,457,320,500,10,166,176,320,496,4,0,307,13,0,320,0,False,18.25,21.00,2,0,5,0,0,0,0,3,1,13,1,8,0,2,3,3,0,1,0,2,3,6,4,0,116,2,0,0,6,125,1,فلاح:1  حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  
21,2,3,22,2,509,355,600,1,244,245,355,600,0,0,331,18,6,355,0,True,18.30,21.29,7,0,5,1,2,1,1,0,2,2,2,3,0,2,1,2,0,0,0,4,3,14,11,0,78,0,0,2,129,58,1,حركة النهضة:1  فلاح:1  الحزب الجمهوري:1  نداء تونس:1  
