circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, اتحاد الشباب الديمقراطي التونسي,ائتلاف جبهة قابس,اتحاد القوى الشبابية,اتحاد شباب تونس,اصحاب الحق,آفاق تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارض الطيبة,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الجمهوري,الشعب يريد,الضمير,العدل,العمل والتنمية العادلة,القطب البيئي بقابس,المؤتمر من اجل الجمهورية,المبادرة الوطنية الدستورية,المجد للوطن,المستقلون الاحرار,النتمية اولا,النخلة,تونس العزيزة,تيار المحبة,تيار النزاهة,حركة البناء المغاربي,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة اللقاء الدستوري,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,حزب البناء الوطني,حزب الغد,حزب الوحدة,صوت شعب تونس,قابس اولا,قابس في القلب,كلنا قابس,observers
25,1,8,16,1,514,327,600,0,273,273,327,600,0,0,282,25,20,327,0,False,1815,2045,1,0,0,0,2,1,13,4,0,2,14,0,0,0,0,1,2,1,0,0,7,3,5,4,4,6,0,3,1,1,3,3,2,12,1,150,25,0,1,1,1,3,0,1,4,0,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
25,1,7,15,1,69,47,100,1,52,53,47,100,0,0,46,1,0,47,0,True,1800,1834,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,30,0,1,0,2,0,0,0,0,1,0,حركة النهضة:1  الاتحاد الوطني الحر:1  
25,1,7,14,2,572,301,700,0,399,399,301,700,0,0,296,4,1,301,0,False,1910,2046,0,0,0,1,4,0,4,0,0,0,1,6,7,0,0,0,1,0,0,1,10,1,0,0,0,0,1,1,0,5,0,0,1,31,0,209,4,1,0,1,0,3,0,1,2,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
25,1,7,14,1,572,432,700,0,268,268,432,700,0,0,394,26,12,432,0,False,1910,2140,0,1,0,1,1,2,9,0,0,1,2,2,1,1,2,2,0,1,0,0,8,8,4,5,4,0,0,6,0,8,1,1,1,67,0,234,12,0,1,0,0,0,1,0,7,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
25,1,6,13,1,397,248,500,1,252,253,247,500,0,1,230,3,14,247,0,False,1800,2030,0,0,0,2,1,0,9,0,0,2,1,2,2,2,0,0,1,1,0,1,6,3,3,1,1,1,0,0,0,1,0,1,0,1,0,156,26,1,0,0,0,3,0,1,1,0,حركة نداء تونس:1  حركة النهضة:2  
25,1,5,11,1,16,7,100,0,93,93,7,100,0,0,6,1,0,7,0,False,1815,1900,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,حركة النهضة:2  
25,1,4,9,4,493,284,600,0,315,315,285,600,0,1,278,5,2,285,0,False,18.15,21.00,1,0,0,0,1,2,28,1,0,0,3,1,1,2,0,0,1,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,10,0,195,23,0,0,0,0,1,0,1,0,0,الاتحاد الوطني الحر:1  حركة النهضة:1  صوت شعب تونس:1  الحزب الجمهوري:1  حركة نداء تونس:1  
25,1,4,9,3,493,320,600,0,280,280,320,600,0,0,302,5,13,320,0,False,1830,2230,0,0,1,0,5,0,24,0,0,0,5,1,0,2,1,1,1,0,0,0,8,0,1,1,1,0,0,0,1,0,0,0,0,5,0,218,25,0,0,0,0,0,0,1,0,0,افاق تونس:1  حركة نداء تونس:1  حركة الشعب:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  
25,1,4,9,2,493,377,600,0,223,223,377,600,0,0,369,4,4,377,0,True,18h20,22h35,0,0,0,1,4,2,21,1,0,0,3,3,3,0,4,0,1,0,0,0,6,0,2,4,2,1,0,0,2,0,0,0,1,12,1,261,24,1,2,0,1,1,0,1,5,0,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  
25,1,4,9,1,493,349,600,1,250,251,349,600,0,0,293,27,29,349,0,True,18.15,22.25,0,1,1,2,1,0,18,2,0,1,2,0,1,2,2,2,2,1,1,1,3,5,5,2,1,2,0,2,0,1,0,2,3,5,0,185,26,0,1,0,0,2,1,1,5,1,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  الاتحاد الوطني الحر:1  
