circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار القصرين,أمل القصرين,أول الغيث,أولاد الشعب,اتحاد الشباب الديمقراطي,اتحاد القوى الشابية,الأصالة والتقدم,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البديل,البناء الوطني,التحالف الديمقراطي,التكتل الشعبي من أجل تونس,التكتل من أجل العمل والحريات,التنمية الشاملة,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحرية والانصاف,الحزب الاشتراكي,الحزب الجمهوري,الذهبية المستقلة,الربيع العربي لتحقيق السيادة,الشباب المدني الحر,الشباب للرقي والبناء,الشعب يريد,العريضة الشعبية,العهد,القرار,القصرين أولا,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلة 17 ديسمبر,المستقلة الأحرار,المستقلة الشعانبي,المستقلة لدفع التنمية و التشغيل,المنار الشعبية الاجتماعية,النزر للديمقراطية والتنمية,الوصية,الياسمين,بني وطني,تونس العزيزة,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الغد,رد الاعتبار,شباب الوسط للعمل والتنمية,شبابنا فخر وعزة,صقور الحرية,صوت القصرين,صوت المستقل,"غدا,,, أفضل",نداء قرطاج,نعم نسطتيع,observers
15,5,7,79,1,185,118,200,0,82,82,118,200,0,0,111,7,0,118,0,False,1820,1925,0,1,0,4,0,1,0,1,0,2,0,1,0,0,0,0,2,0,0,1,0,2,0,1,1,9,0,0,0,0,0,3,0,1,2,0,6,1,0,2,0,0,0,0,0,0,1,0,0,8,0,2,0,2,0,14,38,3,0,0,0,0,0,0,1,1,0,0,0,حركة النهضة:1  حركة نداء تونس:1  حركة وفاء:1  
15,5,6,78,1,407,202,500,0,298,298,202,500,0,0,181,19,2,202,0,False,1851,,0,8,2,3,0,0,0,1,0,3,12,0,1,0,0,0,13,0,2,39,1,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,2,1,0,0,0,0,1,1,0,3,0,1,1,5,0,4,0,1,2,25,35,1,0,1,0,0,0,0,1,1,1,1,1,حركة نداء تونس:2  حركة النهضة:1  التكتل من أجل العمل والحريات:1  
15,5,6,77,1,429,230,500,0,270,270,230,500,0,0,206,9,15,230,0,False,1830,2010,0,1,1,0,1,0,0,1,0,3,0,0,1,0,4,1,44,2,0,6,1,0,0,0,0,1,0,0,1,0,2,3,0,0,2,0,1,1,0,1,0,0,1,5,0,0,0,1,0,0,0,4,0,1,0,16,89,8,0,0,1,0,0,0,0,1,0,0,1,حركة النهضة:2  حركة نداء تونس:2  التكتل من أجل العمل والحريات:1  
15,5,5,76,1,331,198,400,0,202,202,199,401,1,1,171,24,4,199,0,True,18:10,21:05,1,1,0,1,0,0,0,0,0,1,4,1,0,0,0,1,4,0,1,0,0,2,0,1,0,5,0,0,0,0,0,0,0,1,2,1,2,0,1,1,0,0,30,2,0,1,0,1,0,4,1,0,0,5,2,21,61,5,1,0,0,1,0,1,2,0,1,1,0,المستقلة لدفع التنمية و التشغيل:  حركة وفاء:  حركة النهضة:2  حركة نداء تونس:2  التكتل من أجل العمل والحريات:  
15,5,4,75,1,135,60,200,0,140,140,60,200,0,0,53,5,2,60,0,False,1815,1910,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,24,1,0,0,0,0,0,0,1,0,0,0,0,حركة نداء تونس:2  حركة النهضة:1  
15,5,4,74,1,116,74,200,1,125,126,74,200,0,0,71,2,1,74,0,False,1815,1855,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,2,0,1,0,2,2,0,0,0,18,17,0,0,0,0,0,0,0,0,1,0,1,0,حركة النهضة:1  حركة نداء تونس:1  
15,5,4,73,3,447,149,500,0,351,351,149,500,0,0,143,1,5,149,0,False,1820,2030,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,12,0,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,62,31,0,1,0,0,0,0,1,0,0,0,0,7,البناء الوطني:  حركة النهضة:  التكتل من أجل العمل والحريات:  حركة نداء تونس:  
15,5,4,73,2,448,252,500,1,247,248,252,500,0,0,232,13,7,252,0,False,1815,2000,0,0,0,1,0,0,0,1,0,1,5,0,0,2,0,2,25,0,0,2,0,0,0,3,2,1,0,0,0,0,1,3,0,1,11,1,1,1,0,0,0,1,1,1,0,1,0,0,0,3,1,0,0,0,1,83,69,1,0,0,0,0,0,0,3,0,0,1,2,حركة نداء تونس:1  حركة النهضة:1  
15,5,4,73,1,448,252,500,2,248,250,250,500,0,2,198,30,22,250,0,False,1815,2000,1,2,1,1,0,0,0,0,0,3,6,2,0,0,0,0,19,0,0,3,0,2,1,0,1,1,0,0,0,0,1,0,1,0,4,0,3,5,1,0,0,1,1,0,1,1,0,1,0,11,0,4,1,0,2,44,64,2,2,1,0,0,0,0,1,1,0,1,1,حركة نداء تونس:  التكتل من أجل العمل والحريات:  حركة النهضة:  البناء الوطني:  أولاد الشعب:  الاتحاد الوطني الحر:  
15,5,3,72,1,110,69,200,0,131,131,69,200,0,0,65,2,2,69,0,True,18,"19,53",0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12,23,2,0,1,0,0,0,0,0,0,1,0,0,الاتحاد الوطني الحر:  حركة نداء تونس:2  حركة النهضة:  
15,5,3,71,1,213,173,399,0,226,226,173,399,0,0,164,9,0,173,0,False,1823,2025,1,0,0,2,1,1,0,0,0,1,5,0,1,0,2,1,11,1,1,5,0,0,0,0,1,2,0,0,0,0,0,7,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,3,1,1,0,7,1,42,57,0,0,0,0,0,0,0,2,0,0,1,0,حركة النهضة:1  آفاق تونس:1  التكتل الشعبي من أجل تونس:1  حركة نداء تونس:1  
15,5,3,70,1,529,360,600,0,240,240,360,600,0,0,331,20,9,360,0,True,18h30,20h35,0,6,2,3,0,0,0,0,0,1,7,0,1,1,0,4,59,0,2,16,1,0,1,0,1,2,0,2,0,2,2,2,0,0,0,1,17,0,0,1,1,2,3,1,0,0,0,0,0,1,0,3,0,0,2,46,130,3,0,1,0,1,0,0,1,0,0,2,0,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  آفاق تونس:1  
15,5,2,69,4,548,277,600,0,323,323,277,600,0,0,274,2,1,277,0,True,18.29,20.45,0,1,1,0,0,0,1,0,0,1,9,1,0,0,0,0,67,0,2,12,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,7,45,98,6,0,0,3,0,0,0,1,0,3,0,0,حركة النهضة:1  الاتحاد الوطني الحر:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  حركة الديمقراطيين الاجتماعيين:1  
15,5,2,69,3,549,368,600,0,232,232,368,600,0,0,354,10,4,368,0,True,18.30,21.20,0,2,0,0,0,0,0,0,1,0,4,0,0,0,5,0,90,1,5,27,0,0,0,1,0,6,0,0,1,1,0,0,0,0,2,0,11,1,0,2,0,0,0,0,0,1,0,1,0,2,0,1,1,0,6,63,99,15,0,0,0,1,0,1,2,0,1,0,0,حركة النهضة:1  التكتل من أجل العمل والحريات:1  حركة وفاء:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
15,5,2,69,2,549,432,600,1,168,169,431,600,0,1,413,8,10,430,1,False,"18,20","21,42",0,6,1,4,0,1,0,0,0,1,10,0,0,1,2,2,48,0,9,33,0,1,0,0,0,7,1,0,1,1,0,0,0,0,2,0,9,0,2,1,0,0,0,3,0,1,0,4,1,3,0,4,2,0,9,96,124,8,0,0,2,1,0,1,5,1,3,1,1,حركة النهضة:  التكتل من أجل العمل والحريات:  حركة نداء تونس:  حركة وفاء:  المؤتمر من أجل الجمهورية:  
15,5,2,69,1,549,386,600,1,213,214,386,600,0,0,349,26,11,386,0,False,1845,2100,3,1,0,9,0,3,1,0,0,1,8,2,1,1,3,0,29,1,4,21,1,0,1,1,0,4,2,1,1,1,3,2,0,1,2,1,3,3,0,0,2,0,2,0,1,2,1,3,1,2,1,7,2,0,5,45,132,11,0,0,2,0,3,1,4,2,4,1,1,حركة النهضة:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  المؤتمر من أجل الجمهورية:1  آفاق تونس:1  الاتحاد الوطني الحر:1  
15,5,2,68,3,431,232,500,0,268,268,232,500,0,0,224,0,8,232,0,False,18.20,18.50,2,2,1,1,0,0,1,0,0,1,3,0,0,2,0,0,40,0,3,15,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,2,1,0,0,0,0,0,2,0,2,1,0,1,24,68,8,0,0,0,1,0,0,3,0,22,0,2,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
15,5,2,68,2,433,320,500,0,180,180,320,500,0,0,303,14,3,320,0,True,19h,22h25,2,5,2,0,0,0,0,0,0,0,4,2,0,1,2,2,28,0,5,24,0,0,1,0,0,10,0,0,0,2,0,2,0,0,3,0,13,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,43,111,10,2,0,0,0,0,0,0,1,20,1,0,حركة وفاء:1  حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
