circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,الاتحاد الوطني الحر,الاحرار,الارض,الازدهار,الامل في الحياة,البديل للتشغيل والعدالة والاجتماعية,التحالف الديمقراطي,التحدي,التشغيل والتنمية,التشغيل والكرامة,التكتل من اجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي,السلام,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,النور للديمقراطية والتنمية,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة الجمهورية,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,شباب بلادي,صوت الفلاحين,صوت المستقبل,صوت شعب تونس,ما يرده الشعب,من اجل تحقيق سلطة الشعب,observers
8,7,4,107,1,306,184,400,0,216,216,184,400,0,0,163,16,5,184,0,False,1800,2030,1,1,3,0,3,1,0,0,1,1,0,4,1,3,24,0,2,32,3,3,0,2,2,0,6,3,0,1,0,15,36,3,1,3,0,1,6,0,1,حركة نداء تونس:1  الحزب الجمهوري:1  الوعد الصادق:1  
8,7,4,106,2,467,176,520,54,290,344,176,520,0,0,159,16,2,176,0,False,1800,1945,0,0,8,0,0,0,1,0,2,0,1,0,0,24,8,3,0,46,0,0,1,0,0,0,0,0,4,0,1,20,35,2,1,1,0,0,1,0,0,الحركة الدستورية:1  الوعد الصادق:1  حركة نداء تونس:2  
8,7,4,106,1,468,303,500,0,197,197,303,303,197,0,234,49,20,303,0,True,1805,2000,3,4,3,3,1,1,0,1,1,2,2,4,0,32,13,4,4,57,2,3,2,0,1,0,3,0,3,3,1,17,41,7,0,4,1,1,3,5,2,الحزب الجمهوري:2  الجبهة الشعبية:1  حركة نداء تونس:1  
8,7,4,105,1,321,203,400,0,197,197,203,400,0,0,189,7,7,203,0,False,1845,2023,0,1,22,2,2,0,0,0,3,0,0,4,0,3,4,5,0,37,1,2,1,1,4,0,1,2,4,0,0,39,36,2,2,4,0,0,3,2,2,حركة نداء تونس:1  حركة النهضة:1  الحركة الدستورية:1  التكتل من اجل العمل والحريات:1  
8,7,4,104,2,386,155,500,0,345,345,155,500,0,0,150,3,2,155,0,True,1800,2000,1,0,7,0,1,2,0,0,0,0,2,0,1,1,25,2,0,14,1,0,2,2,1,1,0,1,0,0,3,40,29,4,0,3,0,1,4,0,2,حركة نداء تونس:1  الحزب الجمهوري:1  صوت شعب تونس:1  الوعد الصادق:1  
8,7,4,104,1,386,236,500,1,264,265,235,500,0,0,219,15,1,235,0,False,1800,2024,3,0,5,2,0,3,2,0,3,2,2,6,1,5,23,3,0,29,2,1,2,5,2,1,0,1,9,1,3,41,34,6,3,6,2,2,4,3,3,صوت شعب تونس:1  الجبهة الشعبية:1  حركة نداء تونس:1  الوعد الصادق:1  الحزب الجمهوري:1  
8,7,3,103,1,147,65,200,3,132,135,65,200,0,0,55,6,4,65,0,False,1815,1925,0,0,6,1,0,0,0,0,0,1,0,3,9,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,13,12,1,1,0,0,0,1,0,0,حركة نداء تونس:2  الوعد الصادق:2  
8,7,3,102,1,168,66,205,0,139,139,66,205,0,0,57,9,0,66,0,True,1850,1944,0,0,3,0,0,1,0,0,0,1,0,3,3,0,7,0,0,11,0,0,0,0,0,0,0,0,2,0,0,16,8,0,0,0,1,0,0,1,0,حركة نداء تونس:1  الوعد الصادق:1  
8,7,3,101,1,161,52,200,0,148,148,52,200,0,0,41,5,6,52,0,True,1810,1913,0,0,9,0,0,0,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,14,2,0,2,0,0,0,0,0,حركة نداء تونس:2  الاتحاد الوطني الحر:1  
8,7,3,100,1,301,114,401,7,287,294,107,401,0,7,107,3,4,114,7,False,1900,1930,0,1,6,0,0,0,1,0,1,0,1,4,1,0,9,0,0,4,0,3,0,0,5,0,1,0,0,0,2,11,50,0,1,0,0,0,2,1,2,
8,7,2,99,1,190,103,300,1,196,197,103,300,0,0,88,2,13,103,0,True,1805,2000,1,0,4,0,1,0,0,0,0,0,0,1,1,0,9,0,1,10,0,0,1,0,1,3,2,1,1,1,0,12,32,1,0,0,0,0,4,0,1,
8,7,2,98,1,214,87,300,0,214,214,86,300,0,1,79,2,5,86,0,False,1815,1900,0,0,2,0,0,1,0,0,1,0,0,1,0,1,4,1,1,14,0,1,0,1,1,1,0,0,1,1,1,6,29,2,1,1,1,0,4,2,0,حركة النهضة:1  حركة نداء تونس:1  
8,7,1,97,1,549,474,592,1,118,119,473,592,0,1,453,18,2,473,0,True,18.30,20.48,1,2,15,0,0,1,1,0,2,2,2,4,1,9,65,0,1,58,0,2,0,2,2,1,1,0,0,1,9,121,141,4,0,1,1,0,3,0,0,حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري:1  التكتل من اجل العمل والحريات:1  الجبهة الشعبية:1  
8,7,1,96,7,513,327,596,1,268,269,327,596,0,0,324,1,2,327,0,False,1900,2130,0,6,40,0,0,0,0,1,0,0,0,0,3,8,56,5,0,52,0,0,1,1,0,0,7,0,0,2,3,54,69,0,0,7,0,0,9,0,0,
8,7,1,96,6,516,308,604,0,296,296,308,604,0,0,306,0,2,308,0,False,1821,2007,0,7,19,0,0,0,0,1,0,0,0,0,6,7,33,5,0,60,1,1,0,1,1,2,9,0,2,0,2,60,81,1,0,3,0,0,4,0,0,الاتحاد الوطني الحر:1  التكتل من اجل العمل والحريات:1  الحزب الجمهوري:1  آفاق تونس:1  حركة النهضة:1  حركة نداء تونس:1  
