circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التوازن,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح واالبناء,الحزب الجمهوري ,الحزب الجمهوري المغاربي,الحزب الليبرالي التونسي,الريادة بالعلم والعمل,الشباب الحر,الشعب يريد,القائمة المستقلة بأريانة القدوة,الكادحون,المبادرة,النداء الجمهوري,باب الامل,بيئتنا,تونس العزيزة,تونس في العين,تيار المحبة,حركة التونسي,حركة الديمقراطيين الإشتراكيين,حركة الربيع العربي,حركة الشعب,حركة النهضة,حركة الوحدة الشعبية,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصلاح والتنمية,حزب الانفتاح والوفاء,حزب الانقاذ,حزب البناء الوطني,حزب الصحوة,حزب العمل التونسي,حزب الغد,حزب المؤتمر الشعبي,حزب المؤتمر من اجل الجمهورية,حزب المجد,حزب الوسط الاجتماعي,حزب تونس للجميع,صوت الفنانين,صوت المربي,صوت شعب تونس,نحو بر الأمان,نداء قرطاج,ورد اريانة,observers
4,6,1,77,2,380,271,400,0,129,129,271,400,0,0,256,8,7,271,0,False,1835,2120,4,0,1,41,2,4,1,0,3,5,0,3,1,7,0,0,1,0,0,0,0,3,0,0,0,0,8,4,1,0,2,3,50,0,100,1,1,0,1,0,0,2,2,0,0,3,0,0,0,0,0,0,1,0,1,حركة نداء تونس:1  حركة النهضة:1  
4,6,1,77,1,380,286,400,3,112,115,285,400,0,1,254,22,9,285,0,True,18.24,20.55,2,0,2,22,0,2,0,0,12,3,1,5,2,2,0,0,0,2,0,0,0,4,3,0,0,0,8,1,1,1,1,5,48,0,114,2,0,0,1,0,3,0,1,0,0,1,0,0,7,2,3,0,0,3,0,حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري :1  الاتحاد الوطني الحر:1  
4,6,1,76,6,523,326,600,0,274,274,326,600,0,0,308,12,6,326,0,False,1845,2148,7,0,1,47,3,11,1,0,8,11,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,3,86,0,105,2,0,0,0,0,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,حركة نداء تونس:1  حركة النهضة:1  
4,6,1,76,5,523,336,600,0,264,264,336,600,0,0,327,3,6,336,0,False,1809,2109,11,0,0,32,12,10,0,1,13,5,0,1,0,4,1,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,1,97,0,115,2,1,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,1,0,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
4,6,1,76,4,523,383,600,1,216,217,383,600,0,0,372,8,3,383,0,True,19H,23H,6,0,1,36,5,2,1,0,6,5,2,0,0,3,0,1,0,0,0,0,0,1,2,1,1,0,0,2,0,0,0,1,129,0,151,1,0,0,0,0,0,3,1,0,1,7,0,0,1,0,0,0,1,1,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  
4,6,1,76,3,523,383,600,1,216,217,383,600,0,0,373,5,5,383,0,True,1840,2130,3,0,0,36,3,2,1,1,4,3,0,0,0,4,0,1,0,0,0,0,0,1,2,0,1,1,0,3,1,0,1,4,143,0,131,2,4,0,0,0,0,0,0,2,7,8,1,0,1,0,0,0,2,0,0,الاتحاد الوطني الحر:1  آفاق تونس:1  التحالف الديمقراطي:1  حركة النهضة:1  حركة نداء تونس:1  :  
4,6,1,76,2,523,392,600,0,208,208,392,600,0,0,369,6,17,392,0,False,1840,2150,4,0,1,18,4,5,1,2,1,2,1,2,0,4,0,2,4,0,0,1,0,3,3,0,1,1,1,2,2,1,0,5,114,0,155,3,3,2,2,0,0,1,1,1,1,3,0,0,2,5,1,0,1,3,0,حركة نداء تونس:1  حركة النهضة:1  الاتحاد من اجل تونس:1  تيار المحبة:1  الاتحاد الوطني الحر:1  
4,6,1,76,1,523,423,603,2,178,180,423,603,0,0,389,18,16,423,0,False,18h20,20h50,5,0,1,18,7,5,1,0,9,4,1,4,1,2,0,0,1,1,0,0,1,4,1,0,0,0,2,2,1,0,0,4,134,1,160,3,0,2,0,0,1,0,2,2,0,3,0,0,3,0,0,2,1,0,0,الاتحاد الوطني الحر:1  الاتحاد من اجل تونس:1  حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
4,4,4,59,4,530,342,600,0,258,258,342,600,0,0,335,2,5,342,0,True,19,,14,1,1,18,1,1,1,0,5,11,2,1,0,6,0,0,0,1,0,0,4,1,4,0,0,0,0,2,0,1,0,4,112,0,132,0,0,0,0,0,0,0,0,0,2,8,1,0,0,1,0,0,0,0,0,حركة النهضة:2  
4,4,4,59,3,533,364,600,0,236,236,364,600,0,0,352,7,4,363,0,True,1830,2120,10,0,0,18,1,3,0,0,11,6,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,112,0,152,7,2,0,0,0,0,0,1,0,0,8,1,0,1,2,2,0,0,2,1,حركة نداء تونس:  حركة النهضة:  
