circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers
15,5,6,78,1,407,138,500,0,362,138,500,0,0,133,2,3,138,0,1800,1903,True,80,53,sebsi:275  marzouki:1  
15,5,6,77,1,429,153,500,0,347,153,500,0,0,141,12,0,153,0,1815,1900,True,103,38,sebsi:275  marzouki:1  
15,5,5,76,1,331,150,396,1,245,150,396,0,0,129,20,1,150,0,1810,1850,True,78,51,sebsi:275  marzouki:1  
15,5,4,75,1,135,57,200,0,143,57,200,0,0,55,2,0,57,0,,1829,True,24,31,sebsi:275  marzouki:1  
15,5,4,74,1,116,58,200,0,142,58,200,0,0,56,1,1,58,0,1900,,True,27,29,sebsi:275  marzouki:1  
15,5,4,73,3,447,145,500,0,355,145,500,0,0,142,2,1,145,0,1815,1900,True,58,84,sebsi:275  marzouki:1  
15,5,4,73,2,448,231,499,0,268,231,499,0,0,228,3,0,231,0,1810,,True,118,110,sebsi:275  marzouki:1  
15,5,4,73,1,448,226,500,0,274,226,500,0,0,207,18,1,226,0,1810,1905,False,126,81,sebsi:275  marzouki:1  
15,5,3,72,1,110,56,200,0,144,56,200,0,0,56,0,0,56,0,1802,1802,True,35,21,sebsi:275  marzouki:1  
15,5,3,71,1,312,148,400,1,251,148,400,0,0,144,3,1,148,0,1800,1845,False,81,63,sebsi:275  marzouki:1  
15,5,3,70,1,529,305,600,1,294,305,600,0,0,290,12,3,305,0,1830,1900,True,188,102,sebsi:275  marzouki:1  
15,5,2,69,4,547,265,600,0,335,265,600,0,0,258,5,2,265,0,,1900,True,107,151,sebsi:275  marzouki:1  
15,5,2,69,3,549,302,600,1,297,302,600,0,0,296,2,4,302,0,1810,1849,True,142,154,sebsi:275  marzouki:1  
15,5,2,69,2,549,376,600,1,223,376,600,0,0,361,8,7,376,0,1800,1930,True,205,156,sebsi:275  marzouki:1  
15,5,2,69,1,549,380,600,0,220,380,600,0,0,355,24,1,380,0,1815,1920,True,225,130,sebsi:275  marzouki:1  
15,5,2,68,3,431,215,500,0,285,215,500,0,0,213,2,0,215,0,1805,1834,False,86,127,sebsi:275  marzouki:1  
15,5,2,68,2,433,281,500,0,219,281,500,0,0,273,5,3,281,0,1830,1902,True,173,100,sebsi:275  marzouki:1  
15,5,2,68,1,433,290,500,0,210,290,500,0,0,284,3,3,290,0,1811,1912,True,204,80,sebsi:275  marzouki:1  
15,5,2,67,2,514,232,600,1,367,232,600,0,0,226,6,0,232,0,1805,1855,True,131,95,sebsi:275  marzouki:1  
15,5,2,67,1,514,343,600,0,257,343,600,0,0,333,3,7,343,0,1820,1925,True,253,80,sebsi:275  marzouki:1  
15,5,2,66,5,508,225,600,0,375,225,600,0,0,217,6,2,225,0,1810,1842,True,91,126,sebsi:275  marzouki:1  
15,5,2,66,4,510,261,600,0,339,261,600,0,0,254,6,1,261,0,1810,1900,True,108,146,sebsi:275  marzouki:1  
15,9,3,145,1,209,86,300,0,214,86,300,0,0,82,4,0,86,0,1815,1840,True,37,45,sebsi:1  marzouki:1  
15,9,3,144,2,321,82,400,0,318,82,400,0,0,80,2,0,82,0,1802,1830,True,12,68,sebsi:1  marzouki:1  
15,9,3,144,1,321,126,400,0,274,126,400,0,0,119,5,2,126,0,,1820,True,27,92,sebsi:1  marzouki:1  
15,9,2,143,1,346,133,398,0,265,133,398,0,0,128,4,1,133,0,1810,1830,True,83,45,sebsi:1  marzouki:1  
15,10,14,210,1,349,75,400,0,325,75,400,0,0,74,0,1,75,0,1500,1530,True,41,33,sebsi:1  marzouki:1  
15,10,14,209,1,192,72,298,0,226,72,298,0,0,71,1,0,72,0,1815,1835,False,34,37,sebsi:1  marzouki:1  
15,10,14,208,2,333,74,400,0,326,74,400,0,0,74,0,0,74,0,1810,1850,True,41,33,sebsi:1  marzouki:1  
15,10,14,208,1,334,137,400,0,263,137,400,0,0,136,1,0,137,0,1808,1845,True,85,51,sebsi:1  marzouki:1  
15,10,13,207,1,194,109,300,0,191,109,300,0,0,109,0,0,109,0,1830,1930,True,34,75,sebsi:1  marzouki:1  
15,10,13,206,1,178,87,200,0,113,87,200,0,0,86,1,0,87,0,1815,1840,False,37,49,sebsi:1  marzouki:1  
15,10,13,205,1,400,224,500,0,276,224,500,0,0,222,2,0,224,0,1816,1840,False,40,182,sebsi:1  marzouki:1  
15,10,13,203,1,490,219,600,1,380,219,600,0,0,218,1,0,219,0,1500,1600,False,85,133,sebsi:1  marzouki:1  
15,10,13,202,1,361,159,400,1,240,159,400,0,0,156,3,0,159,0,,,False,70,86,sebsi:1  marzouki:1  
15,10,13,201,1,480,276,601,0,325,276,601,0,0,268,7,1,276,0,1815,1910,True,59,209,sebsi:1  marzouki:1  
15,10,12,200,2,554,151,600,0,449,151,600,0,0,151,0,0,151,0,1805,1900,True,20,131,sebsi:1  marzouki:1  
15,10,12,200,1,555,270,600,0,330,270,600,0,0,269,0,1,270,0,1815,1915,False,41,228,sebsi:1  marzouki:1  
15,10,12,199,1,167,50,200,0,150,50,200,0,0,50,0,0,50,0,1805,1830,False,10,40,sebsi:1  marzouki:1  
15,10,11,198,1,244,107,300,0,193,107,300,0,0,103,4,0,107,0,1800,1830,True,61,42,sebsi:1  marzouki:1  
15,10,11,197,2,594,230,700,0,470,230,700,0,0,208,19,3,230,0,,1900,False,149,59,sebsi:1  marzouki:1  
15,10,11,197,1,595,344,700,0,356,344,700,0,0,331,9,4,344,0,1825,1915,False,239,92,sebsi:1  marzouki:1  
15,10,10,196,2,421,173,496,0,323,173,496,0,0,167,4,2,173,0,1815,1855,False,135,32,sebsi:1  marzouki:1  
15,10,10,196,1,421,233,500,0,267,233,500,0,0,230,3,0,233,0,1805,1845,False,192,38,sebsi:1  marzouki:1  
15,10,10,195,1,385,185,500,0,315,185,500,0,0,185,0,0,185,0,1815,1845.,True,170,15,sebsi:1  marzouki:1  
15,10,10,194,2,345,88,400,0,312,88,400,0,0,85,3,0,88,0,1820,1900,False,59,26,sebsi:1  marzouki:1  
15,10,10,194,1,346,149,400,0,251,149,400,0,0,142,5,2,149,0,1805,1830,True,118,24,sebsi:1  marzouki:1  
15,10,9,193,1,147,43,200,0,157,43,200,0,0,42,1,0,43,0,1500,1549,True,28,14,sebsi:1  marzouki:1  
15,10,9,192,1,209,68,300,0,232,68,300,0,0,66,0,2,68,0,1808,1824,True,39,27,sebsi:1  marzouki:1  
15,10,9,191,1,462,226,496,0,270,226,496,0,0,213,12,1,226,0,1530,1630,True,88,125,sebsi:1  marzouki:1  
15,10,9,190,1,438,181,500,0,319,181,500,0,0,173,8,0,181,0,1530,1550,True,101,72,sebsi:1  marzouki:1  
15,10,9,189,2,321,87,400,0,313,87,400,0,0,84,2,1,87,0,1500,1530,False,38,46,sebsi:1  marzouki:1  
15,10,9,189,1,321,153,400,0,246,153,399,1,0,146,5,2,153,0,1515,1545,True,77,69,sebsi:1  marzouki:1  
15,10,8,188,1,170,68,200,0,132,68,200,0,0,65,3,0,68,0,1514,1541,False,29,36,sebsi:  marzouki:  
15,10,8,187,1,404,211,500,0,289,211,500,0,0,205,5,1,211,0,1845,,True,134,71,sebsi:  marzouki:  
15,10,8,186,1,287,112,400,0,288,112,400,0,0,107,5,0,112,0,1515,1530,True,63,44,sebsi:  marzouki:  
15,10,8,185,1,179,76,200,0,125,75,200,0,0,73,1,1,75,0,1800,,False,42,31,sebsi:  marzouki:  
15,10,8,184,1,433,147,500,0,353,147,500,0,0,140,7,0,147,0,1500,1550,False,48,92,sebsi:  marzouki:  
15,10,7,183,1,253,85,300,0,215,85,300,0,0,85,0,0,85,0,1820,1900,True,48,37,sebsi:  marzouki:  
15,10,7,182,2,592,114,700,0,586,114,700,0,0,110,2,2,114,0,1805,1830,False,70,40,sebsi:  marzouki:  
15,10,6,181,1,216,82,300,0,218,82,300,0,0,77,3,2,82,0,1515,1556,True,22,55,sebsi:  marzouki:  
15,10,6,180,1,72,17,100,0,83,17,100,0,0,17,0,0,17,0,1500,1515,False,8,9,sebsi:  marzouki:  
15,10,6,179,2,318,99,400,0,301,99,400,0,0,95,4,0,99,0,1520,1540,True,39,56,sebsi:  marzouki:  
15,10,6,179,1,318,159,400,0,241,159,400,0,0,150,6,3,159,0,1500,1600,True,92,58,sebsi:  marzouki:  
15,10,6,178,1,253,76,300,0,224,76,300,0,0,73,1,2,76,0,1530,1555,True,46,27,sebsi:  marzouki:  
