circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
21,1,1,1,1,481,368,600,0,232,368,600,0,0,360,7,1,368,0,1810,1900,True,275,85,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,1,35.299268,10.710436
21,1,1,1,2,481,388,601,0,213,388,601,0,0,383,1,4,388,0,1812,1910,True,250,133,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,2,35.299268,10.710436
21,1,1,1,3,481,359,608,0,249,359,608,0,0,354,2,3,359,0,1815,1933,True,220,134,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,3,35.299268,10.710436
21,1,1,1,4,481,310,603,0,293,310,603,0,0,305,4,1,310,0,1820,1915,True,200,105,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,4,35.299268,10.710436
21,1,1,1,5,480,325,600,0,275,325,600,0,0,317,3,5,325,0,1830,1900,True,217,100,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,5,35.299268,10.710436
21,1,1,2,1,587,428,702,1,273,428,702,0,0,423,2,3,428,0,1820,1945,True,297,126,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,2,E.P.IBN SINA - ZEOUIA,1,35.285547,10.711959
21,1,1,2,2,586,400,700,0,300,400,700,0,0,394,4,2,400,0,1803,1919,True,276,118,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,2,E.P.IBN SINA - ZEOUIA,2,35.285547,10.711959
21,1,1,3,1,506,321,599,1,277,321,599,0,0,313,3,5,321,0,1815,1910,True,221,92,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,1,3,E.P.CITE NOUVELLE 2 ZAOUIA,1,35.299782,10.710583
21,1,2,4,1,516,389,600,0,211,389,600,0,0,382,5,2,389,0,1830,1930,True,289,93,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,1,35.294056,10.701163
21,1,2,4,2,516,404,600,0,196,404,600,0,0,396,4,4,404,0,1825,1930,True,272,124,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,2,35.294056,10.701163
21,1,2,4,3,516,342,600,0,258,342,600,0,0,338,2,2,342,0,1835,1950,True,231,107,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,3,35.294056,10.701163
21,1,2,4,4,514,340,604,2,262,340,604,0,0,335,3,2,340,0,1830,2005,True,234,101,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,4,35.294056,10.701163
21,1,2,5,1,452,340,499,1,158,340,499,0,0,334,3,3,340,0,1815,1920,True,273,61,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,1,35.292845,10.707335
21,1,2,5,2,452,357,500,0,143,357,500,0,0,349,5,3,357,0,0,1930,True,261,88,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,2,35.292845,10.707335
21,1,2,5,3,452,290,500,0,210,290,500,0,0,287,3,0,290,0,1820,1900,True,189,98,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,3,35.292845,10.707335
21,1,2,5,4,450,274,500,0,226,274,500,0,0,266,6,2,274,0,1830,1920,True,193,73,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,4,35.292845,10.707335
21,1,3,6,1,245,114,300,1,185,114,300,0,0,112,2,0,114,0,1805,1840,True,85,27,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,3,6,E.P.SIDI BOUHLEL - RIADH BOUHLEL,1,35.280789,10.585837
21,1,3,7,1,508,332,592,0,260,332,592,0,0,317,6,9,332,0,1815,1900,True,202,115,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,3,7,E.P.RIADH BOUHLEL,1,35.261776,10.603457
21,1,3,7,2,507,224,600,0,376,224,600,0,0,219,1,4,224,0,1805,1840,True,94,125,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,3,7,E.P.RIADH BOUHLEL,2,35.261776,10.603457
21,1,4,8,1,418,225,500,1,274,225,500,0,0,219,2,4,225,0,1823,1905,True,164,55,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,4,8,E.P.EL IMTIEZ - EL AITHA,1,35.275039,10.639625
21,1,5,9,1,170,98,200,0,102,98,200,0,0,94,3,1,98,0,1810,1830,True,72,22,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,5,9,E.P.BENI THABET - MCHALET,1,35.378572,10.702276
21,1,5,10,1,274,143,300,1,156,143,300,0,0,139,4,0,143,0,1805,1835,True,113,26,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,5,10,E.P.MCHALET,1,35.338043,10.637604
21,1,6,11,1,436,164,496,1,331,164,496,0,0,162,1,1,164,0,1820,1840,True,103,59,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,6,11,E.P.ZEGHABNA,1,35.23399733,10.709004
21,1,6,12,1,230,87,300,0,213,87,300,0,0,87,0,0,87,0,1815,1836,True,59,28,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,6,12,E.P.OUED HAMOUDA ZGHABNA,1,35.268931,10.756734
21,1,7,13,1,507,250,600,0,350,250,600,0,0,247,2,1,250,0,1810,1839,True,173,74,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,7,13,E.P.ENNSIRAT,1,35.326252,10.792762
21,1,7,13,2,507,174,600,1,425,174,600,0,0,170,3,1,174,0,1810,1845,False,85,85,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,7,13,E.P.ENNSIRAT,2,35.326252,10.792762
21,1,8,14,1,330,208,400,0,192,208,400,0,0,203,5,0,208,0,0,1800,True,151,52,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,8,14,E.P.ABABSA,1,35.388896,10.770407
21,1,8,14,2,330,158,398,1,239,158,398,0,0,154,3,1,158,0,1810,1830,True,89,65,sebsi:1  marzouki:1  ,21,Mahdia,1,El Jem,8,14,E.P.ABABSA,2,35.388896,10.770407
