circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
9,1,1,1,1,348,278,400,0,122,122,278,400,0,0,247,14,17,278,0,False,5,18,0,54,114,9,Bizerte,1,El Alia,1,1,E.P.SIDI ALI CHABAB,1,37.19427236,10.05228534
9,1,1,1,2,347,254,400,2,144,146,254,400,0,0,247,5,2,254,0,False,3,28,3,55,113,9,Bizerte,1,El Alia,1,1,E.P.SIDI ALI CHABAB,2,37.19427236,10.05228534
9,1,2,2,1,555,385,600,5,210,215,385,600,0,0,339,43,3,385,0,True,0,18,5,113,110,9,Bizerte,1,El Alia,2,2,E.P.IBN KHALDOUN EL ALIA NORD EL ALIA,1,37.16755524,10.03810722
9,1,2,2,2,555,394,600,1,206,207,393,600,0,1,374,13,6,393,0,False,3,26,5,203,94,9,Bizerte,1,El Alia,2,2,E.P.IBN KHALDOUN EL ALIA NORD EL ALIA,2,37.16755524,10.03810722
9,1,2,2,3,555,326,601,2,273,275,326,601,0,0,316,5,5,326,0,True,1,28,8,162,69,9,Bizerte,1,El Alia,2,2,E.P.IBN KHALDOUN EL ALIA NORD EL ALIA,3,37.16755524,10.03810722
9,1,2,2,4,552,296,599,2,301,303,296,599,0,0,280,5,11,296,0,False,7,45,4,106,65,9,Bizerte,1,El Alia,2,2,E.P.IBN KHALDOUN EL ALIA NORD EL ALIA,4,37.16755524,10.03810722
9,1,2,3,1,595,460,700,4,236,240,460,700,0,0,417,38,5,460,0,False,4,19,6,166,113,9,Bizerte,1,El Alia,2,3,E.P.CHABBI EL ALIA NORD EL ALIA,1,37.16872675,10.03063352
9,1,2,3,3,595,460,700,1,239,240,460,700,0,0,443,5,12,460,0,False,7,27,5,259,92,9,Bizerte,1,El Alia,2,3,E.P.CHABBI EL ALIA NORD EL ALIA,3,37.16872675,10.03063352
9,1,2,3,4,595,380,700,4,316,320,380,700,0,0,368,10,2,380,0,False,7,35,8,183,77,9,Bizerte,1,El Alia,2,3,E.P.CHABBI EL ALIA NORD EL ALIA,4,37.16872675,10.03063352
9,1,2,3,5,595,371,700,0,329,329,371,700,0,0,358,6,7,371,0,False,4,71,8,161,66,9,Bizerte,1,El Alia,2,3,E.P.CHABBI EL ALIA NORD EL ALIA,5,37.16872675,10.03063352
9,1,2,4,1,417,314,500,2,185,187,313,500,0,1,278,30,5,313,0,False,4,14,3,104,84,9,Bizerte,1,El Alia,2,4,E.P.TAIEB CHERIF EL ALIA NORD EL ALIA,1,37.17433605,10.03368443
9,1,2,4,2,417,289,500,4,207,211,289,500,0,0,280,9,0,289,0,False,8,15,3,162,62,9,Bizerte,1,El Alia,2,4,E.P.TAIEB CHERIF EL ALIA NORD EL ALIA,2,37.17433605,10.03368443
9,1,3,5,1,88,61,104,0,43,43,61,104,0,0,60,1,0,61,1,False,0,2,1,14,32,9,Bizerte,1,El Alia,3,5,E.P.EL AOUAYCHIA EL ALIA SUD EL ALIA,1,37.13576808,9.9950336
9,1,3,6,1,462,282,500,1,217,218,282,500,0,0,263,5,14,282,0,False,1,10,3,82,94,9,Bizerte,1,El Alia,3,6,E.P.OUED EL HELLA - EL ALIA SUD,1,37.179086,9.9967307
9,1,3,7,1,406,291,500,0,209,209,291,500,0,0,264,17,10,291,0,False,4,12,2,118,68,9,Bizerte,1,El Alia,3,7,E.P.14 JANVIER EL ALIA SUD,1,37.1645371,10.03535403
9,1,3,7,2,406,294,500,1,205,206,294,500,0,0,287,2,5,294,0,False,3,26,3,148,62,9,Bizerte,1,El Alia,3,7,E.P.14 JANVIER EL ALIA SUD,2,37.1645371,10.03535403
9,1,3,7,3,405,240,500,0,260,260,240,500,0,0,235,1,4,240,0,False,8,24,2,101,62,9,Bizerte,1,El Alia,3,7,E.P.14 JANVIER EL ALIA SUD,3,37.1645371,10.03535403
9,1,4,8,1,319,235,401,1,166,167,234,401,0,1,200,26,8,234,0,True,3,12,5,92,42,9,Bizerte,1,El Alia,4,8,E.P.RAHMANIA EL ALIYA KITMIN,1,37.172109,10.038626
9,1,4,8,2,318,176,400,1,223,224,176,400,0,0,169,4,3,175,0,True,1,17,3,85,29,9,Bizerte,1,El Alia,4,8,E.P.RAHMANIA EL ALIYA KITMIN,2,37.172109,10.038626
9,1,4,9,1,479,349,600,0,251,251,349,600,0,0,282,54,13,349,0,False,4,14,5,72,78,9,Bizerte,1,El Alia,4,9,E.P.KHITMINE,1,37.14579482,9.98519429
9,1,4,9,2,479,302,600,1,298,299,301,600,0,1,283,11,7,301,0,False,3,19,6,122,73,9,Bizerte,1,El Alia,4,9,E.P.KHITMINE,2,37.14579482,9.98519429
9,1,4,9,3,477,206,600,0,394,394,206,600,0,0,199,4,3,206,0,False,5,32,2,68,51,9,Bizerte,1,El Alia,4,9,E.P.KHITMINE,3,37.14579482,9.98519429
