circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
21,1,1,1,1,481,406,600,6,192,198,402,600,0,4,370,24,8,402,0,False,7,4,9,76,227,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,1,35.299268,10.710436
21,1,1,1,2,481,414,598,1,183,184,414,598,0,0,401,10,3,414,0,False,0,3,2,137,216,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,2,35.299268,10.710436
21,1,1,1,3,481,392,596,0,204,204,392,596,0,0,385,6,1,392,0,False,9,6,2,126,192,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,3,35.299268,10.710436
21,1,1,1,4,481,357,597,2,237,239,357,596,1,0,354,3,0,357,0,True,7,4,2,90,214,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,4,35.299268,10.710436
21,1,1,1,5,480,377,600,0,223,223,377,600,0,0,366,7,4,377,0,True,9,13,4,83,219,21,Mahdia,1,El Jem,1,1,E.P.CITE NOUVELLE 1 - ZEOUIA,5,35.299268,10.710436
21,1,1,2,1,587,470,705,2,222,224,470,694,11,0,449,12,9,470,0,False,4,5,0,143,243,21,Mahdia,1,El Jem,1,2,E.P.IBN SINA - ZEOUIA,1,35.285547,10.711959
21,1,1,2,2,586,433,700,8,255,253,433,696,4,0,427,3,3,433,0,False,7,3,1,101,262,21,Mahdia,1,El Jem,1,2,E.P.IBN SINA - ZEOUIA,2,35.285547,10.711959
21,1,1,3,1,506,356,600,4,240,244,356,600,0,0,350,5,1,356,0,False,12,6,5,72,211,21,Mahdia,1,El Jem,1,3,E.P.CITE NOUVELLE 2 ZAOUIA,1,35.299782,10.710583
21,1,2,4,1,515,413,600,0,187,187,413,600,0,0,383,21,9,413,0,False,10,2,9,93,212,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,1,35.294056,10.701163
21,1,2,4,2,515,436,600,24,140,164,436,600,0,0,428,6,2,436,0,False,9,5,10,129,226,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,2,35.294056,10.701163
21,1,2,4,3,515,391,596,2,203,205,391,596,0,0,379,9,3,391,0,False,10,5,4,99,208,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,3,35.294056,10.701163
21,1,2,4,4,515,367,596,25,204,229,367,596,0,0,363,3,1,367,0,False,8,14,11,78,212,21,Mahdia,1,El Jem,2,4,E.P.AV.HEDI CHAKER,4,35.294056,10.701163
21,1,2,5,1,452,372,504,3,132,135,369,504,0,3,347,14,8,369,0,True,8,4,2,53,228,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,1,35.292845,10.707335
21,1,2,5,3,452,331,500,16,153,169,331,500,0,0,327,2,2,331,0,False,11,6,2,104,159,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,3,35.292845,10.707335
21,1,2,5,4,451,326,500,3,171,174,326,500,0,0,320,3,3,326,0,False,15,11,2,54,194,21,Mahdia,1,El Jem,2,5,E.P.ACHOURIA - AL MOURABITINE,4,35.292845,10.707335
21,1,3,6,1,245,161,300,3,136,139,161,300,0,0,143,17,1,161,0,False,2,2,1,32,65,21,Mahdia,1,El Jem,3,6,E.P.SIDI BOUHLEL - RIADH BOUHLEL,1,35.280789,10.585837
21,1,3,7,1,508,397,600,0,203,203,397,600,0,0,367,19,11,397,0,False,2,6,2,113,106,21,Mahdia,1,El Jem,3,7,E.P.RIADH BOUHLEL,1,35.261776,10.603457
21,1,3,7,2,507,335,600,1,264,265,335,600,0,0,300,18,17,335,0,False,2,10,1,168,49,21,Mahdia,1,El Jem,3,7,E.P.RIADH BOUHLEL,2,35.261776,10.603457
21,1,4,8,1,418,283,500,24,196,220,283,503,3,0,259,22,2,283,0,True,2,4,4,57,129,21,Mahdia,1,El Jem,4,8,E.P.EL IMTIEZ - EL AITHA,1,35.275039,10.639625
21,1,5,9,1,170,132,200,0,68,68,132,200,0,0,122,7,3,132,0,False,0,2,0,34,67,21,Mahdia,1,El Jem,5,9,E.P.BENI THABET - MCHALET,1,35.378572,10.702276
21,1,5,10,1,274,174,314,11,129,140,174,314,0,0,162,10,2,174,0,False,1,5,0,32,90,21,Mahdia,1,El Jem,5,10,E.P.MCHALET,1,35.338043,10.637604
21,1,6,11,1,436,245,500,2,254,256,244,500,0,1,230,12,2,244,0,False,1,5,1,64,113,21,Mahdia,1,El Jem,6,11,E.P.ZEGHABNA,1,35.23399733,10.709004
