circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
6,1,1,1,1,425,358,500,1,142,357,500,0,1,342,12,3,357,0,1815,1855,True,266,76,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,1,1,E.P.HEDI KHELIL ASSILA,1,36.617453,8.977831
6,1,1,1,2,425,305,500,0,195,305,500,0,0,296,8,1,305,0,1820,1902,True,197,99,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,1,1,E.P.HEDI KHELIL ASSILA,2,36.617453,8.977831
6,1,1,1,3,425,234,500,0,266,234,500,0,0,224,5,5,234,0,1800,1900,True,151,73,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,1,1,E.P.HEDI KHELIL ASSILA,3,36.617453,8.977831
6,1,2,2,1,155,52,200,0,148,52,200,0,0,51,0,1,52,0,1805,1830,True,41,10,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,2,2,E.P.EL KHLIFET GHAZALA,1,36.666507,8.84375
6,1,2,3,1,193,87,298,0,211,87,298,0,0,80,5,2,87,0,1800,1825,True,41,39,sebsi:1  :1  ,6,Jendouba,1,Balta-Bou Aouane,2,3,E.P.RIGHA - GHEZALA,1,36.66846,8.802223
6,1,2,4,1,172,113,200,0,87,113,200,0,0,102,8,3,113,0,1800,1835,True,46,56,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,2,4,E.P.SIDI ABDALLAH GZALA,1,36.636378,8.880515
6,1,3,6,1,339,148,400,0,252,148,400,0,0,144,2,2,148,0,,1840,False,91,53,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,3,6,E.P.AIN EL HAJ EL AOUAOUDHA,1,36.719168,8.929486
6,1,3,7,1,238,120,300,0,180,120,300,0,0,117,1,2,120,0,1800,1840,True,87,30,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,3,7,E.P.ELAHD ALJADID ELAOUAOUDHA,1,36.697115,8.897077
6,1,4,8,2,446,162,500,1,337,162,500,0,0,158,1,3,162,0,1800,1830,True,94,64,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,4,8,E.P.BALDIA,2,36.671593,8.89082
6,1,5,9,1,325,85,396,1,310,85,396,0,0,79,6,0,85,0,1815,1840,True,66,13,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,5,9,E.P.CHAOUALA BOUSELIM,1,36.702755,8.83107
6,1,5,10,1,305,111,401,1,289,111,401,1,0,109,2,0,111,0,1800,1820,True,80,29,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,5,10,E.P.OULED SAIDANE - CHWAWLA,1,36.694419,8.866216
6,1,5,11,1,129,48,200,0,152,48,200,0,0,48,0,0,48,0,1800,1830,True,22,26,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,5,11,E.P.HOFRET EL JANNA  - CHWAWLA,1,36.699761,8.868045
6,1,6,12,1,228,81,300,0,219,81,300,0,0,77,3,1,81,0,1810,1830,True,63,14,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,6,12,E.P.BENI M HAMED,1,36.758619,8.92949
6,1,6,13,1,223,89,300,0,211,89,300,0,0,86,3,0,89,0,1502,1530,True,48,38,sebsi:1  :1  ,6,Jendouba,1,Balta-Bou Aouane,6,13,E.P.AIN FODHA - BENI M'HAMED,1,36.739559,8.902713
6,1,6,14,1,78,42,100,0,58,42,100,0,0,40,1,1,42,0,,1500,True,25,15,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,6,14,E.P.N'SAIBIA - BENI M'HAMED,1,36.758427,8.898979
6,1,7,15,1,540,329,600,0,271,329,600,0,0,318,8,3,329,0,1810,1842,False,268,50,sebsi:1  marzouki:1  ,6,Jendouba,1,Balta-Bou Aouane,7,15,E.P.SOMRANE,1,36.65353,8.963648
6,1,7,15,2,540,252,600,0,348,252,600,0,0,247,3,2,252,0,1810,1900,True,178,69,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,7,15,E.P.SOMRANE,2,36.65353,8.963648
6,1,7,16,1,323,172,401,0,229,172,401,0,0,169,0,3,172,0,1800,1910,False,139,30,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,7,16,E.P.ETTOUAYTIA SOMRANE,1,36.69146,8.953085
6,1,8,17,1,499,305,600,0,295,305,600,0,0,287,16,2,305,0,1800,1901,True,246,41,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,8,17,E.P.BALTA,1,36.705915,8.946108
6,1,8,17,2,499,258,600,0,342,258,600,0,0,246,11,1,258,0,1805,1852,True,197,49,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,8,17,E.P.BALTA,2,36.705915,8.946108
6,1,8,17,3,499,251,600,0,349,251,600,0,0,246,3,2,251,0,1800,,True,172,74,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,8,17,E.P.BALTA,3,36.705915,8.946108
6,1,8,17,4,498,224,600,0,376,224,600,0,0,219,3,2,224,0,1805,1835,True,147,72,sebsi:1  marzouki:0  ,6,Jendouba,1,Balta-Bou Aouane,8,17,E.P.BALTA,4,36.705915,8.946108
