circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
15,1,1,1,2,531,341,600,0,259,341,600,0,0,334,6,1,341,0,1810,1907,False,157,177,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,1,E.P.EZZOUHOUR 1 EZZOUHOUR OUEST1,2,35.161118,8.8317199
15,1,1,1,3,531,373,600,0,227,373,600,0,0,369,3,1,373,0,1812,1930,False,149,220,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,1,E.P.EZZOUHOUR 1 EZZOUHOUR OUEST1,3,35.161118,8.8317199
15,1,1,1,4,531,311,602,1,290,311,602,0,0,307,3,1,311,0,1810,1845,True,103,204,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,1,E.P.EZZOUHOUR 1 EZZOUHOUR OUEST1,4,35.161118,8.8317199
15,1,1,1,5,531,267,600,2,331,267,600,0,0,264,2,1,267,0,1815,1900,False,74,190,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,1,E.P.EZZOUHOUR 1 EZZOUHOUR OUEST1,5,35.161118,8.8317199
15,1,1,1,6,531,240,600,0,360,240,600,0,0,238,2,0,240,0,,1840,True,66,172,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,1,E.P.EZZOUHOUR 1 EZZOUHOUR OUEST1,6,35.161118,8.8317199
15,1,1,1,7,529,241,596,1,354,241,596,0,0,238,2,1,241,0,1800,1846,True,61,177,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,1,E.P.EZZOUHOUR 1 EZZOUHOUR OUEST1,7,35.161118,8.8317199
15,1,1,2,1,496,314,600,0,286,314,600,0,0,304,10,0,314,0,1812,1915,True,155,149,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,2,E.P.EZZOUHOUR 2 EZOUHOUR OUEST 1,1,35.161215,8.8324222
15,1,1,2,2,496,339,600,1,260,339,600,0,0,332,7,0,339,0,1800,,False,135,197,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,2,E.P.EZZOUHOUR 2 EZOUHOUR OUEST 1,2,35.161215,8.8324222
15,1,1,2,3,496,308,600,1,291,308,600,0,0,296,12,0,308,0,1821,1921,True,121,175,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,2,E.P.EZZOUHOUR 2 EZOUHOUR OUEST 1,3,35.161215,8.8324222
15,1,1,2,4,496,252,600,0,348,252,600,0,0,248,1,3,252,0,1800,1920,True,72,176,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,2,E.P.EZZOUHOUR 2 EZOUHOUR OUEST 1,4,35.161215,8.8324222
15,1,1,2,5,492,225,600,0,375,225,600,0,0,221,4,0,225,0,1820,1928,True,66,155,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,1,2,E.P.EZZOUHOUR 2 EZOUHOUR OUEST 1,5,35.161215,8.8324222
15,1,2,3,1,545,351,600,0,249,351,600,0,0,346,5,0,351,0,1810,1850,True,195,151,sebsi:1  marzouki:1  ,15,Kasserine,1,Ezzouhour,2,3,E.P.SAAD EDDINE EZZOUHOUR OUEST2,1,35.154603,8.8311529
