circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
26,2,3,45,1,275,179,400,0,221,179,400,0,0,172,4,3,179,0,1818,1905,True,23,149,sebsi:1  marzouki:1  ,26,Médenine,2,Beni Khedache,3,45,E.P.EDDEKHILA,1,35.867597,10.005125
26,4,8,95,1,488,325,600,0,275,325,600,0,0,320,2,3,325,0,,1915,True,133,187,sebsi:1  marzouki:1  ,26,Médenine,4,Djerba - Houmt Souk,8,95,E.P.SOUANI,1,36.540412,8.686979
26,4,8,95,2,488,358,601,0,243,358,601,0,0,353,2,3,358,0,1818,1910,True,112,241,sebsi:1  marzouki:1  ,26,Médenine,4,Djerba - Houmt Souk,8,95,E.P.SOUANI,2,36.540412,8.686979
26,4,8,95,3,488,273,600,1,326,273,600,0,0,269,3,1,273,0,1804,1900,True,75,194,sebsi:1  marzouki:1  ,26,Médenine,4,Djerba - Houmt Souk,8,95,E.P.SOUANI,3,36.540412,8.686979
26,4,8,95,4,485,269,600,0,331,269,600,0,0,266,1,2,269,0,1814,1905,True,84,128,sebsi:1  marzouki:1  ,26,Médenine,4,Djerba - Houmt Souk,8,95,E.P.SOUANI,4,36.540412,8.686979
26,1,1,1,1,580,441,697,0,256,441,697,0,0,430,6,5,441,0,1815,,True,136,294,sebsi:1  marzouki:1  ,26,Médenine,1,Ben Gardane,1,1,E.P.RUE T M HIRI BEN GUERDEN,1,33.139378,11.215456
26,1,1,1,2,580,387,700,1,312,387,700,0,0,381,3,3,387,0,1815,1914,True,88,293,sebsi:1  marzouki:1  ,26,Médenine,1,Ben Gardane,1,1,E.P.RUE T M HIRI BEN GUERDEN,2,33.139378,11.215456
26,1,1,1,3,578,306,700,0,394,306,700,0,0,300,4,2,306,0,1845,1935,True,65,235,sebsi:1  marzouki:1  ,26,Médenine,1,Ben Gardane,1,1,E.P.RUE T M HIRI BEN GUERDEN,3,33.139378,11.215456
26,1,1,2,1,446,295,500,0,205,295,500,0,0,292,2,1,295,0,1835,1849,True,89,203,sebsi:1  marzouki:1  ,26,Médenine,1,Ben Gardane,1,2,E.P.AV M. SLIM B.GUERDEN NORD,1,33.139579,11.215934
26,1,1,2,2,446,273,500,0,227,273,500,0,0,270,2,1,273,0,1800,1843,True,43,227,sebsi:1  marzouki:1  ,26,Médenine,1,Ben Gardane,1,2,E.P.AV M. SLIM B.GUERDEN NORD,2,33.139579,11.215934
