circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
22,1,1,1,1,561,425,600,9,166,175,425,600,0,0,400,15,10,425,0,True,80,3,7,88,189,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,1,35.61794909,10.99075175
22,1,1,1,2,561,364,601,7,232,239,362,601,0,2,333,26,3,362,0,True,58,2,0,59,172,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,2,35.61794909,10.99075175
22,1,1,1,3,561,452,612,33,127,160,452,612,0,0,449,3,0,452,0,True,86,5,1,118,208,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,3,35.61794909,10.99075175
22,1,1,1,4,561,382,592,4,206,210,382,592,0,0,377,3,2,382,0,True,94,2,4,86,166,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,4,35.61794909,10.99075175
22,1,1,1,5,561,378,600,80,142,223,378,601,1,0,372,3,3,378,0,False,92,3,1,72,177,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,5,35.61794909,10.99075175
22,1,1,1,6,561,373,600,13,214,227,373,600,0,0,366,3,4,373,0,True,101,7,3,88,141,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,6,35.61794909,10.99075175
22,1,1,1,7,556,351,600,6,243,249,351,600,0,0,347,4,0,351,0,True,101,5,4,73,147,22,Monastir,1,Bekalta,1,1,E.P.BEKALTA NOUVELLE CITE,7,35.61794909,10.99075175
22,1,1,2,1,540,415,600,4,183,187,413,600,0,2,391,15,7,413,0,True,61,0,3,44,247,22,Monastir,1,Bekalta,1,2,E.P.ELBHIRA BEKALTA NORD,1,35.615478,11.019791
22,1,1,3,1,310,214,400,6,180,186,214,400,0,0,208,6,0,214,0,True,25,0,1,57,108,22,Monastir,1,Bekalta,1,3,E.P.ZEBID BKALTA,1,35.630841,11.01442
22,1,2,4,1,529,415,594,11,168,179,415,594,0,0,406,6,3,415,0,True,105,1,3,93,168,22,Monastir,1,Bekalta,2,4,E.P.BEKALTA GARE SUD,1,35.616299,10.991001
