circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمل تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,التحالف الديمقراطي,التحدي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الدخلة للعمل والعدالة والتنمية,الريادة,الشعب يريد,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,تميز,تونس العزيزة,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة البديل,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي ,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب المجد,حزب حركة الجمهورية,صوت شعب تونس,قائمة سامي بالحاج,observers
11,5,1,62,1,582,498,700,0,202,202,498,700,0,0,469,17,12,498,0,True,1845,2110,25,2,2,10,4,6,3,5,10,9,0,0,1,10,0,0,1,2,0,5,3,0,4,2,2,2,5,0,2,124,218,2,1,2,4,3,حركة نداء تونس:1  حركة النهضة:1  المبادرة:1  الجبهة الشعبية:1  
11,3,5,52,1,509,367,600,0,233,233,367,600,0,0,345,10,12,367,0,False,1800,2127,6,0,1,7,2,2,3,8,4,5,1,1,0,3,2,0,1,0,1,0,2,0,4,3,2,6,0,3,6,82,101,7,0,2,0,0,حركة النهضة:1  حركة نداء تونس:1  
11,3,5,51,2,352,237,400,0,163,163,237,400,0,0,218,12,7,237,0,False,1830,,10,0,0,17,0,0,1,6,0,6,1,0,1,1,0,1,0,0,0,1,5,1,3,2,0,1,0,1,1,53,101,1,0,1,2,1,حركة نداء تونس:1  حركة النهضة:1  
11,3,5,51,1,352,274,400,0,126,126,274,400,0,0,247,12,15,274,0,False,1815,1945,6,3,0,6,0,3,1,2,3,2,0,1,3,1,0,0,1,0,0,0,4,1,0,7,3,5,0,0,3,65,123,1,0,0,0,3,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
11,3,4,50,3,455,330,494,0,164,164,330,494,0,0,325,2,3,330,0,False,1851,2025,13,1,0,19,1,0,0,2,3,8,0,1,0,24,0,0,0,0,0,4,1,1,5,1,0,0,1,1,1,50,185,2,0,0,0,1,حركة نداء تونس:1  حركة النهضة:1  الحزب الجمهوري:1  
11,3,4,50,2,456,386,500,2,113,115,386,500,0,0,382,0,4,386,0,False,18h30,21h55,9,0,1,9,0,1,0,1,3,2,0,0,0,38,0,0,0,0,2,1,1,0,2,1,1,5,2,0,1,81,216,2,0,2,1,0,الحزب الجمهوري:1  حركة النهضة:1  حركة نداء تونس:1  
11,3,4,50,1,456,375,500,1,124,125,375,500,0,0,330,19,26,375,0,False,1820,2110,2,2,0,9,1,1,0,7,2,0,2,0,0,28,0,1,0,1,1,2,1,2,5,0,1,4,1,1,0,53,197,2,1,1,2,0,اتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  الحزب الجمهوري:1  
11,3,4,49,5,501,395,600,0,205,205,395,600,0,0,390,1,4,395,0,False,1845,2220,27,0,0,16,0,4,1,3,9,16,0,0,0,56,0,0,1,0,1,3,0,0,0,6,0,0,0,0,4,68,171,1,0,2,2,0,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
11,3,4,49,4,501,388,600,2,210,212,388,600,0,0,380,3,5,388,0,True,1815,2050,11,0,0,8,2,3,1,5,4,2,2,0,0,47,0,0,0,0,0,4,1,1,3,0,0,0,1,0,0,74,208,1,1,1,0,0,حركة نداء تونس:1  الحزب الجمهوري:1  حركة النهضة:1  
11,3,4,49,3,501,415,600,0,185,185,415,600,0,0,410,4,1,415,0,False,1830,2230,11,0,0,8,0,1,1,2,4,5,0,0,0,59,0,0,0,0,2,1,1,0,5,0,1,1,0,0,2,103,201,1,0,1,0,0,المبادرة:1  حركة النهضة:1  الحزب الجمهوري:1  حركة نداء تونس:1  
