circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,حركة نداء تونس,آفاق تونس,أمانة وفاء,إرادة,إن شاء الله خير,االجبهة الوطنية التونسية,اتحاد الشباب الديمقراطي التونسي,الأمانة,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانجاز والمقاومة ,الانفتاح والوفاء,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحركة الديمقراطية الاشتراكية,الحزب الجمهوري,الحزب الجمهوري المغاربي,الحقيقة,الخضر,الخضراء,الربيع العربي لتحقيق السيادة الاقتصادية ,الشباب المستقل,الشروق,الشعب يريد,الصوت الحر,العدالة الجمهورية,العريضة الشعبية,العقد الثوري,القائمة المستقلة أبناء الشعب,القائمة المستقلة العدالة,القائمة المستقلة النخلة,القائمة المستقلة للامركزية والتنمية,اللقاء الدستوري,المبادرة,المستقلة الاقلاع,المنارة,الوئام,الوفاء بالعهد,الياسمين,تونس الخضراء تنمية مستدامة,تيار المحبة,جركة الديمقراطيين الاجتماعيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الانتماء الديمقراطي,حزب البناء الوطني,حزب التكتل ,حزب التكتل الشعبي من أجل تونس,حزب الغد,حزب المؤتمر من أجل الجمهورية,حزب صوت شعب تونس,رد الاعتبار,شباب قفصة,صوت الحق,قائمة الأمل,قفصة دارنا الكل,قفصة عراقة وتجديد,observers
17,9,1,133,3,584,395,700,1,305,306,395,700,1,394,386,3,6,395,0,False,06.15,20.46,89,3,0,2,1,1,54,1,1,3,1,0,0,1,3,11,4,0,3,0,0,0,0,0,15,0,0,1,0,2,0,1,14,10,1,1,37,0,0,0,1,3,1,8,0,1,102,0,0,0,0,0,1,0,2,4,0,0,1,1,0,1,القائمة المستقلة النخلة:1  تيار المحبة:1  حركة النهضة:1  اتحاد الشباب الديمقراطي التونسي:1  الجبهة الشعبية:1   نداء تونس:1  المبادرة:1  
17,9,1,133,2,586,454,700,0,247,247,453,700,0,1,440,6,7,453,0,False,1930,2200,106,1,1,2,0,0,49,2,1,3,1,0,1,1,2,23,4,0,2,0,0,1,0,0,11,0,0,0,0,2,2,0,25,8,0,0,34,3,0,0,0,3,0,8,0,1,125,1,0,0,0,2,0,2,5,1,0,2,1,2,0,2,المبادرة:1  تيار المحبة:1  اتحاد الشباب الديمقراطي التونسي:1   نداء تونس:2  حركة النهضة:1  العريضة الشعبية:1  
17,9,1,133,1,586,481,700,1,218,219,481,700,0,0,454,19,8,481,0,False,18h18,20h50,120,2,2,3,0,1,40,1,2,7,1,1,0,1,0,5,2,1,4,0,1,2,0,1,16,3,0,1,1,3,1,0,18,9,3,0,47,2,1,0,2,1,4,13,0,3,103,0,0,4,5,1,0,4,0,2,0,3,2,2,2,1, نداء تونس:1  تيار المحبة:1  الجبهة الشعبية:1  
17,7,7,115,1,269,196,300,0,104,104,196,300,0,0,180,2,14,196,0,False,"18,15","20,15",44,0,0,2,50,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,2,0,1,3,0,0,29,1,0,13,1,0,0,0,1,0,1,1,0,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1, نداء تونس:2  إن شاء الله خير:  حركة النهضة:  المبادرة:  
17,7,6,113,1,140,92,200,0,108,108,92,200,0,0,87,3,2,92,0,False,18h20,19h30,7,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,7,1,0,0,3,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,حركة النهضة:1   نداء تونس:1  المبادرة:1  
17,7,5,112,1,66,44,100,0,56,56,44,100,0,0,41,1,2,44,0,False,18h10,18h40,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,4,3,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,حركة النهضة:2   نداء تونس:1  
17,7,5,111,1,138,74,200,1,125,126,74,200,0,0,70,1,3,74,0,False,18h,18h52,9,0,0,0,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,حركة النهضة:2   نداء تونس:1  المبادرة:1  الخضراء:1  
17,7,4,110,1,368,227,400,0,173,173,227,400,0,0,223,3,1,227,0,False,19h,21h53,44,0,21,3,6,0,0,0,0,8,0,0,0,1,7,31,2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,2,1,0,8,17,6,1,0,0,0,0,0,0,5,40,1,0,0,1,0,0,0,0,0,7,0,0,0,3,0,الاتحاد الوطني الحر:1  حركة النهضة:1   نداء تونس:1  اللقاء الدستوري:1  المستقلة الاقلاع:1  الخضراء:1  المبادرة:1  
17,7,4,109,1,35,21,104,0,83,83,21,104,0,0,21,0,0,21,0,False,18:00,18:30,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,حركة النهضة:1   نداء تونس:1  الاتحاد الوطني الحر:1  
17,7,4,108,4,459,205,500,0,295,295,205,500,0,0,205,0,0,205,0,False,18.20,20.05,32,2,15,2,0,0,0,0,0,11,0,0,0,0,2,13,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,17,8,1,0,0,2,1,3,0,5,71,0,1,0,0,4,0,0,1,0,6,0,3,0,0,0,حركة النهضة:1   نداء تونس:1  
