circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, إتحاد الشباب الديمقراطي التونسي,آفاق تونس,إتحاد القوى الوطنية,إرادة الشعب,الأديب للتنمية والعدالة,الأمان,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الرافدة,الشعب يريد,الصباح الجديد لتونس,العريضة الشعبية,القائمة البورقيبية,المؤتمر من أجل الجمهورية,المبادرة,باب الأمل,تحيا تونس,تيار المحبة,جوهرة,حركالتونسي,حركة الاقلاع إلى المستقبل,حركة الديمقراطيين الاشتراكيين ,حركة الربيع العربي,حركة الشعب,حركة النهضة,حزب التكتل,حزب التكتل الشعبي من أجل تونس,حزب العدل والتنمية ,حزب العمل التونسي,حزب القيم الوطنية,حزب المستقبل,حضر موت,سيادة الشعب,صوت شعب تونس,حركة نداء تونس,observers
20,2,1,12,1,441,339,500,1,160,161,339,500,0,0,308,23,8,339,0,True,"18,50","20,20",1,3,2,1,0,0,2,2,1,0,2,5,2,1,0,1,1,3,1,0,0,3,3,3,3,1,0,3,0,1,0,0,0,10,84,2,0,0,1,1,3,0,0,0,162,نداء تونس:  حركة النهضة:  
20,2,1,11,5,482,281,500,0,219,219,281,500,0,0,278,1,2,281,0,True,"19,13","21,05",0,5,0,0,0,0,1,4,1,0,4,6,1,3,0,0,2,0,0,0,13,0,1,2,1,0,0,2,0,0,1,1,0,1,57,2,0,0,0,0,1,0,1,0,168,نداء تونس:  آفاق تونس:  حركة النهضة:  
20,2,1,11,4,485,291,600,0,309,309,291,600,0,0,275,7,9,291,0,True,"18,45","21,10",0,0,0,0,0,0,0,3,1,2,2,3,0,0,3,1,4,0,1,0,27,1,0,1,5,0,0,9,0,0,0,1,0,1,54,3,0,0,0,2,1,0,0,0,150,نداء تونس:  حركة النهضة:  حركة النهضة:  
20,2,1,11,3,485,327,600,0,273,273,327,600,0,0,300,24,3,327,0,True,19,21,0,1,0,1,1,1,0,3,0,2,0,1,1,1,4,0,6,0,0,0,19,4,0,0,9,0,0,14,0,0,1,0,0,1,65,6,0,0,1,2,0,1,1,0,154,حركة النهضة:  الجبهة الوطنية للانقاذ:  نداء تونس:  
20,2,1,11,2,485,360,500,0,140,140,360,500,0,0,341,11,8,360,0,True,"18,20","19,50",0,4,1,2,0,2,2,1,1,0,4,8,1,2,0,1,5,2,0,0,20,1,0,0,2,0,0,14,0,0,0,1,0,3,69,4,3,2,0,0,0,0,2,1,183,نداء تونس:  حركة النهضة:  نداء تونس:  
20,2,1,11,1,485,349,600,1,250,1,349,350,250,0,298,29,22,349,0,True,,21,2,1,0,1,0,0,1,3,1,2,2,7,3,2,7,6,1,1,2,0,3,1,2,1,3,0,0,12,0,0,4,3,0,6,55,7,1,3,3,0,2,0,0,0,150,آفاق تونس:  حركة النهضة:  الحزب الجمهوري:  نداء تونس:  الصباح الجديد لتونس:  تيار المحبة:  
20,2,1,10,7,533,355,600,0,245,245,355,600,0,0,349,4,2,355,0,True,1830,2020,0,8,1,0,0,0,0,7,1,2,6,3,1,4,0,0,2,0,1,0,4,0,0,7,8,1,1,4,0,1,1,1,0,27,82,0,0,0,0,0,0,0,0,0,176,نداء تونس:  حركة النهضة:  آفاق تونس:  
20,2,1,10,6,559,331,601,0,270,270,331,601,0,0,326,2,3,331,0,True,1830,2107,0,7,0,0,0,0,0,7,1,0,12,4,0,1,0,0,3,0,0,0,5,3,1,13,12,0,1,5,0,3,0,0,0,13,76,2,0,0,0,0,0,0,0,0,160,آفاق تونس:  حركة النهضة:  نداء تونس:  
20,2,1,10,5,559,312,600,1,287,288,312,600,0,0,303,4,5,312,0,True,19,"20,45",1,5,0,2,0,0,2,3,1,0,9,4,0,1,0,0,5,0,0,0,2,2,1,2,7,0,0,10,0,0,0,0,1,6,83,1,1,0,1,0,0,0,0,0,153,حركة النهضة:  آفاق تونس:  نداء تونس:  
20,2,1,10,4,559,380,600,1,219,220,379,599,1,1,368,6,5,379,0,True,"19,10","21,15",0,4,0,1,0,2,1,10,0,1,6,13,1,1,0,3,2,0,0,0,3,5,0,6,5,1,0,22,1,1,0,0,0,11,104,3,0,1,0,0,0,0,0,0,160,نداء تونس:  حركة النهضة:  آفاق تونس:  
20,2,1,10,3,559,406,600,1,193,194,406,600,0,0,397,10,1,407,1,True,,21,0,4,0,1,0,0,0,7,3,3,11,6,2,0,0,1,3,1,0,0,3,0,1,2,4,2,2,25,0,0,1,1,0,11,132,0,1,0,0,1,1,0,2,2,164,آفاق تونس:  نداء تونس:  حركة النهضة:  
20,2,1,10,2,559,461,600,1,138,139,461,600,0,0,434,24,3,461,0,True,19,"00,00",0,3,1,1,0,2,1,3,0,3,4,5,1,1,0,1,1,0,0,0,4,1,1,3,9,2,0,2,1,1,0,1,0,27,99,1,1,0,1,1,0,3,1,1,247,آفاق تونس:  حركة النهضة:  نداء تونس:  
20,2,1,10,1,559,457,600,2,143,145,455,600,0,2,430,19,6,455,0,True,1835,2118,1,5,0,0,0,0,0,11,1,2,3,6,2,5,0,1,1,0,1,0,4,5,4,3,5,2,1,13,2,0,0,2,1,21,121,6,1,0,1,0,1,0,1,1,196,حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  آفاق تونس:1  
20,9,2,100,5,552,356,600,1,243,244,356,600,0,0,352,1,3,356,0,True,18.55,20.48,0,10,0,0,0,1,0,5,1,2,3,8,1,0,0,0,5,0,1,0,0,0,0,4,13,0,3,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,217,حركة النهضة:1  نداء تونس:1  المبادرة:1  
20,9,2,100,4,556,392,600,0,208,208,392,600,0,0,390,2,0,392,0,True,19H0,21H35,0,18,0,0,0,1,0,5,1,4,11,5,0,2,0,1,5,0,0,0,0,0,0,6,8,0,2,5,0,0,1,2,0,0,104,2,1,0,1,0,0,0,0,1,204,حركة النهضة:1  نداء تونس:1  المبادرة:1  
