circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أمان,اتحاد القوى الشابية,الأغلبية الصامتة,الأمة,الائتلاف الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,البيئة تجمعنا,التحالف الديمقراطي ,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسي,الحداثة والأصالة,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الخضر,الربيع العربي لتحقيق السيادة الاقتصادية,السيادة,الشباب الموحد لغد أفضل,الصمود,القوى المستقلة ببن عروس,الكرامة والمساواة,المؤتمر من أجل الجمهورية,المبادرة,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب البناء الوطني,حزب الديمقراطيين الاشتراكيين,حزب العدالة والتنمية,حزب العمل التونسي,حزب المؤتمر الشعبي,حزب المجد,صوت شعب تونس,فجر البناء,قائمة أمل تونس,قائمة المهنيين ,نداء قرطاج,نور المستقبل,observers
3,9,6,93,2,382,328,500,0,172,172,328,500,0,0,322,2,4,328,0,False,18h25,20h20,0,19,0,0,0,0,0,17,0,0,0,0,11,18,0,0,0,0,9,1,0,0,1,1,0,0,3,4,0,0,0,0,0,5,1,52,176,1,0,0,0,0,0,0,1,0,1,1,0,0,0,حركة النهضة:2  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
3,9,6,93,1,383,340,500,0,160,160,340,500,0,0,329,6,5,340,0,False,18h02,20h30,0,9,0,0,0,0,0,8,1,0,2,0,6,16,0,0,1,0,10,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,52,212,1,0,0,0,0,0,0,0,1,2,0,0,2,0,حركة النهضة:1  حركة نداء تونس:1  المبادرة:1  
3,9,5,92,3,489,359,600,1,240,241,359,600,0,0,356,1,2,359,0,False,1851,2044,0,19,0,0,0,0,0,29,3,0,0,1,15,21,0,0,1,0,14,2,0,0,0,0,1,0,9,0,0,0,1,0,0,0,0,93,140,2,0,1,0,0,0,0,0,2,1,0,0,1,1,حركة النهضة:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,5,92,2,491,412,600,2,186,188,412,600,0,0,408,3,1,412,0,False,19.10,22.25,1,13,0,0,1,1,1,18,4,1,3,1,15,14,0,0,1,0,16,1,0,0,0,1,2,0,7,0,0,0,0,0,0,0,1,111,175,3,2,0,3,3,0,0,2,1,0,1,2,3,0,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
3,9,5,92,1,491,411,600,2,187,189,411,600,0,0,402,7,4,411,0,False,1910,2225,0,8,0,0,0,0,2,13,6,1,0,0,8,20,0,0,1,1,20,1,0,0,0,0,1,1,2,1,0,0,0,2,0,1,1,70,222,2,2,0,2,0,0,0,0,2,5,0,3,4,0,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
3,9,4,91,5,547,388,633,0,245,245,388,633,0,0,382,3,3,388,0,False,1845,2230,0,27,0,0,0,0,0,32,4,0,2,2,7,27,0,1,0,0,10,1,0,0,0,0,3,0,6,3,0,1,6,0,0,1,0,102,132,5,1,0,1,0,0,1,3,1,0,1,1,1,0,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,4,91,4,547,412,601,3,186,189,412,601,0,0,408,2,2,412,0,False,19.9,21.40,0,15,0,0,0,0,0,28,3,1,5,2,14,24,1,0,2,0,16,0,0,0,2,0,1,0,5,5,0,0,2,0,0,0,0,103,167,2,1,1,0,1,0,0,1,0,2,0,2,2,0,الاتحاد الوطني الحر:1  حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,4,91,3,547,442,600,3,155,158,442,600,0,0,428,11,5,444,0,False,19.06,22.55,0,20,0,0,0,0,2,25,4,0,1,4,22,20,1,0,0,0,18,0,0,0,0,0,0,0,7,3,0,1,1,0,1,0,0,127,154,2,0,1,0,1,0,0,4,0,2,0,1,3,1,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,4,91,2,547,455,600,1,144,145,455,600,0,0,442,9,4,455,0,False,1855,2240,2,13,0,0,1,1,1,21,4,0,2,3,10,18,1,1,0,0,19,0,1,0,0,0,1,3,2,3,0,0,3,1,0,1,0,129,175,4,0,1,3,0,0,0,2,0,5,1,1,6,3,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
3,9,4,91,1,547,445,600,1,154,155,445,600,0,0,426,9,10,445,0,False,19.00,21.32,1,13,0,0,0,1,1,16,3,0,1,9,8,8,0,0,2,0,17,2,0,2,0,1,3,1,0,2,0,0,2,3,0,2,0,119,189,3,1,0,2,2,1,0,0,0,5,0,1,4,1,الجبهة الشعبية:1  حركة النهضة:1  الحزب الجمهوري:1  
