circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار باجة,إرادة الحياة,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,الانتفتاح و الوفاء,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للإنقاذ,الحركة الدستورية,الحزب الجمهوري,الشعب يريد ,الطريق المستقيم,الطموح و الاصلاح,الفلاح,القوة العمّالية,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلون الاحرار,النور الديمقراطي و التنمية,تونس العزيزة,تونس للجميع,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الخضر للتقدم,حزب العدالة و التنمية,حزب الغد ,حزب اللقاء الدستوري,حزب المجد,حزب المحافظون التونسيّون الجدد,قائمة التحدّي,قائمة الحزب الاسلامي التونسي,observers
10,3,1,40,2,474,368,500,0,132,132,368,500,0,0,347,13,8,368,0,False,18h,20h42,0,2,2,0,1,24,0,0,0,1,1,5,18,0,3,1,3,0,2,0,1,0,6,4,1,0,0,1,1,4,3,1,1,110,138,4,0,1,1,0,2,0,0,5,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
10,3,1,40,1,474,337,491,0,54,154,337,491,0,0,305,21,11,337,0,True,19h,21h20,1,6,0,2,2,24,3,1,2,0,1,5,8,0,0,4,3,1,0,1,4,1,6,3,1,0,1,2,2,2,2,0,0,73,126,2,3,2,0,0,1,3,1,6,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  تيار المحبة:1  الجبهة الشعبية:1  
10,9,16,151,2,442,196,500,3,301,304,196,500,0,0,174,20,2,196,0,False,18:25,19:51,0,0,0,0,1,1,0,2,0,0,1,0,7,2,2,2,1,0,0,0,1,0,0,2,0,1,2,2,0,0,0,0,81,28,24,4,0,5,0,0,0,2,2,1,حركة النهضة:  حركة الشعب:  الحركة الدستورية:  
10,9,16,151,1,442,275,500,0,25,25,275,300,200,0,194,19,62,275,0,False,18:30,20:20,0,1,0,0,0,8,3,3,0,1,2,2,8,3,0,5,0,1,0,2,3,0,1,2,1,0,1,0,2,1,0,1,69,46,22,0,1,1,0,0,0,2,2,0,حركة الشعب:  حركة نداء تونس:  
10,9,15,150,2,353,133,400,2,265,267,133,400,0,0,121,4,8,133,0,False,18:10,19:35,0,1,1,0,0,1,1,0,0,0,0,0,1,0,2,1,4,0,0,0,3,0,2,0,1,0,0,1,4,3,0,0,33,14,43,2,1,1,0,0,0,0,2,0,حركة الشعب:  حركة النهضة:  حركة نداء تونس:  
10,9,15,150,1,353,251,400,4,145,149,251,400,0,0,199,46,6,251,0,False,18h10,20h04,0,0,0,0,0,1,0,0,0,1,1,1,3,1,2,0,1,1,0,0,9,1,2,2,0,2,6,2,1,0,3,0,77,18,53,1,0,8,0,0,1,0,1,0,حركة نداء تونس:1  حركة الشعب:1  
10,9,15,149,2,362,161,400,0,240,0,161,161,240,1,149,11,1,161,0,False,18h32,20h,0,0,1,0,0,4,1,2,0,0,3,0,1,1,1,0,1,1,1,0,1,0,2,0,0,0,1,1,0,0,2,0,43,20,58,2,0,1,0,0,0,0,1,0,حركة الشعب:1  حركة نداء تونس:1  
10,9,15,149,1,362,246,400,0,154,154,246,400,0,0,201,28,17,246,0,False,18h45,20h31,2,1,3,0,1,4,0,2,0,2,3,1,2,0,0,0,0,1,1,1,4,2,2,3,0,0,5,0,4,2,2,0,40,30,66,4,1,4,1,2,0,3,1,1,حركة النهضة:1  الحزب الجمهوري:1  الحركة الدستورية:1  حركة الشعب:1  
10,9,14,148,1,272,139,400,0,261,261,139,400,0,0,110,13,16,139,0,True,1918,2145,0,0,1,0,1,4,1,3,0,0,4,0,0,0,0,5,0,0,0,2,2,0,2,1,0,0,0,2,2,3,0,0,19,19,34,3,0,0,0,1,0,0,1,0,حركة النهضة:1  الحركة الدستورية:1  حركة الشعب:1  
10,9,14,147,1,380,184,400,0,216,216,184,400,0,0,150,32,2,184,0,False,1830,2110,1,1,2,0,0,5,0,0,1,0,1,0,0,2,0,4,3,0,0,1,7,0,3,0,1,2,1,2,2,0,2,0,35,20,50,1,2,0,0,0,0,0,0,1,الحزب الجمهوري:1  الحركة الدستورية:1  حركة النهضة:1  
