circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التآلف الوطني,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,المؤتمر من أجل الجمهورية,المبادرة,الوحدة الوطنية المستقلة,تونس اقوى,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصالة,حزب الانفتاح والوفاء,حزب العدالة والتنمية,حزب الغد,حزب المجد,حزب حركة الدستوريين الاحرار,حماة الوطن,شباب مدنين,صوت شعب تونس,من أجل تحقيق سلطة الشعب,observers
26,6,13,157,1,164,115,192,0,77,77,115,192,0,0,106,2,7,115,0,False,18,19:50,23,0,2,11,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6,50,4,2,0,0,1,1,0,0,1,0,0,1,0,الاتحاد من أجل تونس :1  حركة النهضة:1  آفاق تونس:1  الحزب الجمهوري:1  حركة نداء تونس:1  
26,6,13,156,2,421,286,499,0,213,213,286,499,0,0,276,4,6,286,0,True,"18,10",21,17,0,3,3,0,0,10,1,0,0,2,0,0,0,2,1,0,0,0,14,170,47,2,0,0,0,1,0,0,1,0,0,1,1,حركة النهضة:  حركة نداء تونس:  الحزب الجمهوري:  حماة الوطن:  
26,6,13,156,1,421,320,501,0,181,181,320,501,0,0,286,22,12,320,0,False,18.30,20.25,14,0,8,3,1,1,12,0,0,1,2,2,0,1,6,0,0,4,1,9,123,77,2,2,0,2,2,2,1,0,1,6,2,1,حركة الشعب:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:  
26,6,12,155,2,305,204,400,0,196,196,204,400,0,0,201,1,2,204,0,True,"18,15","20,05",4,0,5,0,1,0,6,0,0,0,2,0,0,11,0,0,0,2,0,1,154,14,0,0,0,0,1,0,0,0,0,0,0,0,حركة النهضة:  آفاق تونس:  الاتحاد من أجل تونس :  
26,6,12,155,1,306,238,401,20,143,163,238,401,0,0,223,11,4,238,0,True,19,"20,05",6,0,7,3,0,1,4,0,0,0,0,0,0,9,3,0,1,2,0,6,156,10,1,0,0,1,0,1,2,0,5,4,1,0,المؤتمر من أجل الجمهورية:  حركة النهضة:  حركة نداء تونس:  
26,6,11,154,1,370,198,500,1,301,302,198,500,0,0,184,7,7,198,0,True,"18,20",20,4,0,8,2,1,0,3,0,0,7,1,0,0,1,1,1,0,1,0,36,85,18,2,0,1,0,0,1,0,2,8,0,0,1,حركة الشعب:  آفاق تونس:  حركة نداء تونس:  الاتحاد الوطني الحر:  حركة النهضة:  
26,6,11,153,1,217,145,300,0,155,155,145,300,0,0,139,4,2,145,0,False,"18,05","19,10",8,0,6,1,0,0,0,0,0,4,1,0,0,1,2,0,0,4,0,33,67,5,0,2,0,0,1,0,0,0,2,2,0,0,حركة النهضة:  الاتحاد الوطني الحر:  آفاق تونس:  حركة نداء تونس:  
26,6,10,152,3,424,229,500,21,250,271,229,500,0,0,226,2,1,229,0,True,"18,25",20,8,0,2,4,0,0,0,1,4,6,0,0,1,5,0,0,0,1,0,51,110,19,7,0,0,0,0,0,0,1,5,1,0,0,حزب الأمان:  حركة النهضة:  التكتل من أجل العمل والحريات:  
26,6,10,152,2,423,330,500,0,170,170,330,500,0,0,324,6,0,330,0,True,18.15,20.40,13,0,5,9,0,0,9,1,0,3,0,0,0,4,1,0,1,3,0,87,158,17,2,0,0,1,0,0,1,0,8,1,0,0,حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  حركة الشعب:1  حماة الوطن:1  
26,6,10,152,1,423,294,500,1,206,207,293,500,0,1,279,12,3,294,1,False,18.10,20.00,21,0,4,2,0,2,4,2,1,1,2,1,1,6,4,3,0,4,1,64,109,27,1,1,0,0,3,1,0,0,7,3,2,1,آفاق تونس:1  حركة الشعب:1  الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  
26,6,10,151,1,304,191,400,0,209,209,191,400,0,0,183,6,2,191,0,False,1800,1945,13,0,0,12,0,1,1,0,2,9,0,0,0,4,1,0,1,0,0,25,90,14,0,0,0,0,0,0,1,0,7,1,1,0,آفاق تونس:1  حركة النهضة:1  حركة الشعب:1  الاتحاد من أجل تونس :1  
26,6,9,150,2,431,266,496,2,228,230,266,496,0,0,251,6,9,266,0,True,1830,2000,10,0,6,1,0,0,3,0,1,1,1,0,0,3,2,0,0,2,0,8,177,25,2,2,0,0,1,0,2,1,1,1,0,1,حركة النهضة:1  تيار المحبة:1  حماة الوطن:1  
26,6,9,150,1,431,312,500,0,188,188,312,500,0,0,284,20,8,312,0,True,1824,2015,15,1,4,5,0,1,2,3,2,6,1,1,0,3,7,1,0,1,0,13,174,33,2,1,1,0,1,0,0,0,2,2,0,2,حركة نداء تونس:1  الاتحاد من أجل تونس :1  حركة النهضة:1  
26,6,8,149,1,201,143,300,1,157,158,142,300,0,1,135,7,0,142,0,False,18.25,20.18,1,0,15,1,0,0,1,2,1,2,0,0,0,2,0,1,1,1,0,2,83,20,0,0,0,0,0,0,0,1,0,1,0,0,الاتحاد من أجل تونس :1  حركة النهضة:1  آفاق تونس:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
26,6,8,148,1,501,281,599,6,312,318,281,599,0,0,268,8,6,282,0,False,18:30,19:40,34,1,18,13,0,1,6,1,0,4,3,0,0,7,2,0,0,2,0,22,83,59,2,1,0,0,1,1,3,0,0,1,1,1,حركة نداء تونس:2  حركة النهضة:2  الاتحاد الوطني الحر:1  آفاق تونس:1  
26,6,8,147,3,591,277,700,0,423,423,277,700,0,0,268,6,3,277,0,False,18:30,20:30,15,0,17,7,0,1,2,3,2,5,2,0,0,22,0,0,2,1,1,16,132,37,1,0,0,0,0,1,0,0,0,1,0,0,حركة الشعب:1  حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  آفاق تونس:1  الاتحاد من أجل تونس :1  المؤتمر من أجل الجمهورية:1  
26,6,8,147,2,586,397,700,0,303,303,397,700,0,0,377,11,9,397,0,False,18:05,19:46,21,0,15,8,0,1,3,4,3,11,0,0,0,6,2,0,0,1,0,40,201,49,0,0,0,0,1,0,0,0,3,6,1,1,حركة النهضة:1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  آفاق تونس:1  حركة الشعب:1  حركة نداء تونس:1  
26,6,8,147,1,585,395,700,14,291,305,395,700,0,0,359,26,10,395,0,False,18:30,20:40,17,1,10,6,1,4,5,9,4,5,2,0,1,7,3,0,2,2,0,33,122,94,3,1,1,4,4,2,1,2,1,4,2,6,حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  الاتحاد الوطني الحر:1  حركة الشعب:1  
26,6,7,146,1,117,71,200,0,129,129,71,200,0,0,69,2,0,71,0,True,18:40,19:50,4,0,6,0,0,0,0,0,1,3,0,0,0,4,1,0,1,1,0,7,31,9,0,1,0,0,0,0,0,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
26,6,7,145,2,418,256,500,0,244,244,256,500,0,0,251,2,3,256,0,True,18:30,21:15,11,0,4,2,0,0,1,1,5,20,1,0,0,7,0,0,0,1,0,43,122,18,2,0,0,1,0,0,0,0,9,3,0,0,حركة النهضة:1  آفاق تونس:1  التكتل من أجل العمل والحريات:1  
26,6,7,145,1,418,317,500,0,184,184,316,500,0,1,290,22,4,316,0,False,18:15,20:50,14,0,7,6,0,0,2,4,4,23,2,0,0,1,3,1,3,5,0,36,101,42,1,0,0,1,4,1,0,0,24,2,2,1,الاتحاد الوطني الحر:1  حماة الوطن:1  الجبهة الشعبية:1  حركة الشعب:1  حركة النهضة:1  آفاق تونس:1  
26,6,7,144,2,504,274,600,0,326,326,274,600,0,0,270,2,2,274,0,True,18:25,21:45,17,0,5,11,0,0,2,16,1,9,3,1,0,3,1,0,0,7,1,28,125,25,2,0,0,0,0,1,0,1,5,0,6,0,حركة الشعب:1  حركة النهضة:1  آفاق تونس:1  حركة نداء تونس:1  الاتحاد من أجل تونس :1  التكتل من أجل العمل والحريات:1  
26,6,7,144,1,505,350,600,1,249,250,350,600,0,0,233,11,6,350,0,True,18.15,21.53,38,1,8,9,1,2,3,52,3,5,3,0,0,2,2,0,0,7,0,38,115,24,3,1,0,0,4,1,1,1,4,2,3,0,حركة النهضة:1  الجبهة الشعبية:1  الاتحاد من أجل تونس :1  الاتحاد الوطني الحر:1  حركة الشعب:1  آفاق تونس:1  حماة الوطن:1  
26,6,7,143,3,515,275,598,0,325,325,273,598,0,2,269,2,2,273,0,False,18:35,20:50,20,0,12,8,0,0,4,5,0,5,1,0,0,5,0,0,0,6,0,34,123,40,1,0,0,0,0,0,0,0,3,1,1,0,حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  التحالف الديمقراطي:1  حركة وفاء:1  
26,6,7,143,2,514,393,600,2,205,207,393,600,0,0,384,8,1,393,0,False,18.30,21.37,30,0,8,4,0,0,5,7,3,14,1,0,0,12,1,0,0,4,0,68,159,53,1,0,0,1,2,1,0,0,8,1,1,0,آفاق تونس:1  حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  التكتل من أجل العمل والحريات:1  
26,6,7,143,1,514,38,600,2,217,219,382,601,0,1,348,21,12,381,0,False,19.05,21.20,28,1,5,6,0,0,3,5,2,6,3,1,1,3,3,1,1,8,2,48,126,73,0,1,1,0,1,2,1,2,9,3,1,1,حماة الوطن:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  تيار المحبة:1  المؤتمر من أجل الجمهورية:1  حركة النهضة:1  الاتحاد من أجل تونس :1  
