circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أولاد الشعب,أولاد زغوان,اتحاد الشباب الديمقراطي التونسي,اتحاد القوى الشبابية,الأمان بزغوان,الاتحاد الوطني الحر,البناء الوطني,التحالف الحر,التحالف الديمقراطي,التحدي لمستقبل أفضل,التكتل من أجل العمل والحريات,التيار الديمقراطي,الثقافة والتنوع,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,الصفاء,العدل أساس الملك,العلم نور,القائمة المستقلة لولاية زغوان ,المؤتمر من أجل الجمهورية,المبادرة,النسري,النسور ,النصر,تحيا تونس,تونسنا,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب تونس للجميع,حزب صوت الفلاحين,شباب تونس,شباب زغوان لحزب المستقبل,صوت شعب تونس,قائمة الأمل,حركة نداء تونس,نداء قرطاج,observers
13,1,3,7,1,546,437,600,0,163,163,437,600,0,0,368,15,54,437,0,False,18.15,21.25,0,0,2,0,1,0,19,3,4,1,0,1,4,0,2,0,1,4,3,1,1,8,4,13,2,2,9,0,1,2,1,4,13,3,77,8,7,5,3,2,3,1,151,2,الاتحاد الوطني الحر:1  تيار المحبة:1  نداء تونس:1  شباب زغوان لحزب المستقبل:1  حركة النهضة:1  
13,1,3,6,4,557,407,600,0,193,193,407,600,0,0,397,9,1,407,0,False,19.00,21.42,6,0,0,0,0,0,26,2,2,5,0,2,8,0,11,0,0,2,4,0,0,14,0,1,2,14,5,0,0,0,0,1,6,0,129,4,1,1,1,43,0,1,106,0,الاتحاد الوطني الحر:1  حركة النهضة:1  تيار المحبة:1  
13,1,3,6,3,558,404,600,6,196,202,398,600,0,0,385,8,5,398,0,False,19.05,22.43,2,0,1,1,0,1,15,1,2,2,0,3,4,0,12,0,1,2,2,0,1,9,0,3,0,5,2,0,0,1,0,1,8,0,122,3,1,1,2,63,0,0,114,0,نداء تونس:1  تيار المحبة:1  حركة النهضة:1  
13,1,3,6,2,558,476,600,0,124,0,476,476,124,0,469,3,4,476,0,False,19.00,21.14,1,0,1,0,0,1,19,1,2,4,1,0,0,0,8,0,0,1,0,0,0,20,0,3,1,5,0,0,2,1,0,2,6,0,202,3,1,0,0,46,0,3,134,1,تيار المحبة:1  نداء تونس:1  الاتحاد الوطني الحر:1  تونسنا:1  حركة النهضة:1  
13,1,3,6,1,558,472,600,4,128,132,468,600,0,4,442,20,6,468,0,False,19.09,23.05,2,0,0,2,5,1,5,4,1,1,1,3,1,0,5,0,2,4,3,1,1,7,0,6,2,5,9,4,1,0,1,2,6,1,183,4,6,2,4,24,5,3,123,2,حركة النهضة:1  الاتحاد الوطني الحر:1  تيار المحبة:1  تونسنا:1  نداء تونس:1  
13,1,2,5,2,319,194,400,0,206,206,194,400,0,0,189,4,1,194,0,False,1820,1920,3,0,3,1,0,0,13,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,4,3,4,20,0,1,1,0,5,7,0,35,3,1,2,1,2,1,1,73,0,:  
13,1,2,5,1,320,243,400,0,157,157,243,400,0,0,219,13,11,243,0,True,18.53,20.17,2,0,2,0,2,1,7,3,0,1,1,0,2,0,0,5,0,7,3,0,1,1,1,5,1,2,26,3,2,1,1,4,3,2,22,5,11,3,2,0,2,2,82,1,الاتحاد الوطني الحر:1  تونسنا:1  حركة النهضة:1  شباب زغوان لحزب المستقبل:1  نداء تونس:1  تيار المحبة:1  آفاق تونس:1  
13,1,2,4,1,248,158,300,1,142,143,157,300,0,1,140,17,0,157,0,True,1823,2029,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,3,0,2,25,1,2,1,1,2,1,0,35,1,1,3,2,0,0,1,44,0,المبادرة:1  تيار المحبة:1  نداء تونس:4  حركة النهضة:1  
13,1,1,3,1,505,329,600,0,271,271,329,600,0,0,276,39,14,329,0,False,1840,,51,0,0,0,1,0,9,5,1,7,0,0,0,1,1,2,0,9,2,0,0,0,2,12,3,0,8,2,2,4,2,4,3,1,12,2,9,4,3,4,4,2,103,1,الاتحاد الوطني الحر:1  صوت شعب تونس:1  تونسنا:1  حركة النهضة:1  نداء تونس:1  تيار المحبة:1  التحالف الحر:1  آفاق تونس:1  
13,1,1,2,2,498,287,600,0,313,313,287,600,0,0,280,4,3,287,0,True,18.50,20.30,2,0,2,0,0,0,26,1,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,89,0,0,2,0,0,0,0,6,1,0,17,0,2,0,0,1,2,0,122,0,نداء تونس:1  المبادرة:1  حركة النهضة:1  الاتحاد الوطني الحر:2  
13,1,1,1,1,426,272,500,1,227,228,272,500,0,0,248,9,15,272,0,False,1840,2051,2,0,1,0,0,0,39,1,1,0,1,0,3,0,8,0,2,4,1,1,1,0,0,29,2,3,5,2,3,1,0,2,0,0,37,1,2,0,1,5,0,1,88,1,الحركة الدستورية:1  العلم نور:1  تيار المحبة:1  حركة النهضة:1  شباب زغوان لحزب المستقبل:1  الاتحاد الوطني الحر:1  نداء تونس:2  
13,5,8,98,1,475,331,500,0,169,169,331,500,0,0,283,39,9,331,0,False,1820,2026,3,0,2,0,3,3,26,1,12,5,1,2,1,3,7,0,4,6,5,0,0,2,0,1,6,4,5,2,0,0,1,0,4,2,47,6,4,16,4,2,2,4,86,1,نداء تونس:1  حركة النهضة:1  
